OccupancyDateTime,PaidOccupancy,BlockfaceName,SideOfStreet,SourceElementKey,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,ParkingCategory,Location
12/15/2020 06:07:00 PM,1,E PINE ST BETWEEN BELMONT AVE AND BOYLSTON AVE,N,37177,120,7,Pike-Pine,,Paid Parking,POINT (-122.3239188 47.61530499)
12/15/2020 02:21:00 PM,0,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,E,33142,120,3,South Lake Union,South,Paid Parking,POINT (-122.33419318 47.61911853)
12/15/2020 01:39:00 PM,1,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,2090,240,23,University District,Edge,Paid Parking,POINT (-122.31187465 47.66397536)
12/15/2020 12:31:00 PM,7,WESTERN AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,13513,120,13,Commercial Core,Waterfront,Paid Parking,POINT (-122.33982722 47.60683479)
12/15/2020 12:28:00 PM,6,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,SW,35681,240,14,Ballard,Edge,Paid Parking,POINT (-122.38092352 47.667907)
12/15/2020 05:20:00 PM,0,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,S,10874,120,7,South Lake Union,South,Paid Parking,POINT (-122.3404443 47.62196658)
12/15/2020 05:12:00 PM,0,4TH AVE BETWEEN CEDAR ST AND CLAY ST,NE,28962,240,3,Belltown,North,Paid Parking,POINT (-122.34846587 47.61814592)
12/15/2020 01:38:00 PM,1,CHERRY ST BETWEEN 9TH AVE AND TERRY AVE,NW,77557,120,3,First Hill,,Paid Parking,POINT (-122.32487277 47.60654852)
12/15/2020 03:40:00 PM,1,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,1001,120,4,Pioneer Square,Core,Paid Parking,POINT (-122.33469356 47.6028728)
12/15/2020 01:38:00 PM,2,UNION ST BETWEEN WESTERN AVE AND POST AL,NW,81185,120,3,Commercial Core,Waterfront,Paid Parking,POINT (-122.33993334 47.60753777)
12/15/2020 10:16:00 AM,0,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,E,33142,120,3,South Lake Union,South,Paid Parking,POINT (-122.33419318 47.61911853)
12/15/2020 01:32:00 PM,7,BROOKLYN AVE NE BETWEEN NE 41ST ST AND NE 42ND ST,W,54765,120,18,University District,Core,Paid Parking,POINT (-122.31447503 47.65755256)
12/15/2020 04:41:00 PM,0,TERRY AVE BETWEEN MARION ST AND MADISON ST,NE,58414,120,2,First Hill,,Paid Parking,POINT (-122.32583857 47.60855364)
12/15/2020 12:51:00 PM,1,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,E,69446,120,10,Pike-Pine,,Paid Parking,POINT (-122.31671684 47.61351144)
12/15/2020 01:46:00 PM,0,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,9394,120,2,South Lake Union,South,Paid Parking,POINT (-122.33575104 47.62142529)
12/15/2020 03:59:00 PM,3,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,12538,120,4,South Lake Union,South,Paid Parking,POINT (-122.34167861 47.62315819)
12/14/2020 03:48:00 PM,1,E UNION ST BETWEEN BROADWAY AND BROADWAY CT,S,37438,120,3,Pike-Pine,,Paid Parking,POINT (-122.32025835 47.61288619)
12/14/2020 12:45:00 PM,5,NE MAPLE LEAF PL BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,SE,18166,120,5,Green Lake,,Paid Parking,POINT (-122.32559295 47.68090582)
12/14/2020 03:30:00 PM,1,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,70746,120,7,Belltown,South,Paid Parking,POINT (-122.34231893 47.61217181)
12/14/2020 08:21:00 AM,3,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,59041,600,15,South Lake Union,South,Paid Parking,POINT (-122.33052061 47.62369625)
12/14/2020 02:36:00 PM,4,1ST AVE BETWEEN UNION ST AND PIKE ST,SW,46245,120,8,Commercial Core,Retail,Paid Parking,POINT (-122.33963732 47.60827428)
12/14/2020 03:31:00 PM,3,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,55377,120,5,South Lake Union,South,Paid Parking,POINT (-122.34251847 47.62379307)
12/14/2020 09:12:00 AM,1,WESTLAKE AVE BETWEEN 7TH AVE AND 8TH AVE,E,36138,120,8,Denny Triangle,South,Paid Parking,POINT (-122.33780668 47.61585223)
12/14/2020 04:03:00 PM,1,WESTERN AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,36102,120,4,Commercial Core,Waterfront,Paid Parking,POINT (-122.3389263 47.60605889)
12/14/2020 02:30:00 PM,2,STEWART ST BETWEEN 1ST AVE AND 2ND AVE,SE,12874,120,8,Commercial Core,Retail,Paid Parking,POINT (-122.34081375 47.61059687)
12/14/2020 01:51:00 PM,10,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,1018,120,12,Belltown,South,Paid Parking,POINT (-122.34188878 47.61073498)
12/14/2020 08:14:00 AM,2,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,SE,58086,120,4,First Hill,,Paid Parking,POINT (-122.32580847 47.61096366)
12/14/2020 04:17:00 PM,2,WESTERN AVE BETWEEN UNION ST AND PIKE ST,NE,36106,120,4,Commercial Core,Waterfront,Paid Parking,POINT (-122.34057019 47.6079181)
12/14/2020 03:08:00 PM,8,CHERRY ST BETWEEN 1ST AVE AND 2ND AVE,NW,32461,120,8,Pioneer Square,Core,Paid Parking,POINT (-122.33374264 47.6028645)
12/14/2020 02:47:00 PM,1,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,13142,120,4,South Lake Union,South,Paid Parking,POINT (-122.3297844 47.62076448)
12/15/2020 02:14:00 PM,0,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,32913,120,4,South Lake Union,North,Paid Parking,POINT (-122.34239467 47.63185449)
12/15/2020 11:27:00 AM,2,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,E,32122,120,9,South Lake Union,South,Paid Parking,POINT (-122.33576039 47.62028326)
12/15/2020 12:44:00 PM,5,VINE ST BETWEEN 3RD AVE AND 4TH AVE,NW,81289,240,8,Belltown,North,Carpool Parking,POINT (-122.34762533 47.61694485)
12/15/2020 12:19:00 PM,4,STEWART ST BETWEEN BOREN AVE AND MINOR AVE,SE,58226,240,9,Denny Triangle,North,Paid Parking,POINT (-122.33220713 47.6172401)
12/15/2020 07:55:00 PM,0,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,NW,55029,120,10,First Hill,,Paid Parking,POINT (-122.3244191 47.60771806)
12/15/2020 11:56:00 AM,1,TERRY AVE BETWEEN MADISON ST AND SPRING ST,SW,13085,120,3,First Hill,,Paid Parking,POINT (-122.32669044 47.60920979)
12/15/2020 04:16:00 PM,0,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,9394,120,2,South Lake Union,South,Paid Parking,POINT (-122.33575104 47.62142529)
12/15/2020 02:46:00 PM,3,WESTERN AVE BETWEEN PIKE ST AND PINE ST,SW,81477,120,3,Commercial Core,Waterfront,Paid Parking,POINT (-122.34164153 47.60878626)
12/15/2020 09:41:00 AM,3,EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,NW,78041,240,9,Belltown,North,Paid Parking,POINT (-122.3534781 47.61808068)
12/15/2020 02:46:00 PM,4,WARREN AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,81421,240,10,Uptown,Edge,Paid Parking,POINT (-122.35419725 47.62389409)
12/15/2020 08:52:00 AM,0,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,9394,120,2,South Lake Union,South,Paid Parking,POINT (-122.33575104 47.62142529)
12/15/2020 01:17:00 PM,0,DEXTER AVE N BETWEEN LEE ST AND GALER ST,W,32913,120,4,South Lake Union,North,Paid Parking,POINT (-122.34239467 47.63185449)
12/15/2020 01:12:00 PM,5,WESTLAKE AVE BETWEEN 7TH AVE AND 8TH AVE,E,36138,120,8,Denny Triangle,South,Paid Parking,POINT (-122.33780668 47.61585223)
12/15/2020 01:17:00 PM,7,22ND AVE NW BETWEEN BALLARD AVE NW AND NW MARKET ST,E,48450,120,9,Ballard,Core,Paid Parking,POINT (-122.38462377 47.66817441)
12/15/2020 12:42:00 PM,0,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,9394,120,2,South Lake Union,South,Paid Parking,POINT (-122.33575104 47.62142529)
12/15/2020 02:20:00 PM,9,QUEEN ANNE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,12286,240,15,Uptown,Edge,Paid Parking,POINT (-122.35663954 47.62267722)
12/15/2020 12:42:00 PM,4,4TH AVE BETWEEN BATTERY ST AND WALL ST,NE,74034,240,9,Belltown,North,Paid Parking,POINT (-122.34561889 47.61648112)
12/15/2020 06:51:00 PM,1,ALDER ST BETWEEN TERRY AVE AND BROADWAY,NW,31541,120,4,First Hill,,Restricted Parking Zone,POINT (-122.32125908 47.60411979)
12/15/2020 02:08:00 PM,4,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,80553,120,3,South Lake Union,South,Restricted Parking Zone,POINT (-122.33233929 47.62317542)
12/14/2020 09:23:00 AM,1,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,SE,94611,120,27,South Lake Union,North,Paid Parking,POINT (-122.33167587 47.62831225)
12/14/2020 03:08:00 PM,7,VINE ST BETWEEN 3RD AVE AND 4TH AVE,SE,81290,240,11,Belltown,North,Paid Parking,POINT (-122.34744013 47.616859)
12/14/2020 05:37:00 PM,2,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,W,34881,600,12,South Lake Union,South,Paid Parking,POINT (-122.33182921 47.62139227)
12/14/2020 01:30:00 PM,1,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,NW,58193,120,4,First Hill,,Paid Parking,POINT (-122.32643589 47.6098468)
12/14/2020 01:49:00 PM,3,SENECA ST BETWEEN 1ST AVE AND 2ND AVE,NW,58077,120,5,Commercial Core,Retail,Paid Parking,POINT (-122.33703997 47.60640669)
12/14/2020 12:07:00 PM,3,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,SE,33990,120,4,Belltown,South,Paid Parking,POINT (-122.34083495 47.6141247)
12/14/2020 01:53:00 PM,3,WESTERN AVE BETWEEN MARION ST AND MADISON ST,SW,13509,120,5,Commercial Core,Waterfront,Paid Parking,POINT (-122.33712127 47.60385671)
12/14/2020 09:38:00 AM,1,VIRGINIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,35909,120,3,Belltown,South,Paid Parking,POINT (-122.34137469 47.61214183)
12/14/2020 07:28:00 PM,4,QUEEN ANNE AVE N BETWEEN DENNY WAY AND JOHN ST,E,12282,240,13,Uptown,Edge,Paid Parking,POINT (-122.35665021 47.61918294)
12/14/2020 03:44:00 PM,5,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,NW,35417,120,4,Commercial Core,Retail,Paid Parking,POINT (-122.33590565 47.60688102)
12/14/2020 05:50:00 PM,3,NE 40TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,N,84641,120,7,University District,Core,Paid Parking,POINT (-122.31390998 47.65541883)
12/14/2020 07:44:00 PM,1,CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,NW,77569,240,9,Belltown,North,Paid Parking,POINT (-122.35290183 47.61542497)
12/14/2020 11:23:00 AM,2,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,N,86449,240,12,Ballard,Edge,Paid Parking,POINT (-122.38614452 47.66951625)
12/14/2020 12:49:00 PM,2,SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE,SE,80746,120,7,First Hill,,Restricted Parking Zone,POINT (-122.32471144 47.6114064)
12/14/2020 07:20:00 PM,3,QUEEN ANNE AVE N BETWEEN JOHN ST AND THOMAS ST,E,80274,240,12,Uptown,Edge,Paid Parking,POINT (-122.35666155 47.62035414)
12/14/2020 03:48:00 PM,6,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,34885,600,15,South Lake Union,South,Paid Parking,POINT (-122.33181611 47.62251895)
12/15/2020 05:31:00 PM,0,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,S,10874,120,7,South Lake Union,South,Paid Parking,POINT (-122.3404443 47.62196658)
12/15/2020 04:39:00 PM,1,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,1233,120,9,Pike-Pine,,Paid Parking,POINT (-122.31955777 47.61468219)
12/15/2020 10:01:00 AM,1,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,SE,33990,120,4,Belltown,South,Paid Parking,POINT (-122.34083495 47.6141247)
12/15/2020 09:30:00 AM,0,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,E,79678,120,4,Chinatown/ID,Core,Paid Parking,POINT (-122.32495913 47.59790356)
