Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
665,08/06/2020 12:00:00 AM,08/10/2020 12:00:00 AM,01/31/2021 12:00:00 AM,Current,Southbound Directional Closure,Tommy Banks Way NW,Saskatchewan Drive NW,87 Avenue NW,Directional Closure,Approx 5 Months,Tommy Banks Way will be closed in the Southbound direction from Saskatchewan Drive to 87 Avenue. Local access remains available from Northbound Tommy Banks Way off 87 Av. Sidewalk on West side of Tommy Banks Way also closed.,Drainage Shaft Installation,Construction,Central,Road and Sidewalk,POINT (-113.494772144598 53.523841778125)
7,01/02/2020 12:00:00 AM,11/22/2019 12:00:00 AM,03/31/2021 12:00:00 AM,REVISED,Anthony Henday Dr Bridge Widening Over Whitemud Dr,Whitemud Drive,Anthony Henday Drive,,Travel Delays,16 Months,"Starting at 9am on Nov 22, lane widths on Whitemud Dr under Anthony Henday Dr will be reduced to 3.5m under an altered alignment with shifting curves. There will be a 60km/hr speed zone in place. Access to and from Anthony Henday Dr will be maintained.",SW Anthony Henday Dr Widening,Construction,Northwest,Road,POINT (-113.658512623995 53.512221387929)
356,05/25/2020 12:00:00 AM,05/25/2020 12:00:00 AM,03/31/2021 12:00:00 AM,REVISED,170 St NB Drainage Repair,170 Street NW,69 Avenue NW,Whitemud Drive,Travel Delays,Approx. 10 Months,** Replaces TDN 321 ** Northbound 170 St is now open in one lane from  69 Ave to south of Whitemud Dr with a 50km/hr speed zone in place. Southbound 170 St is reduced to two lanes from Whitemud Dr to north of 69 Ave. Please use other routes.,Drainage Repair,Construction,Northwest,Road,POINT (-113.615431895632 53.504660132803)
995,11/30/2020 12:00:00 AM,12/07/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Current,153 Av Reduced to 1 Lane WB,153 Avenue NW,73A Street NW,82 Street NW,Travel Delays,12 Days,153 Av will be reduced to 1 lane WB. The sidewalk on the North side from 82 St to 76 St will be closed. Pedestrians should use 154 Av or the sidewalk on the South side.,Sewer Repairs,Construction,Central,Road and Sidewalk,POINT (-113.467427810081 53.615923276705)
1020,11/23/2020 12:00:00 AM,01/03/2021 12:00:00 AM,01/31/2021 12:00:00 AM,Current,119 Street Drainage Repair,119 Street NW,40 Avenue NW,Whitemud Drive,Increased Travel Time,1 month,Traffic on of 119 Street from 40 Avenue to Whitemud Drive will be reduced to one lane in each direction.  Stay right to drive through the detour.  Detour using 111 Sreet & Terwillegar Drive.,Drainage repair,Construction,Southwest,Road,POINT (-113.538714834482 53.47634047693)
1022,12/11/2020 12:00:00 AM,12/09/2020 12:00:00 AM,12/22/2020 12:00:00 AM,Current,34 St Utility Repairs,34 Street,38 Avenue NW,43 Avenue NW,Travel Delays,13 Days,Northbound 34 St will be reduced to a single lane. Consider using 17 St or 50 St as alternate routes.,Emergency Utility Repairs,Construction,Southeast,Road,POINT (-113.393643188317 53.47290893473)
1022,12/11/2020 12:00:00 AM,12/09/2020 12:00:00 AM,12/22/2020 12:00:00 AM,Current,34 St Utility Repairs,34 Street,38 Avenue NW,43 Avenue NW,Travel Delays,13 Days,Northbound 34 St will be reduced to a single lane. Consider using 17 St or 50 St as alternate routes.,Emergency Utility Repairs,Construction,Southeast,Road,POINT (-113.393671735228 53.480447913146)
863,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,,Emergency,"61 Ave, 109 St Intersection Total Closure",109 Street NW,61 Avenue NW,,Total Closure,2 Weeks,The intersection of 61 Ave and 109 St will be totally closured for a drainage repair. Please use other routes.,"61 Ave, 109 St Drainage Repair",Construction,Southwest,Road,POINT (-113.512379539492 53.498198338166)
1023,12/14/2020 12:00:00 AM,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,Current,104 Av EBD Lane Reduction,104 Avenue NW,102 Street NW,104 Street NW,Increased Travel Time,Sat (6am - 8pm),"104 Av EBD, 104 St - 102 St will be reduced to one lane Saturday, December 19 from 6am to 8pm.",Block BG Concrete Pour,Construction,Central,Road,POINT (-113.495533849089 53.54618110886)
1024,12/14/2020 12:00:00 AM,12/14/2020 12:00:00 AM,12/16/2020 12:00:00 AM,Current,104 Avenue EBD Lane Reduction,104 Avenue NW,102 Street NW,104 Street NW,Increased Travel Time,2-3 Days,104 Av EBD from East of 104 St to West of 102 St reduced to one lane due to emergency drainage repair. Detour using Jasper Av or 103 Av to avoid travel delays.,Emergency Mahole Repair,Construction,Central,Road,POINT (-113.495533849089 53.54618110886)
