Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
711,08/24/2020 12:00:00 AM,09/14/2020 12:00:00 AM,07/07/2021 12:00:00 AM,REVISED,119 Ave Closed,119 Avenue NW,88 Street NW,89 Street NW,Total Closure,10 Months,119 Av will be closed from 88 St to the alley W of 88 St. 88 St will be closed SB from 119 Av to approximately 25m S of 119 Av. SB traffic must go left on 119 Av. Use 118 Av for EB and WB detours.,Drainage Tunnel,Construction,Northeast,Road and Sidewalk,POINT (-113.476188558578 53.571958645158)
914,10/27/2020 12:00:00 AM,11/02/2020 12:00:00 AM,12/18/2020 12:00:00 AM,REVISED,Whitemud Drive Rainbow Valley Bridge Repair,Whitemud Drive NW,122 Street NW,Terwillegar Drive NW,Increased Travel Time,6 Weeks,Westbound direction of Whitemud Drive over Rainbow Valley bridge will be reduced to two lanes.,Concrete Repair,Construction,Southwest,Road,POINT (-113.541184079246 53.483069181294)
1011,12/07/2020 12:00:00 AM,12/15/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Current,100 Avenue WB Closure,100 Avenue NW,107 Street NW,108 Street NW,Directional Closure,1 Week,"Starts Tues, Dec 15th at 9am. 100 Av WB, 107 St - 108 St will be closed for power construction. Detour using 99 Av or Jasper Av.",Power Construction,Construction,Central,Road,POINT (-113.504760412852 53.538838954106)
767,09/10/2020 12:00:00 AM,09/28/2020 12:00:00 AM,01/28/2021 12:00:00 AM,REVISED,119 Street Drainage Repair,119 Street NW,28 Avenue NW,Westbrook Drive NW,Increased Travel Time,4 Months,Northbound direction on 119 Street from 28 Avenue to Westbrook Drive will be reduced to one lane.  Detour using 111 Street.,Drainage Tunnel Shaft Repair,Construction,Southwest,Road and Sidewalk,POINT (-113.538832175042 53.462120450945)
767,09/10/2020 12:00:00 AM,09/28/2020 12:00:00 AM,01/28/2021 12:00:00 AM,REVISED,119 Street Drainage Repair,119 Street NW,28 Avenue NW,Westbrook Drive NW,Increased Travel Time,4 Months,Northbound direction on 119 Street from 28 Avenue to Westbrook Drive will be reduced to one lane.  Detour using 111 Street.,Drainage Tunnel Shaft Repair,Construction,Southwest,Road and Sidewalk,POINT (-113.537448087098 53.459170625403)
1003,12/02/2020 12:00:00 AM,12/03/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Current,104 Av WB Lane Closure,104 Avenue NW,112 Street NW,116 Street NW,Travel Delays,Long Term Project,"104 Av WB, 112 St - 114 St will be reduced to 2 lanes starting on Dec 3rd, 2020 to accommodate a drainage shaft.",Drainage Shaft,Construction,Central,Road,POINT (-113.521298594868 53.546222333604)
1003,12/02/2020 12:00:00 AM,12/03/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Current,104 Av WB Lane Closure,104 Avenue NW,112 Street NW,116 Street NW,Travel Delays,Long Term Project,"104 Av WB, 112 St - 114 St will be reduced to 2 lanes starting on Dec 3rd, 2020 to accommodate a drainage shaft.",Drainage Shaft,Construction,Central,Road,POINT (-113.513918405555 53.546227654379)
751,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Current,103 Avenue Sidewalk Closure,103 Avenue NW,103 Street NW,104 Street NW,Total Closure,Long Term Closure,"Sidewalk on the North side of 103 Av, Alley East of 104 St - 103 St is closed to accommdate ICE District Block BG Construction. Detour using South sidewalk.",ICE District Development,Construction,Central,Sidewalk,POINT (-113.497389149595 53.544594580565)
752,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Current,104 Avenue Sidewalk Closure,104 Avenue NW,103 Street NW,104 Street NW,Total Closure,Long Term Closure,"Sidewalk on the South side of 104 Av, Alley East of 104 St - 103 St is closed to accommodate ICE District Block BG Construction. Detour using North sidewalk.",ICE District Development,Construction,Central,Sidewalk,POINT (-113.499227031367 53.546189015449)
1015,12/08/2020 12:00:00 AM,01/01/2021 12:00:00 AM,01/06/2021 12:00:00 AM,Current,102 St Road & West Sidewalk Closure,102 Street NW,104 Avenue NW,105 Avenue NW,Total Closure,Jan 1 @ 11am - Jan 6 @ 9am,"102 St, 104 Av - 105 Av Total Closure. West sidewalk will also be closed. Detour using 101 St.",IIHF World Junior Tournament,Special Event,Central,Road and Sidewalk,POINT (-113.495533849089 53.54618110886)
1014,12/08/2020 12:00:00 AM,12/13/2020 12:00:00 AM,01/06/2021 12:00:00 AM,Current,101 St NBD Curb Lane/Sidewalk Closure,101 Street NW,102A Avenue NW,103 Avenue NW,Increased Travel Time,Dec 13 @ 10am - Jan 6 @ 9am,"101 St NBD, 102A Av - 103 Av will be reduced to two lanes. East sidewalk will also be closed. Detour using 100 St to avoid travel delays.",IIHF World Junior Tournament,Special Event,Central,Road and Sidewalk,POINT (-113.49372348241 53.544413729609)
834,09/28/2020 12:00:00 AM,09/30/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Current,Stony Plain Rd Drainage Shaft Installation,Stony Plain Road,136 Street NW,135 Street NW,Travel Delays,15 Months,"Starting at 9am on September 30, Stony Plain Rd will be reduced to one lane in each direction from 136 St to 135 St. As work progresses there will be bans to left and right turns at 135 St. Please use other routes.",Drainage Shaft Installation,Construction,Northwest,Road and Sidewalk,POINT (-113.556320760456 53.544710481759)
359,05/25/2020 12:00:00 AM,06/03/2020 12:00:00 AM,12/08/2021 12:00:00 AM,REVISED,Total Closure of Summit Drive from 147 St - 148 St,Summit Drive,149 Street NW,147 Street NW,Total Closure,19 Months,Summit Drive from 147 St to 148 St will be totally closed. North sidewalk of Summit Drive will be closed and detoured to the South side.,Drainage Shaft Installation,Construction,Northwest,Road and Sidewalk,POINT (-113.577942673305 53.541231576419)
