MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP003;Local Garden Greenhouse;Private projects;Local-Food;535 Richards ST;Local produce growing for local restaurants and grocery stores.;http://www.localgarden.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.113911171598, 49.2828569318384]}";Downtown
GCP004;Ostara Nutrient Recovery Technologies In;Private projects;Green-Economy;690 - 1199 West Pender St;Parks Board trials Ostara's slow-release fertilizer that is sourced from waste-water.;http://ostara.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.1232248, 49.2883616]}";Downtown
GCP005;Inteluma Energy Systems;Private projects;Green-Economy;813 Burrard St;Demonstrating LED lighting system in the Greater Vancouver Real Estate Board parkade.;http://www.inteluma.com/project/real-estate-board-of-greater-vancouver/;http://www.inteluma.com/;;"{""type"": ""Point"", ""coordinates"": [-123.1234068, 49.28309509]}";West End
GCP010;LEED Platinum for New Construction and M;Private projects;Green-Buildings;1055 Canada Pl;Vancouver Convention Centre Expansion;http://www.greenbuildingaudiotours.com/buildings/vancouver_convention_exhibition_centre_expansion_project;;;"{""type"": ""Point"", ""coordinates"": [-123.1153127, 49.28855237]}";Downtown
GCP014;LEED Gold New Construction Certified 201;Private projects;Green-Buildings;1 Kingsway;Mount Pleasant Centre;http://www.greenbuildingaudiotours.com/buildings/the_mount_pleasant_community_centre;;http://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx;"{""type"": ""Point"", ""coordinates"": [-123.1001975, 49.26415853]}";Mount Pleasant
GCP020;LEED Gold Building Certified 2011;Private projects;Green-Buildings;100 W 49th Av;Langara College Library/Classroom Building;http://www.langara.bc.ca/index.html;;;"{""type"": ""Point"", ""coordinates"": [-123.108949, 49.22484384]}";Oakridge
GCP040;Eastside Movement for Business and Econo;Private projects;Green-Buildings;#310 - 111 West Hastings;A social enterprise creating green jobs by hiring individuals with barriers to employment;http://www.embersvancouver.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.10736, 49.2820415]}";Downtown
GCP043;BikeLab;City Studio Project;Green-Transportation;149 W Hastings St;Spring 2013 City Studio Project - 1 of 2 bike repair stations.;http://citystudiovancouver.com/projects/bikelab-repair-stations/;;;"{""type"": ""Point"", ""coordinates"": [-123.107697007104, 49.2824449981218]}";Downtown
GCP049;Reimagine Your Park;City Studio Project;Green-Transportation;600 E 15th Ave;Spring 2013 City Studio Project - Reimaging a local park.;http://citystudiovancouver.com/projects/reimagine-your-park/;;;"{""type"": ""Point"", ""coordinates"": [-123.0899434, 49.257052]}";Mount Pleasant
GCP050;Urban Orchards;City Studio Project;Local-Food;1800 Spyglass Pl;Spring 2013 City Studio Project - First orchard on public land - 2 sites being developed.;http://citystudiovancouver.com/projects/vancouvers-1st-urban-orchard/;;;"{""type"": ""Point"", ""coordinates"": [-123.1153895, 49.27017936]}";Fairview
