YEAR,MONTH,MONTH_NUMBER,LICENSE_DATE,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,PET_TYPE,BREED,GENDER,SPAYED_OR_NEUTERED,LATITUDE,LONGITUDE,LOCATION,COUNT,Point Location
2020,September,9,09/17/2020 12:00:00 AM,Northmount,2580,Cat,DOMESTIC (MEDIUM HAIR),Female,Yes,53.60320534665628,-113.47962880481575,"(53.60320534665628, -113.47962880481575)",1,POINT (-113.47962880481575 53.60320534665628)
2019,December,12,12/30/2019 12:00:00 AM,Belgravia,5040,Dog,POODLE (MINIATURE),Male,Yes,53.51179560322663,-113.53272944407274,"(53.51179560322663, -113.53272944407274)",1,POINT (-113.53272944407274 53.51179560322663)
2020,November,11,11/25/2020 12:00:00 AM,Kensington,3250,Dog,NEWFOUNDLAND,Male,Yes,53.59586260684152,-113.52892377480546,"(53.59586260684152, -113.52892377480546)",1,POINT (-113.52892377480546 53.59586260684152)
2020,April,4,04/10/2020 12:00:00 AM,Webber Greens,4740,Dog,BERNESE MOUNTAIN DOG,Male,No,53.530309062031634,-113.6766833259057,"(53.530309062031634, -113.6766833259057)",1,POINT (-113.6766833259057 53.530309062031634)
2019,September,9,09/30/2019 12:00:00 AM,Brintnell,2110,Dog,PEMBROKE WELSH CORGI,Male,Yes,53.62139439686521,-113.40711431814822,"(53.62139439686521, -113.40711431814822)",1,POINT (-113.40711431814822 53.62139439686521)
2020,November,11,11/06/2020 12:00:00 AM,Blackmud Creek,5453,Dog,GOLDEN RETRIEVER,Female,Yes,53.41966051953902,-113.5107878288002,"(53.41966051953902, -113.5107878288002)",1,POINT (-113.5107878288002 53.41966051953902)
2020,August,8,08/24/2020 12:00:00 AM,Hairsine,2320,Dog,PINSCHER (MINIATURE),Female,No,53.60383771828289,-113.39092316159207,"(53.60383771828289, -113.39092316159207)",1,POINT (-113.39092316159207 53.60383771828289)
2019,August,8,08/11/2019 12:00:00 AM,Ottewell,6550,Dog,GOLDEN RETRIEVER,Male,Yes,53.53128518402029,-113.43074600681692,"(53.53128518402029, -113.43074600681692)",1,POINT (-113.43074600681692 53.53128518402029)
2020,December,12,12/07/2020 12:00:00 AM,Tamarack,6443,Cat,DOMESTIC (MEDIUM HAIR),Male,Yes,53.46481390377758,-113.35916549156642,"(53.46481390377758, -113.35916549156642)",1,POINT (-113.35916549156642 53.46481390377758)
2020,March,3,03/04/2020 12:00:00 AM,Abbottsfield,2010,Dog,GERMAN SHEPHERD,Male,Yes,53.574143433510216,-113.38875800516438,"(53.574143433510216, -113.38875800516438)",1,POINT (-113.38875800516438 53.574143433510216)
2020,July,7,07/09/2020 12:00:00 AM,Mistatim Industrial,4320,Dog,AUSTRALIAN CATTLE DOG,Female,Yes,53.59683615613919,-113.59976983634743,"(53.59683615613919, -113.59976983634743)",1,POINT (-113.59976983634743 53.59683615613919)
2020,February,2,02/20/2020 12:00:00 AM,Glastonbury,4720,Dog,BOXER,Male,No,53.50318729764258,-113.66986988345468,"(53.50318729764258, -113.66986988345468)",1,POINT (-113.66986988345468 53.50318729764258)
2020,February,2,02/18/2020 12:00:00 AM,Kilkenny,2410,Cat,MAINE COON,Male,Yes,53.610377929087065,-113.45511917405544,"(53.610377929087065, -113.45511917405544)",1,POINT (-113.45511917405544 53.610377929087065)
2020,September,9,09/28/2020 12:00:00 AM,Rideau Park,5360,Dog,BORDER COLLIE,Male,Yes,53.47903247628979,-113.50593303233538,"(53.47903247628979, -113.50593303233538)",1,POINT (-113.50593303233538 53.47903247628979)
