Editing,Botanical Name,Common Name,DBH,Total Yearly Eco Benefits ($),Stormwater Benefits ($),Stormwater Gallons Saved,Greenhouse CO2 Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),Energy Benefits ($),kWh Saved,Therms Saved,Air Quality Benefits ($),Pollutants Saved (in lbs.),Property Benefits ($),Leaf Surface Area (in sq. ft.),Address,Street,Side,Site,Council District,Park Name,Latitude,Longitude,Site ID,Location
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,MACKINAW ST,Side,1,FILLMORE,0,42.8678543562004,-78.8558215785405,7057,"(42.8678543562004, -78.8558215785405)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,HARMONIA ST,Front,1,FILLMORE,0,42.9024769722571,-78.830690669637,1315,"(42.9024769722571, -78.830690669637)"
Buffalo,ACER PLATANOIDES,"MAPLE, NORWAY",9,65.02,1.69,211.4,0.05,8.68,8.14,32.2,41.25,18.76,0.68,0.1,30.4,50.53,84,CHURCH ST,Front,1,FILLMORE,0,42.8835376572461,-78.8786079815479,20082,"(42.8835376572461, -78.8786079815479)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,MILLS ST,Side,1,FILLMORE,0,42.8971985075131,-78.8363100534552,18580,"(42.8971985075131, -78.8363100534552)"
Buffalo,ACER PLATANOIDES,"MAPLE, NORWAY",6,40.43,0.94,117.72,0.03,4.85,4.5,18.73,23.06,11.01,0.38,0.06,20.35,33.82,129,LEWIS ST,Front,1,FILLMORE,0,42.8809128675153,-78.8327209421086,6854,"(42.8809128675153, -78.8327209421086)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ONEIDA ST,Front,1,FILLMORE,0,42.8826450311925,-78.8484061833657,5353,"(42.8826450311925, -78.8484061833657)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,NEVADA AV,Front,1,FILLMORE,0,42.9130067772765,-78.8213784078463,23414,"(42.9130067772765, -78.8213784078463)"
Buffalo,ACER PLATANOIDES,"MAPLE, NORWAY",17,137.88,4.48,559.81,0.14,21.82,24.3,66.65,103.7,37.02,1.6,0.23,65.02,108.07,32,MULBERRY ST,Front,1,ELLICOTT,0,42.8942827880611,-78.8629994866365,15016,"(42.8942827880611, -78.8629994866365)"
Olmsted,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,CAZENOVIA ST,In_Lot,1,SOUTH,CAZENOVIA,42.8469253265429,-78.8057582537705,97839,"(42.8469253265429, -78.8057582537705)"
Buffalo,PLATANUS X ACERIFOLIA,LONDON PLANETREE,3,38.83,1.22,152.38,0.1,24.04,9.11,7.4,9.76,4.28,0.97,0.16,29.15,48.45,338,CARLTON ST,Front,1,ELLICOTT,0,42.8984789639621,-78.8561581693532,279,"(42.8984789639621, -78.8561581693532)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,GERHARDT ST,Front,1,ELLICOTT,0,42.9069119217705,-78.8526579961869,12158,"(42.9069119217705, -78.8526579961869)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,WOLTZ AV,Front,1,FILLMORE,0,42.8963566664432,-78.8356036022424,2011,"(42.8963566664432, -78.8356036022424)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",10,76.04,2.02,252.8,0.05,9.29,8.24,31.35,44.15,17.87,0.65,0.1,41.97,69.76,100,FRANKLIN ST,Rear,1,ELLICOTT,0,42.8841409649147,-78.8787443234523,18537,"(42.8841409649147, -78.8787443234523)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,MIAMI ST,Front,1,FILLMORE,0,42.8699015336904,-78.8606232954515,6505,"(42.8699015336904, -78.8606232954515)"
Buffalo,ACER PLATANOIDES,"MAPLE, NORWAY",19,155.17,5.28,660.62,0.16,23.31,29.35,73.14,110.79,40.92,1.79,0.26,74.79,124.31,110,RUHLAND AV,Front,1,FILLMORE,0,42.9023938996548,-78.8260767049048,647,"(42.9023938996548, -78.8260767049048)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,MADISON ST,Front,1,ELLICOTT,0,42.8838204413753,-78.8529604990148,2875,"(42.8838204413753, -78.8529604990148)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",19,106.35,4.92,614.57,0.08,22.19,11.79,69.77,105.48,39.05,1.62,0.23,29.97,49.81,224,WYOMING AV,Front,1,MASTEN,0,42.9207195804802,-78.8238099056203,22116,"(42.9207195804802, -78.8238099056203)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,BROADWAY ST,Side,1,LOVEJOY,0,42.898361813826,-78.8009807664218,79509,"(42.898361813826, -78.8009807664218)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,PECKHAM ST,Front,1,ELLICOTT,0,42.887911310062,-78.8480751767696,8437,"(42.887911310062, -78.8480751767696)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",4,49.12,0.52,65.57,0.01,1.91,2.86,5.68,9.06,3.13,0.13,0.02,42.77,71.09,67,EAGLE ST EAST,Side,1,ELLICOTT,0,42.8831880964959,-78.873398010578,20077,"(42.8831880964959, -78.873398010578)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,LANDON ST,Front,1,ELLICOTT,0,42.9100651573959,-78.8489090654482,9101,"(42.9100651573959, -78.8489090654482)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,DIVISION ST NORTH,Front,1,FILLMORE,0,42.8786406621222,-78.8478177484027,6158,"(42.8786406621222, -78.8478177484027)"
Olmsted,ACER PLATANOIDES,"MAPLE, NORWAY",23,191.06,7.03,878.96,0.21,27.09,40.97,85.63,128.75,48.01,2.2,0.31,95.99,159.53,160,HUMBOLDT PKWY,Front,1,DELAWARE,0,42.9285007693406,-78.8514488982633,63840,"(42.9285007693406, -78.8514488982633)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,EXCHANGE  ST,Front,1,FILLMORE,0,42.8734311992779,-78.8430320080104,5028,"(42.8734311992779, -78.8430320080104)"
Olmsted,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,PARKSIDE AV,In_Lot,1,DELAWARE,DELAWARE,42.9387692969324,-78.8591067605163,99860,"(42.9387692969324, -78.8591067605163)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,SEYMOUR ST,Side,1,FILLMORE,0,42.8766113609163,-78.8457417641544,5733,"(42.8766113609163, -78.8457417641544)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,PECKHAM ST,Side,1,ELLICOTT,0,42.8877046269332,-78.8509666317406,4034,"(42.8877046269332, -78.8509666317406)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,ALABAMA ST,Front,1,FILLMORE,0,42.8707039824432,-78.8608510672687,2630,"(42.8707039824432, -78.8608510672687)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,ST LOUIS ST,Front,1,FILLMORE,0,42.9064882135913,-78.825214680518,2437,"(42.9064882135913, -78.825214680518)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,NORTHAMPTON ST,Front,1,ELLICOTT,0,42.9073969084534,-78.8454136616956,10202,"(42.9073969084534, -78.8454136616956)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,GOODYEAR AV,Front,1,FILLMORE,0,42.9062063763669,-78.8222289258798,17275,"(42.9062063763669, -78.8222289258798)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",11,80.35,2.32,290.44,0.06,11.27,8.94,36.19,53.57,20.38,0.77,0.11,41.01,68.15,97,PROSPECT AV,Front,1,FILLMORE,0,42.8919551840778,-78.8816572854658,15589,"(42.8919551840778, -78.8816572854658)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,WILSON ST,Front,1,FILLMORE,0,42.8900805859013,-78.840140828203,1547,"(42.8900805859013, -78.840140828203)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,JOHNSON ST,Front,1,ELLICOTT,0,42.8928418109453,-78.8483332304564,8809,"(42.8928418109453, -78.8483332304564)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,WYOMING AV,Front,1,MASTEN,0,42.9253746721446,-78.8242090459694,24720,"(42.9253746721446, -78.8242090459694)"
Olmsted,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182,DELAWARE AV,In_Lot,1,DELAWARE,DELAWARE,42.9301460309177,-78.8732451115718,98113,"(42.9301460309177, -78.8732451115718)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,FILLMORE AV,Front,1,FILLMORE,0,42.8989060720259,-78.83946554677,5656,"(42.8989060720259, -78.83946554677)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,LANDON ST,Front,1,ELLICOTT,0,42.9100813358617,-78.8497700105491,7153,"(42.9100813358617, -78.8497700105491)"
Buffalo,CORNUS KOUSA,"DOGWOOD, KOUSA",4,22.36,0.48,59.78,0.02,2.79,2.16,11.29,13.25,6.7,0.22,0.03,10.36,17.22,321,PENNSYLVANIA ST,Side,1,ELLICOTT,0,42.9003892284894,-78.8843898006772,15257,"(42.9003892284894, -78.8843898006772)"
Olmsted,ACER PLATANOIDES,"MAPLE, NORWAY",20,163.82,5.69,711.03,0.17,24.05,31.88,76.39,114.33,42.87,1.89,0.27,79.68,132.43,859,HUMBOLDT PKWY,Front,1,ELLICOTT,0,42.9114402815632,-78.8437556625973,34724,"(42.9114402815632, -78.8437556625973)"
Buffalo,ACER PLATANOIDES,"MAPLE, NORWAY",10,74.28,2.02,252.67,0.06,10.62,9.99,36.85,50.48,21.15,0.8,0.12,34.55,57.41,26,WOODLAWN AV,Front,1,MASTEN,0,42.9139887623174,-78.8639173065929,21368,"(42.9139887623174, -78.8639173065929)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,LAUX ST,Front,1,FILLMORE,0,42.8785177873477,-78.8322523972493,5486,"(42.8785177873477, -78.8322523972493)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,DELAVAN AVE EAST,Front,1,MASTEN,0,42.9218445721199,-78.8322792709158,22058,"(42.9218445721199, -78.8322792709158)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,MAPLE ST,Front,1,ELLICOTT,0,42.8977927374347,-78.8628912192563,14156,"(42.8977927374347, -78.8628912192563)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,EMSLIE ST,Front,1,ELLICOTT,0,42.8837034026953,-78.8488859782716,9173,"(42.8837034026953, -78.8488859782716)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,CARROLL ST,Front,1,FILLMORE,0,42.8744158421629,-78.8460691519663,5611,"(42.8744158421629, -78.8460691519663)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,GITTERE ST,Front,1,FILLMORE,0,42.9022123276823,-78.8269465581706,664,"(42.9022123276823, -78.8269465581706)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",9,71.73,1.72,215.15,0.04,7.31,7.53,26.49,34.74,15.36,0.54,0.08,42.94,71.37,202,DIVISION ST SOUTH,Front,1,ELLICOTT,0,42.8814723675719,-78.8682532674443,13092,"(42.8814723675719, -78.8682532674443)"
Buffalo,ULMUS PROPINQUA 'EMERALD SUNSHINE',"ELM, EMERALD SUNSHINE",2,60.79,0.39,48.67,0.01,1.39,0.96,4.97,6.6,2.88,0.09,0.01,55.32,91.95,903,ELLICOTT ST,Side,1,ELLICOTT,0,42.9022097827647,-78.8642914727013,17949,"(42.9022097827647, -78.8642914727013)"
Buffalo,MALUS 'HARVEST GOLD',"CRABAPPLE, HARVEST GOLD",2,13.38,0.17,21.55,0,0.93,0.7,4.05,4.43,2.43,0.08,0.01,9.08,15.09,471,HICKORY ST,Front,1,ELLICOTT,0,42.8912214735737,-78.8610983678244,12558,"(42.8912214735737, -78.8610983678244)"
Buffalo,AESCULUS HIPPOCASTANUM,"HORSECHESTNUT, COMMON",26,165.88,6.62,827.2,0.19,21.7,36.78,70.64,103.12,39.91,1.69,0.24,86.75,144.17,136,MOHR AV,Front,1,FILLMORE,0,42.8942795729759,-78.827203617241,4575,"(42.8942795729759, -78.827203617241)"
Olmsted,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,AGASSIZ CIR,Median,1,DELAWARE,DELAWARE,42.9303521135222,-78.8542664730146,64650,"(42.9303521135222, -78.8542664730146)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,PECKHAM ST,Front,1,ELLICOTT,0,42.8878014679693,-78.8506223571809,4810,"(42.8878014679693, -78.8506223571809)"
Buffalo,CARPINUS BETULUS,"HORNBEAM, EUROPEAN",18,129.48,6.11,763.6,0.09,23.38,11.62,73.41,111.14,41.08,1.73,0.25,48.14,80.01,163,LOMBARD ST,Front,1,FILLMORE,0,42.890570799351,-78.8370246260497,4747,"(42.890570799351, -78.8370246260497)"
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",16,203.8,15.38,1922.91,1.79,354.22,263.63,76.57,124.05,42.04,12.67,2.14,97.39,161.86,169,BIDWELL PKWY,Median,1,DELAWARE,0,42.923717980774,-78.8765581804142,48747,"(42.923717980774, -78.8765581804142)"
Buffalo,PLATANUS X ACERIFOLIA,LONDON PLANETREE,32,273.89,32.92,4114.43,2.7,509.31,371.73,124.87,206.65,68.12,22.04,3.44,91.36,151.84,57,RUHLAND AV,Front,1,FILLMORE,0,42.900910401728,-78.825957518572,183,"(42.900910401728, -78.825957518572)"
Olmsted,FAGUS SYLVATICA,"BEECH, EUROPEAN",29,241.98,14.5,1812.78,0.17,40.05,24.16,117.12,190.33,64.24,3.47,0.48,106.72,177.37,2182,DELAWARE AV,In_Lot,1,DELAWARE,DELAWARE,42.930298987286,-78.8732832178891,98118,"(42.930298987286, -78.8732832178891)"
Buffalo,TILIA CORDATA,"LINDEN, LITTLELEAF",21,110.74,5.61,701.34,0.08,23.69,11.81,76.85,112.61,43.37,1.82,0.26,26.38,43.84,235,ALABAMA ST,Front,1,FILLMORE,0,42.8704377415,-78.8608149010465,17453,"(42.8704377415, -78.8608149010465)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,MADISON ST,Front,1,ELLICOTT,0,42.8844623878908,-78.8528667486139,4889,"(42.8844623878908, -78.8528667486139)"
Buffalo,VACANT,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,HOWLETT ST,Front,1,FILLMORE,0,42.9016344413612,-78.8280523062169,16901,"(42.9016344413612, -78.8280523062169)"
