Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
781;2910 Kent St S;2910 E Kent Ave S;Completed;2019;;;;;;;;;;;;35;55;;;;90;0;0;Community Land Trust Foundation of BC;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=781;
784;4255 Arbutus St;4255 Artbutus St;Approved;;;;;;;;;;;;75;20;5;;;;25;0;100;;Arbutus-Ridge;;"{""type"": ""Point"", ""coordinates"": [-123.1552463, 49.2485828]}"
797;Fairhaven;2720 E 48th Ave;Completed;2020;25;;;;114;;;;;;;;;;;;0;139;0;;Victoria-Fraserview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=797;"{""type"": ""Point"", ""coordinates"": [-123.05137507, 49.22536362]}"
799;Mirabel 1180 Broughton;1180 Broughton Street;Under Construction;;;;;;;;;;;;1;21;13;;33;;34;0;34;;West End;;"{""type"": ""Point"", ""coordinates"": [-123.13558496, 49.28357792]}"
802;Roddan Lodge;124 Dunlevy;Approved;;;;;;;;;;;;;;;;;;0;0;57;;Strathcona;;"{""type"": ""Point"", ""coordinates"": [-123.0948261, 49.28373962]}"
807;River District 8a;3185 Riverwalk Avenue;Under Construction;;;;;;;;;;;;30;48;24;;7;;72;0;37;;Killarney;;"{""type"": ""Point"", ""coordinates"": [-123.03904061, 49.20603626]}"
809;River District 3;3183 Pierview Crescent;Approved;;;;;;;;;;;;11;44;25;;9;;69;0;20;;Killarney;;"{""type"": ""Point"", ""coordinates"": [-123.03975498, 49.20767029]}"
810;Ryerson Church;2200 - 2300 W 45th Ave;Approved;;;;;;;;;;;;13;6;;;13;;6;0;26;;Kerrisdale;;"{""type"": ""Point"", ""coordinates"": [-123.15944769, 49.23115707]}"
815;55-70 SW Marine Drive;55-79 SW Marine Drive;Approved;;;;;;;;;;;;15;15;13;;10;;28;0;25;;;;
818;33 W Cordova;33 W Cordova;Approved;;;;;;;;;;;;18;;;;62;;0;0;80;;Downtown;;"{""type"": ""Point"", ""coordinates"": [-123.10522539, 49.2828738]}"
827;1068 - 1080 Burnaby & 1318 Thurlow;1068 Burnaby;Approved;;;;;;;;;;;;;;;;;;0;0;0;;West End;;"{""type"": ""Point"", ""coordinates"": [-123.13226175, 49.27928398]}"
830;Belcourt;947 E Hastings;Completed;2018;;;;;;;;;;;30;17;;;23;;0;0;70;Lookout Emergency Aid Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=830;"{""type"": ""Point"", ""coordinates"": [-123.08403266, 49.28133997]}"
832;1636 Clark (1st & Clark);1636 Clark;Proposed;;;;;;;;;;;;;;;;;;0;0;97;;Grandview-Woodland;;"{""type"": ""Point"", ""coordinates"": [-123.07689399, 49.26993272]}"
839;220 Terminal;220 Terminal;Completed;2017;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;40;City of Vancouver;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=839;"{""type"": ""Point"", ""coordinates"": [-123.09968569, 49.27237498]}"
842;Chartrand Place;1131 Franklin Street;Completed;2018;;;;;7;;;;;;;;;;32;;0;0;39;PHS Community Services Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=842;"{""type"": ""Point"", ""coordinates"": [-123.0805724, 49.28257659]}"
846;New Beginnings;5077 and 5095 Heather Street;Completed;2019;;;;;12;;;;;;;;;;86;;0;0;98;Lu'Ma Native Housing Society;South Cambie;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=846;"{""type"": ""Point"", ""coordinates"": [-123.12199078, 49.23962564]}"
861;Nora Hendrix Place;258 Union St;Completed;2019;;;;;6;;;;;;;;;;46;;0;0;52;PHS Community Services Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=861;"{""type"": ""Point"", ""coordinates"": [-123.09935941, 49.27751701]}"
