Index Number;Name;Address;Project Status;Occupancy Year;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;Clientele- Families;Clientele - Seniors;Clientele - Other;Operator;Local Area;URL;Geom
677;Helping Spirit;1475 - 1495 Kingsway;Completed;2007;0;0;0;0;0;0;0;0;0;0;30;0;0;0;6;0;0;0;36;Helping Spirit Lodge Society;Kensington-Cedar Cottage;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=677;"{""type"": ""Point"", ""coordinates"": [-123.07371806, 49.24966055]}"
681;Orange Hall;341 Gore Ave;Completed;2007;0;0;0;0;0;0;0;0;0;0;17;3;0;0;7;0;0;0;27;S.U.C.C.E.S.S;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=681;"{""type"": ""Point"", ""coordinates"": [-123.09778996, 49.28159583]}"
682;Maria Gomez Replacement;111 Princess Av;Completed;2014;3;0;0;0;9;0;0;0;0;0;0;0;0;0;127;0;0;0;139;PHS Community Services Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=682;"{""type"": ""Point"", ""coordinates"": [-123.09179574, 49.28368398]}"
685;Honoria Conway;4875 Heather St;Completed;2008;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;60;0;Providence Health Care Society;South Cambie;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=685;"{""type"": ""Point"", ""coordinates"": [-123.12207964, 49.24200811]}"
691;Budzey Building;220 Princess Av;Completed;2015;0;3;0;0;9;0;0;0;0;0;14;10;11;0;100;0;24;0;123;Raincity Housing and Support Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=691;"{""type"": ""Point"", ""coordinates"": [-123.09089702, 49.2827536]}"
693;Phoenix Apartments;514 Alexander St;Completed;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lookout Emergency Aid Society;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=693;"{""type"": ""Point"", ""coordinates"": [-123.09241191, 49.28369517]}"
226;Maple Crest Apartment;2229 Maple St;Completed;1976;12;0;0;0;0;0;0;0;0;0;70;4;0;0;16;0;0;102;0;Shalom Branch #178 Canadian Legion;Kitsilano;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=226;"{""type"": ""Point"", ""coordinates"": [-123.15077883, 49.26595347]}"
240;False Creek Co-op;711 Millyard;Completed;1977;0;0;0;0;0;0;0;0;0;0;12;29;15;22;4;0;66;0;16;False Creek Co-op Housing Association;Fairview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=240;"{""type"": ""Point"", ""coordinates"": [-123.12174954, 49.26694875]}"
242;Nanaimo Place;76 N Nanaimo St;Completed;1987;1;0;0;0;0;0;0;0;0;0;3;14;6;0;0;0;20;0;4;Affordable Housing Societies;Hastings-Sunrise;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=242;"{""type"": ""Point"", ""coordinates"": [-123.0560918, 49.28535684]}"
244;Orchard Park;5701 Nanaimo St;Completed;1959;4;0;0;0;4;0;0;0;0;0;30;64;50;3;14;0;117;52;0;BC Housing;Victoria-Fraserview;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=244;"{""type"": ""Point"", ""coordinates"": [-123.05939466, 49.23115573]}"
245;Watershed Co-op;1416 Napier St;Completed;1981;0;0;0;0;0;0;0;0;0;0;3;5;4;2;0;0;11;0;3;Watershed Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=245;"{""type"": ""Point"", ""coordinates"": [-123.07496109, 49.27451785]}"
247;Nicholson Towers;1115 Nelson St;Completed;1969;0;0;0;0;0;0;0;0;0;0;36;0;0;0;187;0;0;223;0;The Bloom Group;West End;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=247;"{""type"": ""Point"", ""coordinates"": [-123.12867658, 49.28327763]}"
257;Mau Dan Gardens Co-op;350 E Pender St;Completed;1982;0;0;0;0;0;0;0;0;0;0;25;15;12;0;0;0;27;0;25;Mau Dan Gardens Co-op Housing Association;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=257;"{""type"": ""Point"", ""coordinates"": [-123.0957684, 49.27984549]}"
260;St. Barbara's Estia;3621 W 4th Ave;Completed;1993;2;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;28;2;Hellenic Housing Society of BC;Kitsilano;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=260;"{""type"": ""Point"", ""coordinates"": [-123.18453011, 49.26885935]}"
262;Lu'Ma Housing (Pender St);1710 E Pender St;Completed;1986;0;0;0;0;0;0;0;0;0;0;7;12;4;0;4;0;16;0;11;Lu'Ma Native Housing Society;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=262;"{""type"": ""Point"", ""coordinates"": [-123.07002235, 49.28001135]}"
263;Leveller's Co-op;1763 E Pender St;Completed;1985;2;0;0;0;0;0;0;0;0;0;5;22;6;0;0;0;28;0;7;Leveller's Co-op Housing Association;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=263;"{""type"": ""Point"", ""coordinates"": [-123.06880418, 49.28051041]}"
269;Pendrellis;1254 Pendrell St;Completed;1973;0;0;0;0;0;0;0;0;0;0;9;0;0;0;78;0;0;87;0;Parish of St.Paul-Pendrellis Society;West End;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=269;"{""type"": ""Point"", ""coordinates"": [-123.13344925, 49.28280452]}"
271;Jericho Place;3890 Point Grey Rd;Completed;1979;0;0;0;0;0;0;0;0;0;0;4;9;2;0;0;0;11;0;4;Dunbar Village Co-op Housing Association;West Point Grey;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=271;"{""type"": ""Point"", ""coordinates"": [-123.1908124, 49.27094926]}"
279;Vancouver Native (Pender St);1725 E Pender St;Completed;1994;2;0;0;0;0;0;0;0;0;0;7;6;17;8;0;0;31;7;2;Vancouver Native Housing Society;Grandview-Woodland;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=279;"{""type"": ""Point"", ""coordinates"": [-123.06970069, 49.28053613]}"
280;Princess Place;321 Princess Ave;Completed;1991;0;3;0;0;0;0;0;0;0;0;0;39;19;0;0;0;61;0;0;Affordable Housing Societies;Strathcona;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=280;"{""type"": ""Point"", ""coordinates"": [-123.09196577, 49.28187669]}"
