Property Reference,Charge Type,Gross Charge,Supplement,Small Business Relief,Charity Relief,Exemption Relief,Discretionary Relief,Additional Relief,Supporting Small Business Relief,Start Date,End Date,Company Name,Address,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,Socrata ID
UPRN00845018430045,Occupied,14990.55,266.50,0.00,0.00,0.00,0.00,0.00,0.00,28/01/2013,31/03/2013,GUINNESS WORLD RECORDS LIMITED,"3RD F, 184-192 DRUMMOND STREET, LONDON, NW1 3HP",529139,182478,-0.13982,51.526459,Postcode Level,"(51.526459, -0.13982)",30/10/2020 11:08:20 AM,http://opendatacommunities.org/id/london-borough-council/camden,54873
UPRN01175003436453,Void (empty),7163.45,134.91,0.00,0.00,0.00,0.00,0.00,0.00,09/06/2011,31/03/2012,ROYAL & SUN ALLIANCE INSURANCE PLC,"ROOM 4.5 4TH FLR BRACTON HOUSE, 34-36 HIGH HOLBORN, LONDON, WC1V 6YH",,,,,No spatial information available,,30/10/2020 11:07:43 AM,http://opendatacommunities.org/id/london-borough-council/camden,32379
UPRN00751002023034,Occupied,104092.00,2756.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,WIN TECHNOLOGIES (UK) LTD,"1ST FLR NORTH CENTRO 4, AT 20-23 MANDELA STREET, LONDON, NW1 0DW",,,,,No spatial information available,,30/10/2020 11:11:53 AM,http://opendatacommunities.org/id/london-borough-council/camden,183595
UPRN00895022291074,Void (empty),412.29,9.63,0.00,0.00,421.92,0.00,0.00,0.00,10/11/2014,31/03/2015,TRILLIUM HOLDINGS LTD,"CPS F14 BST LEVEL B3 AT, 222-236 GRAYS INN ROAD, LONDON, WC1X 8HB",530869,182256,-0.114978,51.524066,Postcode Level,"(51.524066, -0.114978)",30/10/2020 11:09:25 AM,http://opendatacommunities.org/id/london-borough-council/camden,92992
UPRN99123000130045,Occupied,1089.25,19.36,0.00,0.00,0.00,0.00,0.00,0.00,01/03/2013,31/03/2013,THE OFFICE GROUP PROPERTIES LIMITED,"R2.04 2ND FLR, 1 EUSTON SQUARE, LONDON, NW1 2EE",,,,,No spatial information available,,30/10/2020 11:08:21 AM,http://opendatacommunities.org/id/london-borough-council/camden,55412
UPRN0117500710015B,Occupied,1413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,MID CITY PLACE INVESTMENTS LTD,"CAR SPACE NO 6 BASEMENT, MID CITY PLACE, 71 HIGH HOLBORN, LONDON, WC1V 6EA",530809,181632,-0.1161,51.51847,Postcode Level,"(51.51847, -0.1161)",30/10/2020 11:09:14 AM,http://opendatacommunities.org/id/london-borough-council/camden,86158
UPRN01249005556041,Void (empty),7335.62,130.41,0.00,0.00,0.00,0.00,0.00,0.00,11/10/2012,17/12/2012,QUALITAS-IT LTD,"4TH FLR EAST QUEENS HOUSE, 55-56 LINCOLNS INN FIELDS, LONDON, WC2A 3LJ",530653,181301,-0.118444,51.515534,Postcode Level,"(51.515534, -0.118444)",30/10/2020 11:08:17 AM,http://opendatacommunities.org/id/london-borough-council/camden,53237
UPRN012040103E8997,Void (empty),1200.00,32.50,0.00,0.00,1232.50,0.00,0.00,0.00,01/04/2018,31/03/2019,ALMACANTAR CENTRE POINT NOMINEE NO.1 LIM,"BST 120 AT, 103 NEW OXFORD STREET, LONDON, WC1A 1DD",,,,,No spatial information available,,30/10/2020 11:11:33 AM,http://opendatacommunities.org/id/london-borough-council/camden,171106
UPRN0108700023017B,Occupied,1683.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,09/06/2013,PRUDENTIAL ASSURANCE COMPANY LTD,"2ND FL, 2-3 MORWELL STREET, LONDON, WC1B 3AR",529730,181597,-0.131655,51.518405,Postcode Level,"(51.518405, -0.131655)",30/10/2020 11:08:36 AM,http://opendatacommunities.org/id/london-borough-council/camden,64661
UPRN0123200101001A,Occupied,11025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,TRAVELODGE HOTELS LTD,"BST, 10 DRURY LANE, LONDON, WC2B 5RF",,,,,No spatial information available,,30/10/2020 11:08:11 AM,http://opendatacommunities.org/id/london-borough-council/camden,49212
UPRN0064102610000B,Void (empty),11136.76,310.68,0.00,0.00,11447.44,0.00,0.00,0.00,28/07/2017,26/09/2017,CAREBROOK (CAMDEN MARKET) LTD,"BST & GND FS, 261 CAMDEN HIGH STREET, LONDON, NW1 7BU",528814,183993,-0.143948,51.540148,Postcode Level,"(51.540148, -0.143948)",30/10/2020 11:11:04 AM,http://opendatacommunities.org/id/london-borough-council/camden,153377
UPRN00889099900981,Void (empty),185.52,4.83,0.00,0.00,190.35,0.00,0.00,0.00,01/04/2020,23/04/2020,INTERNATIONAL CURRENCY EXCHANGE LIMITED,"HSBC ATM BELOW CONCOURSE LEVEL, AT EUSTON STATION, EUSTON ROAD, LONDON, NW1 2DU",529587,182735,-0.133296,51.528664,Postcode Level,"(51.528664, -0.133296)",30/10/2020 11:12:33 AM,http://opendatacommunities.org/id/london-borough-council/camden,206870
UPRN99123000110101,Occupied,3024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,THE OFFICE GROUP PROPERTIES LIMITED,"RM 1.10 1ST FLR, 1 EUSTON SQUARE, LONDON, NW1 2EE",,,,,No spatial information available,,30/10/2020 11:09:52 AM,http://opendatacommunities.org/id/london-borough-council/camden,109741
UPRN01133001620011,Occupied,46656.50,1215.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2020,,PROSPECT BUSINESS CENTRES (MIDTOWN) LIMI,"EAGLE HOUSE, OFFICE A 1ST FLR, 16 PROCTER STREET, LONDON, NW1V 6NX",,,,,No spatial information available,,30/10/2020 11:12:43 AM,http://opendatacommunities.org/id/london-borough-council/camden,212917
UPRN00751000520021,Void (empty),2371.83,62.80,0.00,0.00,2434.63,0.00,0.00,0.00,24/01/2020,31/03/2020,JOHN KALDOR FABRICMAKER U.K.LTD,"UNIT 6 AT, 5-12 MANDELA STREET, LONDON, NW1 0DU",529300,183766,-0.137053,51.537995,Postcode Level,"(51.537995, -0.137053)",30/10/2020 11:12:22 AM,http://opendatacommunities.org/id/london-borough-council/camden,200488
UPRN00895001460049,Occupied,1129.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,30/09/2019,WEWORK INTERNATIONAL LTD,"RM 3.045 AT 3RD FLR, FOX COURT, 14 GRAY'S INN ROAD, LONDON, WC1X 8HN",531135,181691,-0.111382,51.518925,Postcode Level,"(51.518925, -0.111382)",30/10/2020 11:11:56 AM,http://opendatacommunities.org/id/london-borough-council/camden,185550
UPRN01058004800296,Occupied,882.08,0.00,882.08,0.00,0.00,0.00,0.00,0.00,24/10/2011,31/03/2012,HIPERCEPT CANADA INC,"ROOM 3.03 3RD FLR, 48-54 CHARLOTTE STREET, LONDON, W1T 4PF",529397,181743,-0.136372,51.519795,Postcode Level,"(51.519795, -0.136372)",30/10/2020 11:07:47 AM,http://opendatacommunities.org/id/london-borough-council/camden,34859
UPRN01175022920013,Occupied,60984.00,1188.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,DECIDEDLY LIMITED - IN ADMINISTRATION,"4TH F KINGSBOURNE HOUSE, 229-231 HIGH HOLBORN, LONDON, WC1V 7DA",530558,181515,-0.119758,51.517477,Postcode Level,"(51.517477, -0.119758)",30/10/2020 11:08:38 AM,http://opendatacommunities.org/id/london-borough-council/camden,66443
UPRN01058007678052,Occupied,26775.00,476.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,MILLENNIAL MEDIA LTD,"3RD F, 76-78 CHARLOTTE STREET, LONDON, W1T 4QW",,,,,No spatial information available,,30/10/2020 11:08:05 AM,http://opendatacommunities.org/id/london-borough-council/camden,45604
UPRN00159001712012,Occupied,11775.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,01/04/2014,31/03/2015,AYMAR LTD,"GND & BST, 17 FLASK WALK, LONDON, NW3 1HJ",526439,185769,-0.177563,51.556643,Postcode Level,"(51.556643, -0.177563)",30/10/2020 11:08:57 AM,http://opendatacommunities.org/id/london-borough-council/camden,76710
UPRN01175001600014,Void (empty),39858.32,786.15,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,30/09/2010,NINECOURT LIMITED,"1ST FLR, 16 HIGH HOLBORN, LONDON, WC1V 6BX",531066,181642,-0.112394,51.518501,Postcode Level,"(51.518501, -0.112394)",30/10/2020 11:07:08 AM,http://opendatacommunities.org/id/london-borough-council/camden,9996
UPRN00242005400016,Occupied,1653.44,0.00,68.17,0.00,0.00,0.00,0.00,0.00,01/04/2011,30/09/2011,CONSORTIUM REAL ESTATE LIMITED,"GND F, 54 MILL LANE, LONDON, NW6 1NJ",524866,185124,-0.20047,51.551197,Postcode Level,"(51.551197, -0.20047)",30/10/2020 11:07:23 AM,http://opendatacommunities.org/id/london-borough-council/camden,19341
UPRN01148003702202,Occupied,1271.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,S H M PRODUCTIONS LIMITED,"CAR SPACE 22 R/O, 37-41 BEDFORD ROW, LONDON, WC1R 4JH",530789,181769,-0.116337,51.519706,Postcode Level,"(51.519706, -0.116337)",30/10/2020 11:09:13 AM,http://opendatacommunities.org/id/london-borough-council/camden,85760
UPRN00242003100006,Occupied,4698.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26/07/2018,31/03/2019,D.A. PHILLIPS & CO. LIMITED,"31 MILL LANE, LONDON, NW6 1NX",524821,185147,-0.20111,51.551413,Postcode Level,"(51.551413, -0.20111)",30/10/2020 11:11:40 AM,http://opendatacommunities.org/id/london-borough-council/camden,175528
UPRN01188003520031,Occupied,5625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,THE OFFICE (KIRBY) LTD,"ROOMS 1.02 & 1.03 1ST FLR, 31-35 KIRBY STREET, LONDON, EC1N 8TE",531400,181809,-0.107495,51.519926,Postcode Level,"(51.519926, -0.107495)",30/10/2020 11:08:09 AM,http://opendatacommunities.org/id/london-borough-council/camden,48216
UPRN00948020020817,Occupied,192717.50,5102.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,NEXT NEAR EAST LIMITED,"1ST FLR GLEN HOUSE, 200-208 TOTTENHAM COURT ROAD, LONDON, W1T 7PL",529549,181853,-0.134168,51.520747,Postcode Level,"(51.520747, -0.134168)",30/10/2020 11:11:58 AM,http://opendatacommunities.org/id/london-borough-council/camden,187256
UPRN0000029010802B,Occupied,228292.50,5947.50,0.00,187392.00,0.00,46848.00,0.00,0.00,01/04/2020,,LBC-S25401623140,"LA SAINTE UNION CONVENT SCHOOL, CROFTDOWN ROAD, LONDON, NW5 1EP",528748,186249,-0.1441,51.560435,Postcode Level,"(51.560435, -0.1441)",30/10/2020 11:12:23 AM,http://opendatacommunities.org/id/london-borough-council/camden,201328
UPRN00895022291528,Void (empty),261.31,6.10,0.00,0.00,267.41,0.00,0.00,0.00,01/01/2015,31/03/2015,NEWS CORP UK & IRELAND LIMITED,"CPS H16 BST LEVEL B4 AT, 222-236 GRAYS INN ROAD, LONDON, WC1X 8HB",530869,182256,-0.114978,51.524066,Postcode Level,"(51.524066, -0.114978)",30/10/2020 11:09:27 AM,http://opendatacommunities.org/id/london-borough-council/camden,93932
UPRN01051005961038,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/10/2014,31/03/2015,KENRIGHT PROPERTIES LTD,"(EXC GND FLR 59) BST & GND FLR, 59-61 FARRINGDON ROAD, LONDON, EC1M 3JB",531486,181855,-0.106239,51.520319,Postcode Level,"(51.520319, -0.106239)",30/10/2020 11:09:24 AM,http://opendatacommunities.org/id/london-borough-council/camden,92236
UPRN0064200312000B,Occupied,51555.00,1365.00,0.00,0.00,0.00,6000.00,0.00,0.00,01/04/2019,31/03/2020,FIFTY-FIVE BAR & LOUNGE LIMITED,"LUSH, 31 JAMESTOWN ROAD, LONDON, NW1 7DB",528608,183962,-0.146928,51.539917,Postcode Level,"(51.539917, -0.146928)",30/10/2020 11:11:52 AM,http://opendatacommunities.org/id/london-borough-council/camden,182986
UPRN01204004200007,Occupied,18342.01,287.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,LE SAVOIR FAIRE LTD,"42 NEW OXFORD STREET, LONDON, WC1A 1EP",530144,181486,-0.125732,51.517312,Postcode Level,"(51.517312, -0.125732)",30/10/2020 11:07:38 AM,http://opendatacommunities.org/id/london-borough-council/camden,29377
UPRN01261014210232,Occupied,120.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2018,30/04/2018,WEWORK INTERNATIONAL LTD,"RM 2.032 2ND FLR, WATERHOUSE SQUAR, 142 HOLBORN, LONDON, EC1N 2NH",,,,,No spatial information available,,30/10/2020 11:11:35 AM,http://opendatacommunities.org/id/london-borough-council/camden,172427
UPRN01238004042021,Occupied,29202.00,682.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,77AGENCY LIMITED,"2ND FLR ELITE HOUSE, 40-42 PARKER STREET, LONDON, WC2B 5PH",530426,181290,-0.121717,51.515487,Postcode Level,"(51.515487, -0.121717)",30/10/2020 11:09:17 AM,http://opendatacommunities.org/id/london-borough-council/camden,87961
UPRN01049007920103,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,WELSAS INVESTMENTS LTD,"10, GRIFFIN HOUSE, SAFFRON HILL, LONDON, EC1N 8QN",,,,,No spatial information available,,30/10/2020 11:07:33 AM,http://opendatacommunities.org/id/london-borough-council/camden,26254
UPRN00895006000022,Occupied,25793.48,704.81,0.00,0.00,0.00,1056.16,0.00,0.00,01/04/2018,13/12/2018,GROW BAG CAPITAL LTD,"GROUND FLR SOUTH, 60 GRAY'S INN ROAD, LONDON, WC1X 8LT",531084,181805,-0.112048,51.519963,Postcode Level,"(51.519963, -0.112048)",30/10/2020 11:11:22 AM,http://opendatacommunities.org/id/london-borough-council/camden,163900
UPRN00948014114516,Occupied,424060.00,11830.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2017,31/03/2018,SAINSBURYS SUPERMARKETS LTD,"GND FLR, 141-145 TOTTENHAM COURT ROAD, LONDON, W1T 7NE",529313,182233,-0.137403,51.524217,Postcode Level,"(51.524217, -0.137403)",30/10/2020 11:10:49 AM,http://opendatacommunities.org/id/london-borough-council/camden,143342
UPRN01537000300001,Occupied,18818.22,669.68,0.00,0.00,0.00,0.00,0.00,0.00,22/01/2018,31/03/2018,OPEN HOUSE LONDON LIMITED,"THE LIGHTERMAN, 3 GRANARY SQUARE, LONDON, N1C 4BH",530176,183615,-0.124485,51.536437,Postcode Level,"(51.536437, -0.124485)",30/10/2020 11:11:10 AM,http://opendatacommunities.org/id/london-borough-council/camden,156808
UPRN00550006800008,Void (empty),31.82,0.85,0.00,0.00,32.67,0.00,0.00,0.00,01/04/2016,03/04/2016,SINGLE HOMELESS PROJECT,"68 KINGSGATE ROAD, LONDON, NW6 4TE",525219,184161,-0.195724,51.542464,Postcode Level,"(51.542464, -0.195724)",30/10/2020 11:10:05 AM,http://opendatacommunities.org/id/london-borough-council/camden,117583
UPRN01126008815026,Occupied,2376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,SUNCORP INVESTMENTS (UK) LIMITED,"ROOM 502 5TH F, 88 KINGSWAY, LONDON, WC2B 6AA",530553,181488,-0.11984,51.517236,Postcode Level,"(51.517236, -0.11984)",30/10/2020 11:09:45 AM,http://opendatacommunities.org/id/london-borough-council/camden,105456
UPRN002120032C0081,Void (empty),491.00,13.00,0.00,0.00,504.00,0.00,0.00,0.00,01/04/2019,31/03/2020,F55 GOSPEL S.A.R.L,"SPACE 8 32-34, GORDON HOUSE ROAD, LONDON, NW5 1LP",528462,185750,-0.148406,51.556016,Postcode Level,"(51.556016, -0.148406)",30/10/2020 11:11:48 AM,http://opendatacommunities.org/id/london-borough-council/camden,180587
UPRN01046003800029,Occupied,660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,DORRINGTON HATTON LIMITED,"BST STORE B AT, 38 HATTON GARDEN, LONDON, EC1N 8EB",531359,181843,-0.108099,51.520239,Postcode Level,"(51.520239, -0.108099)",30/10/2020 11:09:42 AM,http://opendatacommunities.org/id/london-borough-council/camden,103591
UPRN00961000119493,Occupied,765960.00,20280.00,0.00,628992.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,UNIVERSITY COLLEGE LONDON,"(INC 43-49 HUNTLEY STREET), 1-19 TORRINGTON PLACE, LONDON, WC1H 9PA",530237,182643,-0.123966,51.527688,Postcode Level,"(51.527688, -0.123966)",30/10/2020 11:11:59 AM,http://opendatacommunities.org/id/london-borough-council/camden,187464
UPRN00357002700244,Void (empty),10877.93,299.91,0.00,0.00,0.00,0.00,0.00,0.00,21/09/2019,31/03/2020,LBC - G26230623140,"UNIT 21, DEANE HOUSE, 27 GREENWOOD PLACE, LONDON, NW5 1LB",528809,185405,-0.143529,51.552836,Postcode Level,"(51.552836, -0.143529)",30/10/2020 11:12:18 AM,http://opendatacommunities.org/id/london-borough-council/camden,198525
UPRN01531002010229,Occupied,1080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,DS SMITH PLC,"CAR SPACE 29 - BST, 20 TRITON STREET, LONDON, NW1 3BF",528970,182301,-0.142345,51.524905,Postcode Level,"(51.524905, -0.142345)",30/10/2020 11:09:51 AM,http://opendatacommunities.org/id/london-borough-council/camden,108754
UPRN01046003600108,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/05/2015,DORRINGTON HATTON LIMITED,"1ST F REAR SUITE G DIAMOND HOUSE, 36-38 HATTON GARDEN, LONDON, EC1N 8EB",531359,181843,-0.108099,51.520239,Postcode Level,"(51.520239, -0.108099)",30/10/2020 11:09:42 AM,http://opendatacommunities.org/id/london-borough-council/camden,103575
UPRN00948016320034,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28/07/2011,31/03/2012,UCLH CHARITIES,"1ST & 2ND FLRS, 163-170 TOTTENHAM COURT ROAD, LONDON, W1T 7NP",529405,182087,-0.136156,51.522882,Postcode Level,"(51.522882, -0.136156)",30/10/2020 11:07:44 AM,http://opendatacommunities.org/id/london-borough-council/camden,33226
UPRN01114002710012,Occupied,10117.50,166.25,0.00,8227.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,UNIVERSITY COLLEGE LONDON,"GND FLR SOUTH EAST & 1ST FLR SOUTH, 27 A B C, OLD GLOUCESTER STREET, LONDON, WC1N 3XX",,,,,No spatial information available,,30/10/2020 11:07:35 AM,http://opendatacommunities.org/id/london-borough-council/camden,27388
UPRN00889035000701,Occupied,1080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,ELEXON UK  LTD,"CAR SPACE 7 BST, 350 EUSTON ROAD, LONDON, NW1 2RT",529587,182735,-0.133296,51.528664,Postcode Level,"(51.528664, -0.133296)",30/10/2020 11:09:37 AM,http://opendatacommunities.org/id/london-borough-council/camden,100500
UPRN00784005930012,Occupied,28478.00,754.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,NHS PROPERTY SERVICES LTD (NHS PSL),"GND & 1ST FLRS, CROWNDALE HEALTH CENTRE, 53-59 CROWNDALE ROAD, LONDON, NW1 1TN",529293,183388,-0.137293,51.5346,Postcode Level,"(51.5346, -0.137293)",30/10/2020 11:11:53 AM,http://opendatacommunities.org/id/london-borough-council/camden,184115
UPRN00948001836411,Occupied,1221.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,31/03/2011,S TECHNOLOGIES LIMITED,"NO.155 BST PT CENTRAL CROSS HSE, 18-36 TOTTENHAM COURT ROAD, LONDON, W1T 1BL",,,,,No spatial information available,,30/10/2020 11:07:01 AM,http://opendatacommunities.org/id/london-borough-council/camden,6060
UPRN01126008810031,Occupied,827.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,29/04/2012,MWB BUSINESS EXCHANGE CENTRES LIMITED,"ROOM 410 A 4TH FLR, 88 KINGSWAY, LONDON, WC2B 6AA",530553,181488,-0.11984,51.517236,Postcode Level,"(51.517236, -0.11984)",30/10/2020 11:08:07 AM,http://opendatacommunities.org/id/london-borough-council/camden,46790
UPRN00000140432015,Occupied,118805.79,1995.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,THORNTONS BUDGENS LIMITED,"199-201 HAVERSTOCK HILL, LONDON, NW3 2BA",527678,184827,-0.160017,51.547901,Postcode Level,"(51.547901, -0.160017)",30/10/2020 11:07:21 AM,http://opendatacommunities.org/id/london-borough-council/camden,18315
UPRN01035014614835,Occupied,15517.57,254.98,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,20/12/2011,INTERNATIONAL TEACHERS NETWORK LTD,"3RD FLR HUMATT HOUSE, 146-148 CLERKENWELL ROAD, LONDON, EC1R 5DU",531158,182054,-0.110916,51.522182,Postcode Level,"(51.522182, -0.110916)",30/10/2020 11:07:32 AM,http://opendatacommunities.org/id/london-borough-council/camden,25591
UPRN00782000100229,Void (empty),1055.76,37.40,0.00,0.00,1093.16,0.00,0.00,0.00,04/12/2017,31/03/2018,HS2 LTD,"ROOM 2 2ND FLR THE PODIUM, 1 EVERSHOLT STREET, LONDON, NW1 1BA",529227,183310,-0.138272,51.533914,Postcode Level,"(51.533914, -0.138272)",30/10/2020 11:11:09 AM,http://opendatacommunities.org/id/london-borough-council/camden,155823
UPRN00948017000564,Occupied,120295.00,3185.00,0.00,98784.00,0.00,0.00,0.00,0.00,01/04/2019,31/03/2020,UCLH CHARITIES,"THE COTTON ROOMS 5TH & 6TH AT, 170 TOTTENHAM COURT ROAD, LONDON, W1T 7NP",529405,182087,-0.136156,51.522882,Postcode Level,"(51.522882, -0.136156)",30/10/2020 11:11:58 AM,http://opendatacommunities.org/id/london-borough-council/camden,187210
UPRN00000131998018,Occupied,46149.88,770.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,31/03/2011,CHESTERTON GLOBAL LIMITED,"BST & GND FS 55-56, HAMPSTEAD HIGH STREET, LONDON, NW3 1QH",526394,185723,-0.178229,51.55624,Postcode Level,"(51.55624, -0.178229)",30/10/2020 11:06:51 AM,http://opendatacommunities.org/id/london-borough-council/camden,45
UPRN01046006330355,Occupied,11182.50,183.75,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,CORNELIUS & DAVIES LIMITED,"5TH F FRNT N, 63-66 HATTON GARDEN, LONDON, EC1N 8LE",531296,181934,-0.108972,51.521071,Postcode Level,"(51.521071, -0.108972)",30/10/2020 11:07:32 AM,http://opendatacommunities.org/id/london-borough-council/camden,25992
UPRN00895031420034,Occupied,153442.50,3997.50,0.00,125952.00,0.00,0.00,0.00,0.00,01/04/2020,,THE TERRENCE HIGGINS TRUST,"3RD-5TH FLRS, 314-320 GRAY'S INN ROAD, LONDON, WC1X 8JU",,,,,No spatial information available,,30/10/2020 11:12:34 AM,http://opendatacommunities.org/id/london-borough-council/camden,207851
UPRN00816005900006,Occupied,13468.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2017,31/03/2018,LBC - G26457623140,"59 CHESTER ROAD, LONDON, NW1 4NP",,,,,No spatial information available,,30/10/2020 11:10:44 AM,http://opendatacommunities.org/id/london-borough-council/camden,140532
UPRN01058004800129,Occupied,896.78,16.63,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/05/2011,AVANTA MANAGEMENT SERVICES LTD,"ROOM 1.10 1ST FLR, 48-54 CHARLOTTE STREET, LONDON, W1T 4PF",529397,181743,-0.136372,51.519795,Postcode Level,"(51.519795, -0.136372)",30/10/2020 11:07:33 AM,http://opendatacommunities.org/id/london-borough-council/camden,26420
UPRN01256700010002,Void (empty),1531.23,27.22,0.00,0.00,1558.45,0.00,0.00,0.00,09/07/2012,08/10/2012,RAINGATE LIMITED,"1 CHICHESTER RENTS, LONDON, WC2A 1EG",531078,181346,-0.112306,51.51584,Postcode Level,"(51.51584, -0.112306)",30/10/2020 11:08:15 AM,http://opendatacommunities.org/id/london-borough-council/camden,51909
UPRN00782000100213,Void (empty),6508.72,195.43,0.00,0.00,6704.15,0.00,0.00,0.00,04/12/2017,31/03/2018,HS2 LTD,"ROOMS 2.10 - 2.13 2ND FLR, THE PODIUM, 1 EVERSHOLT STREET, LONDON, NW1 1BA",529227,183310,-0.138272,51.533914,Postcode Level,"(51.533914, -0.138272)",30/10/2020 11:11:09 AM,http://opendatacommunities.org/id/london-borough-council/camden,155816
UPRN00889900900093,Occupied,90.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,TRANSPORT FOR LONDON,"2/610203, EUSTON ROAD, LONDON, NW1 2DG",,,,,No spatial information available,,30/10/2020 11:09:06 AM,http://opendatacommunities.org/id/london-borough-council/camden,81069
UPRN00363010600033,Void (empty),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18/07/2016,31/03/2017,SACKVILLE UK PROPERTY SELECT II (GP) NO.,"GND F FRONT LEFT CAMDEN ISLAND, 106-110 KENTISH TOWN ROAD, LONDON, NW1 9PX",528987,184460,-0.141284,51.544306,Postcode Level,"(51.544306, -0.141284)",30/10/2020 11:10:30 AM,http://opendatacommunities.org/id/london-borough-council/camden,132076
UPRN0001500511001B,Void (empty),4225.82,111.89,0.00,0.00,4337.71,0.00,0.00,0.00,01/04/2019,11/06/2019,HIGHGATE PROPCO LTD,"GND, 51 HIGHGATE HIGH STREET, LONDON, N6 5HX",,,,,No spatial information available,,30/10/2020 11:11:46 AM,http://opendatacommunities.org/id/london-borough-council/camden,179716
UPRN01224000810035,Occupied,13623.94,265.40,0.00,0.00,0.00,0.00,0.00,0.00,04/09/2013,31/03/2014,CVS LONDON LIMITED,"GND FLR, 8-10 NEALS YARD, LONDON, WC2H 9DP",530093,181175,-0.126556,51.51453,Postcode Level,"(51.51453, -0.126556)",30/10/2020 11:08:47 AM,http://opendatacommunities.org/id/london-borough-council/camden,71575
UPRN0123400121222A,Occupied,12589.50,245.25,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,WORLD SCIENTIFIC PUBLISHING CO L,"BST,GND,1ST & 2ND FS, 57 SHELTON STREET, LONDON, WC2H 9HE",530273,181190,-0.123958,51.514624,Postcode Level,"(51.514624, -0.123958)",30/10/2020 11:08:40 AM,http://opendatacommunities.org/id/london-borough-council/camden,67900
UPRN01203002210079,Occupied,1462.82,0.00,1023.93,0.00,0.00,0.00,0.00,0.00,10/11/2015,31/03/2016,DENMARK STREET STUDIOS LIMITED,"BST, 22 DENMARK STREET, LONDON, WC2H 8NA",,,,,No spatial information available,,30/10/2020 11:09:58 AM,http://opendatacommunities.org/id/london-borough-council/camden,112999
UPRN01079003132031,Occupied,59223.97,1127.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,31/03/2011,MICRO ANVIKA LIMITED - IN CVA,"GND FLR REMAX HOUSE, 31-32 ALFRED PLACE, LONDON, WC1E 7DP",529679,181770,-0.132326,51.519971,Postcode Level,"(51.519971, -0.132326)",30/10/2020 11:07:05 AM,http://opendatacommunities.org/id/london-borough-council/camden,8539
