Property Reference,Charge Type,Gross Charge,Supplement,Small Business Relief,Charity Relief,Exemption Relief,Discretionary Relief,Additional Relief,Supporting Small Business Relief,Start Date,End Date,Company Name,Address,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,Socrata ID
UPRN00362016310001,Occupied,14346.25,0.00,0.00,0.00,0.00,0.00,14346.25,0.00,01/04/2020,,COSTA LTD,"GND FLR, 163 FORTESS ROAD, LONDON, NW5 2HR",529097,185777,-0.139241,51.556114,Postcode Level,"(51.556114, -0.139241)",30/10/2020 11:12:26 AM,http://opendatacommunities.org/id/london-borough-council/camden,202962
UPRN00633001100176,Occupied,141300.00,3300.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2014,31/03/2015,INTERTAIN LIMITED,"LOCK 17, 11 EAST YARD, CAMDEN LOCK PLACE, LONDON, NW1 8AL",528679,184140,-0.145866,51.541498,Postcode Level,"(51.541498, -0.145866)",30/10/2020 11:09:02 AM,http://opendatacommunities.org/id/london-borough-council/camden,78766
UPRN01086000102904,Occupied,1278.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2011,31/03/2012,DERWENT LONDON PLC,"CAR SPACE 290, 1 STEPHEN STREET, LONDON, W1T 1AL",529694,181517,-0.132203,51.517694,Postcode Level,"(51.517694, -0.132203)",30/10/2020 11:07:34 AM,http://opendatacommunities.org/id/london-borough-council/camden,26867
UPRN01212019600024,Occupied,35843.00,949.00,0.00,0.00,0.00,600.00,0.00,0.00,01/04/2019,31/03/2020,CHESTERTON GLOBAL LIMITED,"BST & GND, 196 SHAFTESBURY AVENUE, LONDON, WC2H 8LF",,,,,No spatial information available,,30/10/2020 11:12:09 AM,http://opendatacommunities.org/id/london-borough-council/camden,193353
UPRN00889055509152,Occupied,63442.82,2743.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2017,31/03/2018,TML REALISATIONS LIMITED - IN ADMIN,"UNIT 15 WESTERN CONCOURSE, KINGS CROSS BR STATION, EUSTON ROAD, LONDON, N1 9AL",,,,,No spatial information available,,30/10/2020 11:10:46 AM,http://opendatacommunities.org/id/london-borough-council/camden,141439
UPRN01058000800007,Occupied,44583.00,868.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,BLANC BRASSERIES LTD,"8 CHARLOTTE STREET, LONDON, W1T 2LS",,,,,No spatial information available,,30/10/2020 11:08:35 AM,http://opendatacommunities.org/id/london-borough-council/camden,64148
UPRN01073001011033,Occupied,18274.06,353.50,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,31/03/2011,BLADONMORE LIMITED,"GND FLR LEFT & PT RIGHT, 10-11 PERCY STREET, LONDON, W1T 1DN",529620,181563,-0.133226,51.518126,Postcode Level,"(51.518126, -0.133226)",30/10/2020 11:07:05 AM,http://opendatacommunities.org/id/london-borough-council/camden,8430
UPRN00889035000049,Occupied,796500.00,14160.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,ELEXON UK  LTD,"4TH & 5TH FLRS, 350 EUSTON ROAD, LONDON, NW1 3BL",,,,,No spatial information available,,30/10/2020 11:07:59 AM,http://opendatacommunities.org/id/london-borough-council/camden,42184
UPRN01085001113902,Occupied,1221.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,31/03/2011,ORANGE PCS LTD,"SITE (GLN 197) AT, 11-13 BAYLEY STREET, BEDFORD SQUARE, LONDON, WC1B 3HD",529709,181648,-0.131939,51.518868,Postcode Level,"(51.518868, -0.131939)",30/10/2020 11:07:05 AM,http://opendatacommunities.org/id/london-borough-council/camden,8589
UPRN012040103I7991,Occupied,1350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,C B I,"BST 142 AT 103, NEW OXFORD STREET, LONDON, WC1A 1DD",,,,,No spatial information available,,30/10/2020 11:08:10 AM,http://opendatacommunities.org/id/london-borough-council/camden,48733
UPRN00782009900081,Occupied,84824.10,2834.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2017,31/03/2018,JUNIFER SYSTEMS LTD,"1ST FLR NORTH BLOCK CARRIAGE ROW, 203 EVERSHOLT STREET, LONDON, NW1 1BL",529414,183102,-0.135654,51.532002,Postcode Level,"(51.532002, -0.135654)",30/10/2020 11:10:44 AM,http://opendatacommunities.org/id/london-borough-council/camden,140348
UPRN01162001409995,Occupied,454.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2016,31/03/2017,HONOURABLE SOCIETY OF GRAYS INN,"BST 6 AT, 14 GRAYS INN SQUARE, LONDON, WC1R 5JP",531071,181755,-0.11228,51.519515,Postcode Level,"(51.519515, -0.11228)",30/10/2020 11:10:20 AM,http://opendatacommunities.org/id/london-borough-council/camden,126505
UPRN01184001000003,Occupied,17633.63,0.00,0.00,0.00,0.00,150.00,0.00,0.00,01/04/2017,31/03/2018,DAN LTD,"10 ST CROSS STREET, LONDON, EC1N 8UB",531298,181869,-0.108942,51.520489,Postcode Level,"(51.520489, -0.108942)",30/10/2020 11:10:56 AM,http://opendatacommunities.org/id/london-borough-council/camden,148377
UPRN00423006900008,Occupied,2127.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2019,31/05/2019,REGAL HOMES CONSTRUCTION LIMITED,"BST & GND FS, 69 FAIRFAX ROAD, LONDON, NW6 4EE",526334,184211,-0.179636,51.542665,Postcode Level,"(51.542665, -0.179636)",30/10/2020 11:11:49 AM,http://opendatacommunities.org/id/london-borough-council/camden,181701
UPRN00968000139999,Occupied,30030.00,585.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,BLOOMSBURY INSTITUTE LIMITED,"4TH F DILKE HOUSE, 1 MALET STREET, LONDON, WC1E 7JG",,,,,No spatial information available,,30/10/2020 11:08:33 AM,http://opendatacommunities.org/id/london-borough-council/camden,62818
UPRN01108700420002,Occupied,136800.00,3705.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2015,31/03/2016,S&K CAR PARK MANAGEMENT LTD,"CAR PARK, BLOOMSBURY SQUARE, LONDON, WC1B 2SL",,,,,No spatial information available,,30/10/2020 11:09:45 AM,http://opendatacommunities.org/id/london-borough-council/camden,105067
UPRN01212015400012,Occupied,78343.00,2041.00,0.00,0.00,0.00,0.00,80384.00,0.00,01/04/2020,,SHAFTESBURY COVENT GARDEN LIMITED,"BST & GRD FLR, 154 SHAFTESBURY AVENUE, LONDON, WC2H 8HL",529982,181092,-0.128211,51.513808,Postcode Level,"(51.513808, -0.128211)",30/10/2020 11:12:48 AM,http://opendatacommunities.org/id/london-borough-council/camden,215091
UPRN00737011620001,Occupied,77616.00,1512.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2013,31/03/2014,GL DAMECK LTD,"BST GND FLR SOUTH & 1ST FLRS, 116-134 BAYHAM STREET, LONDON, NW1 0BA",529045,183856,-0.140669,51.538864,Postcode Level,"(51.538864, -0.140669)",30/10/2020 11:08:28 AM,http://opendatacommunities.org/id/london-borough-council/camden,59589
UPRN01175000800003,Occupied,86210.00,2405.00,0.00,0.00,0.00,3000.00,0.00,0.00,01/04/2017,31/03/2018,HOLLAND & BARRETT RETAIL LTD,"8 HIGH HOLBORN, LONDON, WC1V 6DR",531101,181636,-0.111892,51.518439,Postcode Level,"(51.518439, -0.111892)",30/10/2020 11:10:55 AM,http://opendatacommunities.org/id/london-borough-council/camden,147658
UPRN00006000011116,Void (empty),1176.62,32.50,0.00,0.00,1209.12,0.00,0.00,0.00,01/04/2018,31/03/2019,LBC - G26431623140,"TOLLGATE HOUSE, SPANIARDS ROAD, LONDON, NW3 7JJ",,,,,No spatial information available,,30/10/2020 11:11:12 AM,http://opendatacommunities.org/id/london-borough-council/camden,157989
UPRN0019900032000B,Occupied,145125.00,2580.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2012,31/03/2013,LBC-G26406623140,"3-5 CRESSY ROAD, LONDON, NW3 2NB",527582,185606,-0.161144,51.554921,Postcode Level,"(51.554921, -0.161144)",30/10/2020 11:07:52 AM,http://opendatacommunities.org/id/london-borough-council/camden,38135
UPRN00153002810012,Occupied,682.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/02/2019,31/03/2019,LONDON & HAMPSTEAD SERVICED OFFICES LTD,"SUITE 1 GND FLR, 28B HAMPSTEAD HIGH STREET, LONDON, NW3 1QA",526514,185692,-0.17651,51.555934,Postcode Level,"(51.555934, -0.17651)",30/10/2020 11:11:44 AM,http://opendatacommunities.org/id/london-borough-council/camden,178629
UPRN00780011200519,Occupied,642.28,11.05,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2010,13/01/2011,UCLH,"CAR SPACE 2, 112 HAMPSTEAD ROAD, LONDON, NW1 2LS",529245,182683,-0.138243,51.528275,Postcode Level,"(51.528275, -0.138243)",30/10/2020 11:06:57 AM,http://opendatacommunities.org/id/london-borough-council/camden,3941
UPRN00755044401712,Occupied,11929.73,232.40,0.00,0.00,0.00,0.00,0.00,0.00,07/11/2013,31/03/2014,MAGICGOAL LTD,"UNIT 17A, ST PANCRAS INTERNATIONAL STATION, PANCRAS ROAD, LONDON, NW1 2QP",,,,,No spatial information available,,30/10/2020 11:08:49 AM,http://opendatacommunities.org/id/london-borough-council/camden,72535
UPRN01095005620034,Occupied,13972.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/04/2020,,HUNTER HEALTHCARE RESOURCING LIMITED,"GRD FLR, 56-58 BLOOMSBURY STREET, LONDON, WC1B 3QT",529958,181643,-0.128354,51.518766,Postcode Level,"(51.518766, -0.128354)",30/10/2020 11:12:41 AM,http://opendatacommunities.org/id/london-borough-council/camden,211592
UPRN01058004800232,Occupied,3083.38,0.00,770.27,0.00,0.00,0.00,0.00,0.00,12/08/2013,31/03/2014,TRUSTE EUROPE LIMITED,"ROOM 2.09 2ND FLR, 48-54 CHARLOTTE STREET, LONDON, W1T 4PF",529397,181743,-0.136372,51.519795,Postcode Level,"(51.519795, -0.136372)",30/10/2020 11:08:47 AM,http://opendatacommunities.org/id/london-borough-council/camden,71283
UPRN99034026410015,Occupied,2746.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/12/2012,31/03/2013,VERTICE SERVICES ACCOUNTANCY & CONSULTANCY LTD,"ROOMS 1 3 4 5 & RECEPTION AT, GND FLR R/O, 264A BELSIZE ROAD, LONDON, NW6 4BT",525515,183682,-0.191603,51.538096,Postcode Level,"(51.538096, -0.191603)",30/10/2020 11:08:19 AM,http://opendatacommunities.org/id/london-borough-council/camden,54166
UPRN01204007791B17,Void (empty),852.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,01/08/2011,31/03/2012,ROYAL LONDON MUTUAL INSURANCE SOCIETY LT,"CPS NO 10 R/O, 77-91 NEW OXFORD STREET, LONDON, WC1A 1DG",529990,181403,-0.127956,51.516603,Postcode Level,"(51.516603, -0.127956)",30/10/2020 11:07:45 AM,http://opendatacommunities.org/id/london-borough-council/camden,33365
UPRN01133002530107,Occupied,5442.82,0.00,0.00,0.00,0.00,150.00,0.00,0.00,01/04/2017,31/03/2018,TARGETSPACE LIMITED,"ROOM 107 1ST FLR, LION COURT AT, 25 PROCTER STREET, LONDON, WC1V 6NY",530567,181623,-0.119589,51.518446,Postcode Level,"(51.518446, -0.119589)",30/10/2020 11:10:55 AM,http://opendatacommunities.org/id/london-borough-council/camden,147132
UPRN0117503033509B,Occupied,30196.50,799.50,0.00,0.00,0.00,150.00,0.00,0.00,01/04/2019,31/03/2020,CLANCY CONSULTING LIMITED,"7TH F NORTHUMBERLAND HOUSE, 303-306 HIGH HOLBORN, LONDON, WC1V 7JZ",530932,181590,-0.114344,51.518065,Postcode Level,"(51.518065, -0.114344)",30/10/2020 11:12:07 AM,http://opendatacommunities.org/id/london-borough-council/camden,192391
