VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
3FA6P0SU3L,King,KENT,WA,98042,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,47,107425055,POINT (-122.11667400000002 47.363112)
5YJYGDEE6L,King,RENTON,WA,98058,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,11,124363179,POINT (-122.137386 47.444808)
KNDCC3LG6L,King,RENTON,WA,98057,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,37,112295368,POINT (-122.215501 47.476576)
1N4AZ0CP5D,King,SEATTLE,WA,98108,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,11,206536095,POINT (-122.31336800000001 47.54411)
5YJSA1H22E,King,SEATTLE,WA,98115,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,192831502,POINT (-122.297534 47.685291)
1FADP5CU2E,Banks,LULA,GA,30554,2014,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31635,,9693512,POINT (-83.658779 34.394964)
JTDKARFP5L,King,VASHON,WA,98070,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,34,125761394,POINT (-122.469161 47.415443)
1N4AZ0CP7F,Thurston,OLYMPIA,WA,98502,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,35,120643029,POINT (-122.97996899999998 47.078241)
1G1RA6S59H,King,KENT,WA,98032,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,33,348001433,POINT (-122.26132099999998 47.390601)
5YJYGDEF2L,Pierce,TACOMA,WA,98422,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,27,124536975,POINT (-122.39628600000002 47.293138)
KNDCC3LGXL,King,SEATTLE,WA,98125,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,46,121659058,POINT (-122.303604 47.716244)
KNDJX3AEXH,King,KENT,WA,98031,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,47,157332941,POINT (-122.196448 47.40561)
WBY7Z2C57J,King,SEATTLE,WA,98121,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,44450,36,267785024,POINT (-122.34619000000002 47.615293)
5YJ3E1EA5L,King,SEATTLE,WA,98119,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,102265257,POINT (-122.36772100000002 47.639264)
KNDCM3LD4J,King,SHORELINE,WA,98133,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,27900,32,247549102,POINT (-122.343983 47.73996900000001)
WVWPP7AU2F,King,SEATTLE,WA,98125,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,33450,46,326390648,POINT (-122.303604 47.716244)
KNDCE3LG0L,King,RENTON,WA,98058,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,11,128494726,POINT (-122.137386 47.444808)
KNDCE3LG3L,King,RENTON,WA,98059,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,11,128569878,POINT (-122.132064 47.494834)
1N4BZ1CP2K,King,SEATTLE,WA,98118,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,37,345317507,POINT (-122.275593 47.54055)
5YJXCAE25J,King,REDMOND,WA,98052,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,45,322127564,POINT (-122.122018 47.678465)
3C3CFFGE2F,King,SEATTLE,WA,98112,2015,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,37,233893656,POINT (-122.296466 47.631708)
1FADP5CU0G,Thurston,OLYMPIA,WA,98501,2016,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31770,22,181544786,POINT (-122.87404199999999 46.998873)
1N4AZ0CP4E,King,BELLEVUE,WA,98006,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,28980,41,179922879,POINT (-122.151342 47.560192)
5YJSA1E27L,King,BELLEVUE,WA,98006,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,41,125767827,POINT (-122.151342 47.560192)
1G1FW6S06J,King,REDMOND,WA,98053,2018,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,45,288100473,POINT (-122.024951 47.670286)
1G1RD6E46E,Island,CLINTON,WA,98236,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,10,165503502,POINT (-122.399929 47.95823600000001)
WAUUPBFFXG,King,SEATTLE,WA,98112,2016,AUDI,A3 E-TRON,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,37900,43,248149982,POINT (-122.296466 47.631708)
1FADP5CU2D,Whatcom,BELLINGHAM,WA,98226,2013,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31665,42,184572405,POINT (-122.454718 48.801538)
5YJ3E1EB7K,King,SEATTLE,WA,98126,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,34,337132848,POINT (-122.37486399999999 47.548552)
5YJYGDEE2L,King,NEWCASTLE,WA,98059,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,41,109910923,POINT (-122.132064 47.494834)
WBY1Z4C56F,Clark,VANCOUVER,WA,98683,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,42400,18,134943952,POINT (-122.51074800000002 45.603727)
5YJ3E1EB2J,King,MERCER ISLAND,WA,98040,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,41,166272382,POINT (-122.227947 47.565443)
WA1VABGE7K,Clark,VANCOUVER,WA,98664,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,49,100880923,POINT (-122.577964 45.620940000000004)
KMHE24L13G,Skagit,BURLINGTON,WA,98233,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,40,2139595,POINT (-122.342773 48.49381000000001)
KNDCC3LD8J,Snohomish,GRANITE FALLS,WA,98252,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,27900,39,328330663,POINT (-121.788196 48.071568)
5YJYGDEE0L,King,BELLEVUE,WA,98004,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,48,121957426,POINT (-122.20316899999999 47.619011)
2C4RC1N75J,Kitsap,PORT ORCHARD,WA,98366,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,39995,26,348863847,POINT (-122.590961 47.532193)
JHMZC5F1XJ,King,SEATTLE,WA,98136,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,34,124085020,POINT (-122.38895500000001 47.537382)
1N4AZ0CP1G,Clark,VANCOUVER,WA,98665,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,49,152140019,POINT (-122.65680300000001 45.682725)
1G1RB6E45E,Jefferson,PORT TOWNSEND,WA,98368,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,24,165102332,POINT (-122.81801600000001 48.080229)
1N4AZ1CP3L,Clark,WASHOUGAL,WA,98671,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,18,127468022,POINT (-122.26199299999999 45.622947)
1G1FY6S00K,Kitsap,PORT ORCHARD,WA,98367,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,35,186262401,POINT (-122.65890100000001 47.466778)
1G1RB6E42F,Snohomish,EDMONDS,WA,98020,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34170,32,243952026,POINT (-122.370709 47.801416)
1N4BZ0CP2H,King,SEATTLE,WA,98126,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,34,349902276,POINT (-122.37486399999999 47.548552)
5YJ3E1EB0K,King,ISSAQUAH,WA,98027,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,5,140985225,POINT (-122.010741 47.506838)
1G1FX6S04H,Snohomish,LYNNWOOD,WA,98087,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,21,131306577,POINT (-122.26636700000002 47.863478)
5YJ3E1EBXL,Clark,RIDGEFIELD,WA,98642,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,17,102669577,POINT (-122.692143 45.797008)
3C3CFFGE3D,King,SAMMAMISH,WA,98074,2013,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,45,221881908,POINT (-122.04272399999999 47.623594)
WAUTPBFF9G,Pierce,LAKE TAPPS,WA,98391,2016,AUDI,A3 E-TRON,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,37900,31,1858209,POINT (-122.170798 47.184615)
WBY1Z4C52E,Snohomish,EVERETT,WA,98208,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,41350,44,273550007,POINT (-122.19615 47.894423)
5YJRE1A19B,Pierce,GIG HARBOR,WA,98335,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,109000,26,121411097,POINT (-122.612932 47.300296)
1FADP5CU0E,Whatcom,LYNDEN,WA,98264,2014,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31635,42,167225369,POINT (-122.45535300000002 48.945625)
5YJYGDEE0L,King,SEATTLE,WA,98125,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,46,124437155,POINT (-122.303604 47.716244)
1N4AZ1CP4J,King,SEATTLE,WA,98104,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,37,101246897,POINT (-122.32861100000001 47.602601)
WBY8P4C53K,King,RENTON,WA,98059,2019,BMW,I3 WITH RANGE EXTENDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,44450,5,478415164,POINT (-122.132064 47.494834)
JHMZC5F15J,King,SAMMAMISH,WA,98074,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,45,475752651,POINT (-122.04272399999999 47.623594)
5YJ3E1EB4L,King,FEDERAL WAY,WA,98003,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,30,103465113,POINT (-122.313367 47.310006)
1G1FX6S04H,King,SHORELINE,WA,98177,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,32,189820956,POINT (-122.37015900000002 47.743354)
5YJYGDEE1L,King,REDMOND,WA,98053,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,45,107829788,POINT (-122.024951 47.670286)
1N4AZ0CP2D,Mason,SHELTON,WA,98584,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,35,185432509,POINT (-123.09921000000001 47.225326)
5YJYGDEE1L,King,SEATTLE,WA,98133,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,32,112523974,POINT (-122.343983 47.73996900000001)
KMHE34L1XG,King,REDMOND,WA,98052,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,48,255688212,POINT (-122.122018 47.678465)
5YJ3E1EA7L,Snohomish,EDMONDS,WA,98026,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,103401581,POINT (-122.33304600000001 47.829439)
1N4AZ0CP7E,Snohomish,LAKE STEVENS,WA,98258,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,28980,44,168720016,POINT (-122.085999 48.016305)
1N4BZ1CP4K,King,DES MOINES,WA,98198,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,33,4684172,POINT (-122.31207099999999 47.395276)
5YJ3E1EA5K,King,SEATTLE,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,43,476549461,POINT (-122.346385 47.630685)
5YJ3E1EA9J,King,SEATTLE,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,46,101162113,POINT (-122.297534 47.685291)
KMHE54L22G,Spokane,CHENEY,WA,99004,2016,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,6,129597758,POINT (-117.61765699999998 47.449801)
JN1AZ0CP6B,King,SEATTLE,WA,98126,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,34,100618157,POINT (-122.37486399999999 47.548552)
1G1RD6E45E,Snohomish,SNOHOMISH,WA,98296,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,44,259158105,POINT (-122.10812000000001 47.838517)
5YJ3E1EA1L,Snohomish,LYNNWOOD,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,124684451,POINT (-122.26636700000002 47.863478)
5YJ3E1EB0L,King,SAMMAMISH,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41,6296307,POINT (-122.028168 47.586173)
5YJ3E1EB4L,Whatcom,BLAINE,WA,98230,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,42,128637120,POINT (-122.727446 48.951762)
5YJYGDEE6L,Skagit,BOW,WA,98232,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,40,114857480,POINT (-122.413741 48.5603)
5YJ3E1EB6L,King,AUBURN,WA,98092,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,47,121809544,POINT (-122.148214 47.292978)
1N4AZ0CPXF,Snohomish,LAKE STEVENS,WA,98258,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,44,109206639,POINT (-122.085999 48.016305)
WBY1Z4C57F,Pierce,LAKEBAY,WA,98349,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,42400,26,478127233,POINT (-122.774081 47.267339)
1G1RA6S52K,Thurston,OLYMPIA,WA,98501,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33520,35,329358326,POINT (-122.87404199999999 46.998873)
5YJ3E1EB4K,King,SEATTLE,WA,98107,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,36,168648994,POINT (-122.375438 47.667804)
1N4AZ1CP4J,Pierce,TACOMA,WA,98406,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,28,345307294,POINT (-122.50257399999998 47.262788)
5YJSA1E2XG,Pierce,GIG HARBOR,WA,98335,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,26,8742849,POINT (-122.612932 47.300296)
1FADP5CU1D,Snohomish,BOTHELL,WA,98021,2013,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31665,1,162741568,POINT (-122.21210499999998 47.792368)
KNDCC3LG5K,King,SEATTLE,WA,98102,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,43,9855716,POINT (-122.321673 47.634289)
5YJSA1E29J,King,KIRKLAND,WA,98033,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74500,45,477105058,POINT (-122.188994 47.678406)
5YJ3E1EB9L,King,BOTHELL,WA,98011,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,8882282,POINT (-122.197147 47.757791)
5YJ3E1EB8K,King,BEAUX ARTS,WA,98004,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,41,478474272,POINT (-122.20316899999999 47.619011)
1G1RA6S53H,Kitsap,POULSBO,WA,98370,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,23,7996180,POINT (-122.63339300000001 47.748427)
1FADP3R49G,Chelan,LEAVENWORTH,WA,98826,2016,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,29170,12,263776334,POINT (-120.73040299999998 47.74993200000001)
5YJXCDE27K,King,KIRKLAND,WA,98034,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,88000,1,233873720,POINT (-122.204248 47.719278)
5YJXCBE24G,Kitsap,SILVERDALE,WA,98315,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,23,104802687,POINT (-122.714415 47.718487)
1G1FW6S02H,Spokane,SPOKANE,WA,99201,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,3,223183600,POINT (-117.43332400000001 47.662261)
1G1FY6S03K,King,SEATTLE,WA,98136,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,34,478179845,POINT (-122.38895500000001 47.537382)
JTDKARFP3L,Spokane,SPOKANE,WA,99204,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,3,108870233,POINT (-117.42653599999998 47.647896)
WBY1Z4C55F,Snohomish,EVERETT,WA,98208,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,42400,44,235223376,POINT (-122.19615 47.894423)
JHMZC5F1XJ,Pierce,PUYALLUP,WA,98375,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,2,474583672,POINT (-122.321062 47.10379700000001)
KMHE24L15G,King,REDMOND,WA,98053,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,45,114821598,POINT (-122.024951 47.670286)
5YJSA1H19E,King,SEATTLE,WA,98116,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,34,162559141,POINT (-122.394511 47.574001)
WMWXP3C08M,Island,COUPEVILLE,WA,98239,2021,MINI,COOPER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,10,109994475,POINT (-122.66309299999999 48.194534)
1N4BZ0CP0G,King,REDMOND,WA,98052,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,48,111663947,POINT (-122.122018 47.678465)
1G1FW6S01J,Thurston,OLYMPIA,WA,98501,2018,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,22,2801844,POINT (-122.87404199999999 46.998873)
1N4AZ0CP5D,King,BOTHELL,WA,98011,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,1,126985393,POINT (-122.197147 47.757791)
5YJXCDE25L,Kitsap,BREMERTON,WA,98312,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,35,110866220,POINT (-122.72468200000002 47.57271)
KNDCC3LC1K,King,AUBURN,WA,98002,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,31,142130572,POINT (-122.216415 47.305093)
5UXKT0C50G,Whatcom,BELLINGHAM,WA,98226,2016,BMW,X5 XDRIVE40E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,62100,40,8747182,POINT (-122.454718 48.801538)
5YJ3E1EBXL,Lewis,WINLOCK,WA,98596,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,20,133849124,POINT (-122.924482 46.495349)
5YJ3E1EB0K,King,BELLEVUE,WA,98005,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,48,220964663,POINT (-122.168422 47.614824)
5YJXCDE24J,King,NEWCASTLE,WA,98056,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,41,237707018,POINT (-122.183961 47.510245)
5YJSA1E17G,Clark,VANCOUVER,WA,98661,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,49,122525133,POINT (-122.62505 45.640901)
3FA6P0SU2F,Snohomish,MILL CREEK,WA,98012,2015,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34800,44,184862016,POINT (-122.20151499999999 47.843376)
5YJSA1E46L,King,SEATTLE,WA,98105,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,337,0,46,103376703,POINT (-122.298657 47.663771)
KNDCC3LC1K,King,SEATAC,WA,98198,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,33,342763277,POINT (-122.31207099999999 47.395276)
5YJYGDEE0L,Pierce,TACOMA,WA,98443,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,25,124594739,POINT (-122.373989 47.204423)
1N4AZ1CP2J,Snohomish,ARLINGTON,WA,98223,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,39,475962693,POINT (-122.04520400000001 48.194010000000006)
WBY8P4C55K,King,SAMMAMISH,WA,98074,2019,BMW,I3 WITH RANGE EXTENDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,44450,45,477425938,POINT (-122.04272399999999 47.623594)
5YJ3E1EA5K,King,SHORELINE,WA,98133,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,32,333197651,POINT (-122.343983 47.73996900000001)
WA1VAAGE3K,King,SEATTLE,WA,98105,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,46,192268688,POINT (-122.298657 47.663771)
5YJ3E1EB7J,King,SEATTLE,WA,98105,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,43,474331567,POINT (-122.298657 47.663771)
JHMZC5F17L,Whatcom,BELLINGHAM,WA,98229,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,40,123945132,POINT (-122.414936 48.709388)
5YJ3E1EBXL,Snohomish,LAKE STEVENS,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,103272179,POINT (-122.085999 48.016305)
5YJSA1E28H,King,KIRKLAND,WA,98033,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,48,249617196,POINT (-122.188994 47.678406)
WBA8E1C5XH,King,KIRKLAND,WA,98034,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,45,478202238,POINT (-122.204248 47.719278)
3C3CFFGE1F,Thurston,OLYMPIA,WA,98501,2015,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,22,474875131,POINT (-122.87404199999999 46.998873)
5YJSA1E25L,King,BELLEVUE,WA,98005,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,41,103194346,POINT (-122.168422 47.614824)
5YJYGDEE0L,King,MEDINA,WA,98039,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,48,124429483,POINT (-122.23458900000001 47.626443)
5YJ3E1EB7J,Island,CAMANO ISLAND,WA,98282,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,10,473920716,POINT (-122.47312700000002 48.184535)
JN1AZ0CP6C,Clark,BRUSH PRAIRIE,WA,98606,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,18,147916660,POINT (-122.46986400000002 45.732426)
1G1RB6E46E,Yakima,YAKIMA,WA,98902,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,14,126970259,POINT (-120.532719 46.59458)
