VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
1N4AZ0CP9G,Jefferson,QUILCENE,WA,98376,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,24,7287759,POINT (-122.84982400000001 47.828575)
5YJSA1E22H,King,SEATTLE,WA,98103,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,43,157855526,POINT (-122.343577 47.672491)
5YJ3E1EA0J,King,REDMOND,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,48,474734928,POINT (-122.122018 47.678465)
5YJ3E1EB4J,King,SEATTLE,WA,98117,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,36,140891593,POINT (-122.379354 47.687571)
5YJ3E1EA1L,Snohomish,LYNNWOOD,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,102834658,POINT (-122.26636700000002 47.863478)
5YJSA1E22G,Snohomish,MILL CREEK,WA,98012,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,44,106709165,POINT (-122.20151499999999 47.843376)
5YJSA1E22K,King,SEATTLE,WA,98117,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,79000,36,344435045,POINT (-122.379354 47.687571)
5YJSA1E2XG,King,ISSAQUAH,WA,98029,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,5,239564209,POINT (-122.014191 47.559121)
5YJSA1S17F,King,BELLEVUE,WA,98006,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,268356175,POINT (-122.151342 47.560192)
1N4AZ1CP2J,King,SEATTLE,WA,98144,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,37,132594787,POINT (-122.30033 47.585339)
3FA6P0PU1J,King,SEATTLE,WA,98104,2018,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,33400,43,188616186,POINT (-122.32861100000001 47.602601)
1G1FY6S01K,King,SEATTLE,WA,98144,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,37,474760226,POINT (-122.30033 47.585339)
3FA6P0SU3H,Benton,KENNEWICK,WA,99337,2017,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,33120,8,349447717,POINT (-119.102002 46.147282)
5YJ3E1EB9K,King,SNOQUALMIE,WA,98065,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,5,195800041,POINT (-121.819086 47.539931)
1FADP3R48F,Spokane,SPOKANE,WA,99205,2015,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,29170,3,476814726,POINT (-117.44149600000001 47.695417)
5YJXCAE24L,Snohomish,LYNNWOOD,WA,98037,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,21,126065502,POINT (-122.287614 47.83874)
WBY1Z4C55E,King,BELLEVUE,WA,98004,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,41350,48,102499092,POINT (-122.20316899999999 47.619011)
5YJ3E1EBXK,Pierce,BONNEY LAKE,WA,98391,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,31,309404847,POINT (-122.170798 47.184615)
5YJSA1E23H,King,SNOQUALMIE,WA,98065,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,5,247585222,POINT (-121.819086 47.539931)
1N4BZ0CP2G,Skagit,ANACORTES,WA,98221,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,10,251739960,POINT (-122.62841800000001 48.487079)
1FADP3R46E,Benton,KENNEWICK,WA,99336,2014,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,29170,8,312221451,POINT (-119.178978 46.212959)
5YJ3E1EB8K,Snohomish,EDMONDS,WA,98020,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,21,245399045,POINT (-122.370709 47.801416)
WBY1Z4C51E,Pierce,TACOMA,WA,98404,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,41350,27,237590195,POINT (-122.412949 47.211873)
1N4AZ1CP4K,Pierce,TACOMA,WA,98407,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,27,100823922,POINT (-122.506857 47.285977)
1FADP5CU1G,Snohomish,EVERETT,WA,98201,2016,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31770,38,192098560,POINT (-122.195157 47.988773)
WBY8P8C50K,King,REDMOND,WA,98053,2019,BMW,I3S WITH RANGE EXTENDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,44450,45,3616707,POINT (-122.024951 47.670286)
5YJXCDE23H,Clark,BATTLE GROUND,WA,98604,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,82500,17,185998354,POINT (-122.52265700000001 45.795099)
5YJSA1H19E,Asotin,ASOTIN,WA,99402,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,9,4887760,POINT (-117.133846 46.224506)
1G1FZ6S09K,Skagit,LA CONNER,WA,98257,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,10,109664936,POINT (-122.514741 48.400842)
KNDJP3AE5H,Kitsap,PORT ORCHARD,WA,98366,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,26,292048515,POINT (-122.590961 47.532193)
1N4BZ1CP9K,Snohomish,EDMONDS,WA,98026,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,21,103327409,POINT (-122.33304600000001 47.829439)
5YJSA1E26H,Snohomish,MUKILTEO,WA,98275,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,21,248807338,POINT (-122.30250700000002 47.911921)
5YJ3E1EA7L,King,SEATTLE,WA,98109,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,2237518,POINT (-122.346385 47.630685)
1G1FY6S05K,Island,COUPEVILLE,WA,98239,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,10,8526976,POINT (-122.66309299999999 48.194534)
WBY1Z4C54E,King,SEATTLE,WA,98125,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,41350,46,213304864,POINT (-122.303604 47.716244)
1G1FZ6S08L,Clark,CAMAS,WA,98607,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,18,103147432,POINT (-122.40849800000001 45.620943)
WA1LAAGE7K,Clark,VANCOUVER,WA,98686,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,17,103547097,POINT (-122.62873500000002 45.715902)
1N4AZ0CP4D,Whatcom,BELLINGHAM,WA,98225,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,42,250665831,POINT (-122.493388 48.74995)
5YJSA1H2XF,Pierce,PUYALLUP,WA,98374,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,25,126310747,POINT (-122.26536800000001 47.133331)
5YJ3E1EB0L,Snohomish,SNOHOMISH,WA,98296,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,104547180,POINT (-122.10812000000001 47.838517)
