CRASH_ID,CRASH_DATE,CRASH_TIME,SUBURB_LOCATION,LONGITUDE,LATITUDE,INTERSECTION,MIDBLOCK,CRASH_DIRECTION,CRASH_SEVERITY,LIGHTING_CONDITION,ROAD_CONDITION,WEATHER_CONDITION,Location
1210275,23/06/2019,11:46,KAMBAH,149.05738966579466,-35.37385469026656,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.37385469026656, 149.05738966579466)"
1211117,05/07/2019,10:20,RURAL - MOLONGLO VALLEY,149.07645668537464,-35.29125487216401,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.29125487216401, 149.07645668537464)"
1210277,23/06/2019,16:30,BRUCE,149.09143760133145,-35.245866995113246,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.245866995113246, 149.09143760133145)"
1210235,21/06/2019,15:15,NARRABUNDAH,149.15704254945382,-35.32777414384019,YES,NO,East / South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32777414384019, 149.15704254945382)"
1211148,18/07/2019,12:50,GRIFFITH,149.12774640300475,-35.32836517092358,YES,NO,East / South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.32836517092358, 149.12774640300475)"
1210000,18/06/2019,14:30,KAMBAH,149.05682072306973,-35.37939757255531,YES,NO,West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.37939757255531, 149.05682072306973)"
1210889,29/06/2019,08:45,CRACE,149.12440663898437,-35.30749542682909,NO,YES,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1210897,04/07/2019,17:30,GREENWAY,149.06205723815367,-35.41084873121901,NO,YES,South bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.41084873121901, 149.06205723815367)"
1211133,08/07/2019,08:35,PARKES,149.14124588262567,-35.29116543848209,NO,YES,West bound,Property Damage Only,Daylight,Wet surface,Light rain,"(-35.29116543848209, 149.14124588262567)"
1227993,28/05/2020,17:15,WESTON,149.05159481991376,-35.33925795059276,YES,NO,South / West bound,Property Damage Only,Dark - good street lighting,Good dry surface,Fine,"(-35.33925795059276, 149.05159481991376)"
1211147,18/07/2019,10:15,PALMERSTON,149.11632263854563,-35.196385975166635,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.196385975166635, 149.11632263854563)"
1210780,03/07/2019,16:30,BELCONNEN,149.12440663898437,-35.30749542682909,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.30749542682909, 149.12440663898437)"
1211137,08/07/2019,15:20,GREENWAY,149.06594509700696,-35.413433526377545,YES,NO,East / West bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.413433526377545, 149.06594509700696)"
1210756,01/07/2019,15:40,KAMBAH,149.12440663898437,-35.30749542682909,NO,YES,West bound,Property Damage Only,Daylight,Good dry surface,Cloudy or Overcast,"(-35.30749542682909, 149.12440663898437)"
1210774,03/07/2019,08:50,GRIFFITH,149.14659917083299,-35.31719676541506,YES,NO,North bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31719676541506, 149.14659917083299)"
1211074,13/07/2019,16:49,NGUNNAWAL,149.10778304161246,-35.16214474262179,NO,YES,East / West bound,Property Damage Only,Semi-darkness,Wet surface,Light rain,"(-35.16214474262179, 149.10778304161246)"
1213726,19/08/2019,07:30,PARKES,149.13924320816136,-35.28987880584994,YES,NO,East bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.28987880584994, 149.13924320816136)"
1211959,30/07/2019,15:15,YARRALUMLA,149.0829837124745,-35.31280013964431,YES,NO,South bound,Property Damage Only,Daylight,Good dry surface,Fine,"(-35.31280013964431, 149.0829837124745)"
1212881,27/03/2018,12:00,DEAKIN,149.10951424920907,-35.311816688061676,NO,YES,West bound,Injury,Daylight,Good dry surface,Fine,"(-35.311816688061676, 149.10951424920907)"
