Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Northern Red Oak,Quercus rubra,,1,15.0,,,"{""type"": ""Point"", ""coordinates"": [-76.4798844575689, 44.243939936172616]}","44.2439399362,-76.4798844576"
Municipal,Bur Oak,Quercus macrocarpa,,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57193653299998, 44.25402629400003]}","44.254026294,-76.571936533"
Municipal,Black Locust,Robinia pseudoacacia,,1,4.0,2018-04-27T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.5482772205226, 44.25080096416299]}","44.2508009642,-76.5482772205"
Municipal,Honey-Locust,Gleditsia triacanthos,Woodbine Park,1,4.0,2016-06-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.60124479320882, 44.258497497703765]}","44.2584974977,-76.6012447932"
Municipal,Eastern Cottonwood,Populus deltoides,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55169332399998, 44.25208382300008]}","44.252083823,-76.551693324"
Municipal,English Oak,Quercus robur,,3,4.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60099928299996, 44.25402667800006]}","44.254026678,-76.600999283"
Municipal,Common Hackberry,Celtis occidentalis,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59495717299995, 44.26422782700007]}","44.264227827,-76.594957173"
Municipal,Katsura Tree,Cercidiphyllum japonicum,Gardenwalk Park,1,3.0,2016-06-30T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.59751402221303, 44.254654264118756]}","44.2546542641,-76.5975140222"
Municipal,Silver Maple,Acer saccharinum,,1,83.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52931152299999, 44.243172179000055]}","44.243172179,-76.529311523"
Municipal,Amur Corktree,Phellodendron amurense,Jim Beattie Park,1,5.0,2018-12-10T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.58163566149176, 44.22907662223538]}","44.2290766222,-76.5816356615"
Municipal,Japanese Maple,Acer palmatum,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48348045399996, 44.22813605600004]}","44.228136056,-76.483480454"
