Owner,Common Name,Scientific Name,Park,Number of Stems,Trunk Diameter (cm),Date Installed,Memorial Tree,GeoJSON,Lat/Long
Municipal,Blue Spruce,Picea pungens,,1,28.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45429944299997, 44.26604694900004]}","44.266046949,-76.454299443"
Municipal,Norway Maple,Acer platanoides,,1,31.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48616320899998, 44.22875779900005]}","44.228757799,-76.486163209"
Municipal,Norway Maple,Acer platanoides,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59469173599996, 44.251779905000035]}","44.251779905,-76.594691736"
Municipal,Alegheny Serviceberry,Amelanchier x grandiflora,,1,,2019-04-15T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.56436078576877, 44.28077673227143]}","44.2807767323,-76.5643607858"
Municipal,Norway Maple,Acer platanoides,,1,2.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55618238299996, 44.26303333100003]}","44.263033331,-76.556182383"
Municipal,Norway Maple,Acer platanoides,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57775079499999, 44.26896655300004]}","44.268966553,-76.577750795"
Municipal,Sugar Maple,Acer saccharum,,1,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51590357999999, 44.240824203000045]}","44.240824203,-76.51590358"
Municipal,Norway Maple,Acer platanoides,,1,23.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56983642599994, 44.250776974000075]}","44.250776974,-76.569836426"
Municipal,Celebration Maple,Acer x freemanii 'Celzam',,1,5.0,2019-10-07T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.48554693282549, 44.22707514665175]}","44.2270751467,-76.4855469328"
Municipal,White Ash,Fraxinus americana,,1,26.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59969169099998, 44.23548037900008]}","44.235480379,-76.599691691"
Municipal,Littleleaf Linden,Tilia cordata,,1,41.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44907186799998, 44.259460972000056]}","44.259460972,-76.449071868"
Municipal,Sugar Maple,Acer saccharum,,1,14.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44948363099996, 44.26369962600006]}","44.263699626,-76.449483631"
Municipal,White Spruce,Picea glauca,,1,44.0,,,"{""type"": ""Point"", ""coordinates"": [-76.62904398199998, 44.22910799200008]}","44.229107992,-76.629043982"
Municipal,Red Maple,Acer rubrum,,1,,2019-04-15T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.56400631365392, 44.28151816400453]}","44.281518164,-76.5640063137"
Municipal,Boxelder,Acer negundo,Emma Martin Park,1,28.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48059509399997, 44.24305475500006]}","44.243054755,-76.480595094"
Municipal,Freeman Maple,Acer x freemanii,Greenwood Park Linear Trail,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.43974900252785, 44.267943059135476]}","44.2679430591,-76.4397490025"
Municipal,Bur Oak,Quercus macrocarpa,,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51974318199996, 44.254004311000074]}","44.254004311,-76.519743182"
Municipal,White Spruce,Picea glauca,,1,23.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60123044499994, 44.25291499800005]}","44.252914998,-76.601230445"
Municipal,Norway Maple,Acer platanoides,,1,47.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52177269299995, 44.234017547000064]}","44.234017547,-76.521772693"
Municipal,Silver Maple,Acer saccharinum,,1,82.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48300283499998, 44.23838204800006]}","44.238382048,-76.483002835"
Municipal,Nootka False Cypress,Chamaecyparis nootkatensis,,2,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49987638499994, 44.232760314000075]}","44.232760314,-76.499876385"
Municipal,Hedge Maple,Acer campestre,Smithfield Crescent Park,1,5.0,2018-05-01T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.5326247023547, 44.24890224400166]}","44.248902244,-76.5326247024"
Municipal,Crabapple Species,Malus crabapple Species,,1,34.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57946044599998, 44.22673799900008]}","44.226737999,-76.579460446"
Municipal,Red/green Ash,Fraxinus pennsylvanica,McBurney Park,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48771122299996, 44.23531048900003]}","44.235310489,-76.487711223"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,38.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56837720399994, 44.21634418300005]}","44.216344183,-76.568377204"
Municipal,Northern Red Oak,Quercus rubra,,1,2.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60860123799995, 44.24789838000004]}","44.24789838,-76.608601238"
Municipal,Norway Maple,Acer platanoides,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48746873599998, 44.25946000400006]}","44.259460004,-76.487468736"
Municipal,Norway Maple,Acer platanoides,,1,38.0,,,"{""type"": ""Point"", ""coordinates"": [-76.61522207699994, 44.24697198100006]}","44.246971981,-76.615222077"
Municipal,Littleleaf Linden,Tilia cordata,,1,49.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48649795099999, 44.268483625000044]}","44.268483625,-76.486497951"
Municipal,Littleleaf Linden,Tilia cordata,,1,14.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59194300699994, 44.23106147900006]}","44.231061479,-76.591943007"
Municipal,American Elm,Ulmus americana,,2,16.0,,,"{""type"": ""Point"", ""coordinates"": [-76.5188837979807, 44.22691162890555]}","44.2269116289,-76.518883798"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60115823399997, 44.258532821000074]}","44.258532821,-76.601158234"
Municipal,Littleleaf Linden,Tilia cordata,,1,30.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48155466599997, 44.26039650700005]}","44.260396507,-76.481554666"
Municipal,Bur Oak,Quercus macrocarpa,,1,5.0,2020-10-26T05:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.54546250622867, 44.26191910947057]}","44.2619191095,-76.5454625062"
Municipal,Boxelder,Acer negundo,,1,17.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55154564199995, 44.252358412000035]}","44.252358412,-76.551545642"
Municipal,Norway Maple,Acer platanoides,Lake Ontario Park,1,45.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53076691299998, 44.21700511700004]}","44.217005117,-76.530766913"
Municipal,White Ash,Fraxinus americana,Richdale Park,2,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45524380099994, 44.25877082900007]}","44.258770829,-76.455243801"
Municipal,Red Maple,Acer rubrum,Confederation Park,1,32.0,,,"{""type"": ""Point"", ""coordinates"": [-76.47930374299995, 44.229988691000074]}","44.229988691,-76.479303743"
Municipal,Littleleaf Linden,Tilia cordata,,1,29.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50842809599999, 44.267964230000075]}","44.26796423,-76.508428096"
Municipal,Silver Maple,Acer saccharinum,,1,79.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50033048099993, 44.24382092600007]}","44.243820926,-76.500330481"
Municipal,Austrian Pine,Pinus nigra,Tugwood Park,1,43.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49534357499994, 44.248443515000076]}","44.248443515,-76.495343575"
Municipal,Tulip Tree,Liriodendron tulipifera,City Park,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48817233153173, 44.22454730057251]}","44.2245473006,-76.4881723315"
Municipal,Blue Spruce,Picea pungens,,2,40.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52328647599995, 44.25497702400003]}","44.254977024,-76.523286476"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,5.0,2019-11-07T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.54206106070492, 44.240874735367875]}","44.2408747354,-76.5420610607"
Municipal,Norway Maple,Acer platanoides,,1,36.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59864018799993, 44.23589114200007]}","44.235891142,-76.598640188"
Municipal,Japanese Flowering Cherry,Prunus serrulata,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49564616389019, 44.2398160545196]}","44.2398160545,-76.4956461639"
Municipal,Common Hackberry,Celtis occidentalis,,1,5.0,2019-10-09T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.49969623211875, 44.227895867348245]}","44.2278958673,-76.4996962321"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,5.0,2018-11-14T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.54644267525362, 44.25445384487186]}","44.2544538449,-76.5464426753"
Municipal,Sugar Maple,Acer saccharum,,1,56.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50888275499995, 44.23450200100007]}","44.234502001,-76.508882755"
Municipal,Crabapple Species,Malus crabapple Species,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58275147199998, 44.24138325400003]}","44.241383254,-76.582751472"
Municipal,Norway Maple,Acer platanoides,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58849370699994, 44.23150198400003]}","44.231501984,-76.588493707"
Municipal,Northern Red Oak,Quercus rubra,,1,5.0,2018-12-12T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.4469793998417, 44.26751440860728]}","44.2675144086,-76.4469793998"
Municipal,Sugar Maple,Acer saccharum,Lake Ontario Park,1,5.0,2015-11-09T06:00:00+01:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.53030147841821, 44.2161804723904]}","44.2161804724,-76.5303014784"
Municipal,Sugar Maple,Acer saccharum,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55252402599996, 44.262262699000075]}","44.262262699,-76.552524026"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,4.0,2017-04-06T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.55589060450437, 44.254363125825535]}","44.2543631258,-76.5558906045"
Municipal,Norway Maple,Acer platanoides,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55057083999998, 44.25541425800003]}","44.255414258,-76.55057084"
Municipal,Eastern Redcedar,Juniperus virginiana L.,,2,17.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46156596299994, 44.25440283700004]}","44.254402837,-76.461565963"
Municipal,Norway Maple,Acer platanoides,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45575722599995, 44.25934707400006]}","44.259347074,-76.455757226"
Municipal,Amur Corktree,Phellodendron amurense,,1,5.0,2019-11-26T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.446668174978, 44.26830846338754]}","44.2683084634,-76.446668175"
Municipal,Northern Red Oak,Quercus rubra,City Park,1,5.0,2017-09-26T06:00:00+02:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.48907462611498, 44.22494477599776]}","44.224944776,-76.4890746261"
Municipal,Crabapple Species,Malus crabapple Species,,1,14.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58122393099995, 44.25648635500005]}","44.256486355,-76.581223931"
Municipal,Eastern Cottonwood,Populus deltoides,,2,17.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55146935699997, 44.252199682000025]}","44.252199682,-76.551469357"
Municipal,Prospector Elm,Ulmus wilsoniana 'Prospector',,1,5.0,2017-03-08T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.4871504268293, 44.23253745907844]}","44.2325374591,-76.4871504268"
Municipal,Scotch Pine,Pinus sylvestris,,1,27.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50877995099995, 44.229544514000054]}","44.229544514,-76.508779951"
Municipal,Boxelder,Acer negundo,,1,30.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48959683799995, 44.24634296100004]}","44.246342961,-76.489596838"
Municipal,Littleleaf Linden,Tilia cordata,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55057455799994, 44.26076744800008]}","44.260767448,-76.550574558"
Municipal,Red Maple,Acer rubrum,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57834070599995, 44.27500816400004]}","44.275008164,-76.578340706"
Municipal,Serviceberry,Amelanchier species,,1,3.0,,,"{""type"": ""Point"", ""coordinates"": [-76.55293236399996, 44.25092153500003]}","44.250921535,-76.552932364"
Municipal,Nootka False Cypress,Chamaecyparis nootkatensis,,1,2.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54320928999994, 44.246161511000025]}","44.246161511,-76.54320929"
Municipal,Siberian Elm,Ulmus pumila,Compton Park,1,28.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51130973599999, 44.23513544900004]}","44.235135449,-76.511309736"
Municipal,Black Walnut,Juglans nigra,,1,48.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57615573099997, 44.21811104000005]}","44.21811104,-76.576155731"
Municipal,Norway Maple,Acer platanoides,,1,60.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50302551499993, 44.24875564000007]}","44.24875564,-76.503025515"
Municipal,Eastern Redcedar,Juniperus virginiana L.,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46162198699994, 44.254479908000064]}","44.254479908,-76.461621987"
Municipal,Norway Maple,Acer platanoides,,1,60.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51782869858192, 44.22478978790522]}","44.2247897879,-76.5178286986"
Municipal,Japanese Tree Lilac,Syringa reticulata,,1,7.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50176477199994, 44.24812753400005]}","44.248127534,-76.501764772"
Municipal,Norway Maple,Acer platanoides,,1,34.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57786576399997, 44.26813821200005]}","44.268138212,-76.577865764"
Municipal,Serviceberry,Amelanchier species,,1,6.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56778964699998, 44.27500138600004]}","44.275001386,-76.567789647"
Municipal,Norway Spruce,Picea abies,,1,13.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58319243399995, 44.22204320900005]}","44.222043209,-76.583192434"
Municipal,Norway Maple,Acer platanoides,,1,41.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53160834799996, 44.22708895900007]}","44.227088959,-76.531608348"
Municipal,Norway Maple,Acer platanoides,,1,70.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53286753999998, 44.24681018000007]}","44.24681018,-76.53286754"
Municipal,Norway Maple,Acer platanoides,,1,19.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50477642799996, 44.230454569000074]}","44.230454569,-76.504776428"
Municipal,Bur Oak,Quercus macrocarpa,Edenwood Park,1,5.0,2019-11-18T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.45747263824288, 44.30284421304599]}","44.302844213,-76.4574726382"
Municipal,Eastern Redcedar,Juniperus virginiana L.,,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.42312280799996, 44.240342430000055]}","44.24034243,-76.423122808"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,16.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53084717499996, 44.24363696200004]}","44.243636962,-76.530847175"
Municipal,Littleleaf Linden,Tilia cordata,,1,30.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52360196299998, 44.24817778700003]}","44.248177787,-76.523601963"
Municipal,Amur Corktree,Phellodendron amurense,,1,41.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50029269899994, 44.25628875000007]}","44.25628875,-76.500292699"
Municipal,Sugar Maple,Acer saccharum,,1,53.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60700547499994, 44.247391262000065]}","44.247391262,-76.607005475"
Municipal,Boxelder,Acer negundo,Kiwanis Park,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49976012326809, 44.24611706805592]}","44.2461170681,-76.4997601233"
Municipal,Northern Red Oak,Quercus rubra,,1,9.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49962962099994, 44.227046793000056]}","44.227046793,-76.499629621"
Municipal,Red Maple,Acer rubrum,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53352121499995, 44.23997380700007]}","44.239973807,-76.533521215"
Municipal,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Riverview Park,1,5.0,2019-10-07T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.48321901865661, 44.23769801691933]}","44.2376980169,-76.4832190187"
Municipal,Northern Red Oak,Quercus rubra,City Park,1,57.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48739089399999, 44.22490713000008]}","44.22490713,-76.487390894"
Municipal,Boxelder,Acer negundo,,1,54.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60962122899997, 44.24974340600005]}","44.249743406,-76.609621229"
Municipal,Black Maple,Acer nigrum,,1,21.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58317616899996, 44.253718165000066]}","44.253718165,-76.583176169"
Municipal,Common Hackberry,Celtis occidentalis,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58489337892372, 44.24906466200097]}","44.249064662,-76.5848933789"
Municipal,Norway Maple,Acer platanoides,Kingston Memorial Centre,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49806329999996, 44.238799319000066]}","44.238799319,-76.4980633"
Municipal,Thornless Cockspur Hawthorn,Crataegus crusgalli var. inermis,,1,5.0,2018-10-17T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.51282503489887, 44.22578196836978]}","44.2257819684,-76.5128250349"
Municipal,Chokecherry,Prunus virginiana,,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48785609899994, 44.25829423000005]}","44.25829423,-76.487856099"
Municipal,Northern Red Oak,Quercus rubra,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58281241799995, 44.228380652000055]}","44.228380652,-76.582812418"
Municipal,Eastern Cottonwood,Populus deltoides,,1,21.0,,,"{""type"": ""Point"", ""coordinates"": [-76.31135888199998, 44.29157380200007]}","44.291573802,-76.311358882"
Municipal,American Elm,Ulmus americana,,1,38.0,,,"{""type"": ""Point"", ""coordinates"": [-76.61844089299996, 44.27118379500007]}","44.271183795,-76.618440893"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60911982299996, 44.254820289000065]}","44.254820289,-76.609119823"
Municipal,Sugar Maple,Acer saccharum,,1,8.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56001744399998, 44.25163977300008]}","44.251639773,-76.560017444"
Municipal,Amur Maple,Acer ginnala,,1,5.0,2015-11-09T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.51921763106948, 44.22160793973384]}","44.2216079397,-76.5192176311"
Municipal,Kentucky Coffeetree,Gymnocladus dioicus,,1,5.0,2018-04-23T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.54607706244573, 44.25315008294327]}","44.2531500829,-76.5460770624"
Municipal,Littleleaf Linden,Tilia cordata,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.54550115199999, 44.25387799200007]}","44.253877992,-76.545501152"
Municipal,Sugar Maple,Acer saccharum,,1,25.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44957417399996, 44.265322913000034]}","44.265322913,-76.449574174"
Municipal,Freeman Maple,Acer x freemanii,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56726001299995, 44.27530973100005]}","44.275309731,-76.567260013"
,Honey-Locust,Gleditsia triacanthos,,,16.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49021275214193, 44.258941099535754]}","44.2589410995,-76.4902127521"
Municipal,White Oak,Quercus alba,,1,90.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57993155599996, 44.241580972000065]}","44.241580972,-76.579931556"
Municipal,Northern Red Oak,Quercus rubra,Midland Park,1,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58096244565824, 44.274164652493106]}","44.2741646525,-76.5809624457"
Municipal,Japanese Tree Lilac,Syringa reticulata,,1,3.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57984133899998, 44.24659573000008]}","44.24659573,-76.579841339"
Municipal,Northern Red Oak,Quercus rubra,,1,17.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60725466799994, 44.258081676000074]}","44.258081676,-76.607254668"
Municipal,Norway Maple,Acer platanoides,,1,22.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52198320799994, 44.25627275100004]}","44.256272751,-76.521983208"
Municipal,American Elm,Ulmus americana,,1,43.0,,,"{""type"": ""Point"", ""coordinates"": [-76.4373406912066, 44.27206398566609]}","44.2720639857,-76.4373406912"
Municipal,Norway Maple,Acer platanoides,,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.59988360899996, 44.23622733600007]}","44.236227336,-76.599883609"
Municipal,Siberian Elm,Ulmus pumila,Kingston Memorial Centre,1,35.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49821243499997, 44.24021302500006]}","44.240213025,-76.498212435"
Municipal,Silver Maple,Acer saccharinum,,1,57.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52223090499996, 44.25196058200004]}","44.251960582,-76.522230905"
Municipal,Jack Ornamental Pear,Pyrus calleryana 'Jaczam',,1,5.0,2020-10-30T05:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.48312188483013, 44.25690597282177]}","44.2569059728,-76.4831218848"
Municipal,Silver Maple,Acer saccharinum,,1,34.0,,,"{""type"": ""Point"", ""coordinates"": [-76.61596097099994, 44.24576068700003]}","44.245760687,-76.615960971"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,18.0,,,"{""type"": ""Point"", ""coordinates"": [-76.60049271799994, 44.26024049800003]}","44.260240498,-76.600492718"
Municipal,Norway Maple,Acer platanoides,,1,41.0,,,"{""type"": ""Point"", ""coordinates"": [-76.58269558499995, 44.22014818100007]}","44.220148181,-76.582695585"
Municipal,Northern Red Oak,Quercus rubra,,1,10.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50058106999995, 44.23474291600007]}","44.234742916,-76.50058107"
Municipal,Crabapple Species,Malus crabapple Species,,1,20.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50338633699994, 44.23592896200006]}","44.235928962,-76.503386337"
Municipal,Armstrong Maple,Acer x freemanii 'Armstrong',,1,5.0,2018-11-21T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.54544870062296, 44.26152079396385]}","44.261520794,-76.5454487006"
Municipal,Norway Maple,Acer platanoides,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45226534799997, 44.26777859600003]}","44.267778596,-76.452265348"
Municipal,Norway Maple,Acer platanoides,,1,24.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44971883099998, 44.26056483900004]}","44.260564839,-76.449718831"
Municipal,Silver Maple,Acer saccharinum,,1,96.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49554495599995, 44.23219558400007]}","44.232195584,-76.495544956"
Municipal,Pignut Hickory,Carya glabra,Brewer's Mills Open Space,1,5.0,2018-04-06T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.28140907532763, 44.40965863704932]}","44.409658637,-76.2814090753"
Municipal,Littleleaf Linden,Tilia cordata,,1,49.0,,,"{""type"": ""Point"", ""coordinates"": [-76.48651425599996, 44.26835694300007]}","44.268356943,-76.486514256"
Municipal,Sugar Maple,Acer saccharum,MacDonald/Memorial Park,1,5.0,2016-11-17T06:00:00+01:00,Yes,"{""type"": ""Point"", ""coordinates"": [-76.48943816692596, 44.22302224997545]}","44.22302225,-76.4894381669"
Municipal,Celebration Maple,Acer x freemanii 'Celzam',,1,4.0,2020-11-03T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.48610223055498, 44.23573663288983]}","44.2357366329,-76.4861022306"
Municipal,Common Hackberry,Celtis occidentalis,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.44545889899996, 44.26389831100005]}","44.263898311,-76.445458899"
Municipal,Red Maple,Acer rubrum,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46207909499998, 44.25540628500005]}","44.255406285,-76.462079095"
Municipal,Sugar Maple,Acer saccharum,,1,5.0,2015-11-23T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.52682364626631, 44.24976548521536]}","44.2497654852,-76.5268236463"
Municipal,Northern Red Oak,Quercus rubra,,1,32.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46672406699997, 44.25584900000007]}","44.255849,-76.466724067"
Municipal,Maidenhair Tree,Ginkgo biloba,,1,4.0,2016-12-31T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.48721999495766, 44.232857118914126]}","44.2328571189,-76.487219995"
Municipal,Norway Maple,Acer platanoides,,1,28.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52490702999995, 44.232363546000045]}","44.232363546,-76.52490703"
Municipal,White Spruce,Picea glauca,,1,29.0,,,"{""type"": ""Point"", ""coordinates"": [-76.40472724499995, 44.25090646700005]}","44.250906467,-76.404727245"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,12.0,,,"{""type"": ""Point"", ""coordinates"": [-76.53157002899997, 44.22969692000004]}","44.22969692,-76.531570029"
Municipal,American Arborvitae,Thuja occidentalis,,1,15.0,,,"{""type"": ""Point"", ""coordinates"": [-76.57668820399994, 44.27897560200006]}","44.278975602,-76.576688204"
Municipal,Shademaster Honey-Locust,Gleditsia triacanthos var. inermis 'Shademaster',Bridle Path Park,1,5.0,2019-10-17T06:00:00+02:00,,"{""type"": ""Point"", ""coordinates"": [-76.59089056345222, 44.253726230930624]}","44.2537262309,-76.5908905635"
Municipal,Serviceberry,Amelanchier species,,1,5.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49866508599996, 44.23060904400006]}","44.230609044,-76.498665086"
Municipal,Silver Maple,Acer saccharinum,,1,100.0,,,"{""type"": ""Point"", ""coordinates"": [-76.50057905299997, 44.234854692000056]}","44.234854692,-76.500579053"
Municipal,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',,1,15.0,,,"{""type"": ""Point"", ""coordinates"": [-76.45294266499997, 44.26718705400003]}","44.267187054,-76.452942665"
Municipal,Norway Maple,Acer platanoides,,1,53.0,,,"{""type"": ""Point"", ""coordinates"": [-76.52922268399999, 44.25156373900006]}","44.251563739,-76.529222684"
Municipal,Littleleaf Linden,Tilia cordata,,1,57.0,,,"{""type"": ""Point"", ""coordinates"": [-76.49763095399999, 44.245477023000035]}","44.245477023,-76.497630954"
Municipal,Honey-Locust,Gleditsia triacanthos,,1,32.0,,,"{""type"": ""Point"", ""coordinates"": [-76.51136824199995, 44.24158314300007]}","44.241583143,-76.511368242"
Municipal,Littleleaf Linden,Tilia cordata,,1,26.0,,,"{""type"": ""Point"", ""coordinates"": [-76.46276490399998, 44.25598217600003]}","44.255982176,-76.462764904"
Municipal,Sugar Maple,Acer saccharum,,1,134.0,,,"{""type"": ""Point"", ""coordinates"": [-76.56913882799995, 44.21357720700007]}","44.213577207,-76.569138828"
Municipal,Sugar Maple,Acer saccharum,Bert Meunier Common,1,5.0,2018-11-21T06:00:00+01:00,,"{""type"": ""Point"", ""coordinates"": [-76.55389241785454, 44.26472561155377]}","44.2647256116,-76.5538924179"
Municipal,Shagbark Hickory,Carya ovata,,1,32.0,,,"{""type"": ""Point"", ""coordinates"": [-76.38440969299995, 44.25596530200005]}","44.255965302,-76.384409693"
