Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
CLES-GILS-E,Cleveland St east of Gilman St,07/14/2015,3,9600,11:00 AM,593,5:00 PM,841,,,,,,,,,,,,,"(47.673113, -122.121896)"
024S-152A-S,152nd Ave NE south of NE 24th St,10/18/2018,3,4883,,,,,,,,,9:00 AM,230,5:00 PM,221,11:00 AM,159,5:00 PM,342,"(47.630822, -122.137717)"
040S-156A-E,NE 40th St east of 156th Ave NE,10/18/2018,3,19344,9:00 AM,1320,5:00 PM,732,8:00 AM,544,4:00 PM,982,,,,,,,,,"(47.646049, -122.13144)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,10/09/2007,3,12828,11:00 AM,323,5:00 PM,902,7:00 AM,809,12:00 PM,340,,,,,,,,,"(47.682383, -122.124596)"
REDW-187A-S,187th Ave NE south of Redmond Way,10/20/2009,3,1621,,,,,,,,,8:00 AM,80,5:00 PM,87,9:00 AM,52,5:00 PM,79,"(47.656825, -122.08911)"
UHR-188A-S,188th Ave NE south of Union Hill Rd,11/08/2018,3,8995,,,,,,,,,8:00 AM,271,4:00 PM,558,8:00 AM,392,5:00 PM,366,"(47.676317, -122.089673)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,11/15/2018,3,14848,11:00 AM,357,6:00 PM,812,8:00 AM,996,12:00 PM,410,,,,,,,,,"(47.682383, -122.124596)"
076S-185A-E,NE 76th St east of 185th Ave NE,11/08/2018,3,10741,11:00 AM,429,5:00 PM,603,8:00 AM,504,12:00 PM,364,,,,,,,,,"(47.67214, -122.093)"
REDW-LEAW-W,Redmond Way west of Leary Way,11/08/2018,3,15096,11:00 AM,364,4:00 PM,591,8:00 AM,600,1:00 PM,589,,,,,,,,,"(47.674378, -122.123457)"
085S-164A-W,NE 85th St west of 164th Ave NE,11/15/2018,3,8561,11:00 AM,236,5:00 PM,672,9:00 AM,473,3:00 PM,271,,,,,,,,,"(47.678485, -122.122287)"
076S-180A-W,NE 76th St west of 178th Pl NE and 180th Ave NE,11/08/2018,3,12983,11:00 AM,330,5:00 PM,727,8:00 AM,838,3:00 PM,471,,,,,,,,,"(47.671676, -122.103036)"
079S-169A-E,NE 79th St east of 169th Ave NE,12/06/2018,3,11484,9:00 AM,410,5:00 PM,669,11:00 AM,336,3:00 PM,492,,,,,,,,,"(47.673196, -122.1145)"
040S-BRR-W,NE 40th St west of Bel-Red Rd,10/18/2018,3,9355,11:00 AM,208,5:00 PM,954,9:00 AM,968,1:00 PM,196,,,,,,,,,"(47.646078, -122.115011)"
WLSP-LEAW-N,West Lake Sammamish Pkwy north of Leary Way,07/22/1996,3,18517,,,,,,,,,11:00 AM,635,5:00 PM,1257,7:00 AM,1300,12:00 PM,684,"(47.669665, -122.130197)"
REDW-148A-N,148th Ave NE north of Redmond Way,11/08/2018,3,16291,,,,,,,,,8:00 AM,597,6:00 PM,822,9:00 AM,678,5:00 PM,706,"(47.677714, -122.144741)"
024S-152A-N,152nd Ave NE north of NE 24th St,10/11/2018,3,11985,,,,,,,,,9:00 AM,630,12:00 PM,389,11:00 AM,345,5:00 PM,847,"(47.632262, -122.137708)"
REDW-076S-W,Redmond Way west of NE 76th St,10/16/2001,3,38250,11:00 AM,1216,12:00 PM,1443,11:00 AM,1539,4:00 PM,1583,,,,,,,,,"(47.670244, -122.109003)"
040S-156A-N,156th Ave NE north of NE 40th St,10/18/2018,3,14588,,,,,,,,,9:00 AM,542,5:00 PM,1066,9:00 AM,1053,5:00 PM,732,"(47.646604, -122.132308)"
064S-146A-E,NE 64th St east of 146th Ave NE,12/06/2018,3,423,9:00 AM,21,2:00 PM,15,11:00 AM,9,5:00 PM,52,,,,,,,,,"(47.663572, -122.144915)"
UHR-AVR-W,Union Hill Rd west of Avondale Rd,11/29/2018,3,11813,8:00 AM,412,3:00 PM,502,11:00 AM,405,4:00 PM,475,,,,,,,,,"(47.674887, -122.106579)"
REDW-164A-S,164th Ave NE south of Redmond Way,11/08/2018,3,3931,,,,,,,,,11:00 AM,114,5:00 PM,195,9:00 AM,177,12:00 PM,155,"(47.673518, -122.121506)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,07/09/1996,3,6499,11:00 AM,136,6:00 PM,247,7:00 AM,597,7:00 PM,220,,,,,,,,,"(47.682383, -122.124596)"
095S-AVR-E,NE 95th St east of Avondale Rd,09/27/2018,3,1943,8:00 AM,49,5:00 PM,132,9:00 AM,253,5:00 PM,62,,,,,,,,,"(47.685628, -122.094729)"
REDW-161A-E,Redmond Way east of 161st Ave NE,11/08/2018,3,16590,11:00 AM,397,4:00 PM,619,9:00 AM,651,5:00 PM,703,,,,,,,,,"(47.674799, -122.125211)"
085S-154A-E,NE 85th St east of 154th Ave NE,11/15/2018,3,8536,11:00 AM,287,5:00 PM,491,8:00 AM,389,12:00 PM,312,,,,,,,,,"(47.6786, -122.133768)"
051S-WBR-W,NE 51st St west of westbound SR 520 ramps,10/25/2018,3,18683,9:00 AM,832,5:00 PM,853,9:00 AM,1000,5:00 PM,820,,,,,,,,,"(47.654692, -122.139955)"
037P-172A-N,172nd Ave NE north of NE 37th Pl,12/06/2018,3,1998,,,,,,,,,8:00 AM,127,3:00 PM,60,11:00 AM,44,5:00 PM,116,"(47.645002, -122.110915)"
040S-148A-S,148th Ave NE south of NE 40th St,10/25/2018,3,21320,,,,,,,,,9:00 AM,643,5:00 PM,1216,9:00 AM,1170,5:00 PM,718,"(47.645106, -122.142964)"
WLSP-LEAW-N,West Lake Sammamish Pkwy north of Leary Way,11/11/2014,3,35770,,,,,,,,,8:00 AM,887,4:00 PM,1130,8:00 AM,1939,4:00 PM,1634,"(47.669665, -122.130197)"
REDW-076S-W,Redmond Way west of NE 76th St,07/22/1996,7,29689,11:00 AM,895,5:00 PM,1120,7:00 AM,1132,12:00 PM,1107,,,,,,,,,"(47.670244, -122.109003)"
104S-AVR-W,NE 104th St west of Avondale Rd,09/27/2018,3,7927,7:00 AM,297,5:00 PM,415,7:00 AM,390,5:00 PM,319,,,,,,,,,"(47.693432, -122.094274)"
060S-156A-W,NE 60th St west of 156th Ave NE,10/25/2018,3,3885,8:00 AM,277,3:00 PM,125,8:00 AM,167,5:00 PM,615,,,,,,,,,"(47.660621, -122.133619)"
REDW-148A-S,148th Ave NE south of Redmond Way,11/08/2018,3,19974,,,,,,,,,8:00 AM,448,4:00 PM,1350,9:00 AM,1278,5:00 PM,564,"(47.673833, -122.143018)"
NHR-AVR-S,Avondale Rd south of Novelty Hill Rd,11/11/2018,7,38054,,,,,,,,,10:00 AM,851,7:00 PM,1821,8:00 AM,1584,12:00 PM,1184,"(47.686078, -122.095259)"
051S-156A-W,NE 51st St west of 156th Ave NE,10/18/2018,3,13758,9:00 AM,1158,5:00 PM,585,8:00 AM,471,5:00 PM,703,,,,,,,,,"(47.654095, -122.133564)"
085S-160A-W,NE 85th St west of 160th Ave NE,11/15/2018,3,8733,11:00 AM,302,5:00 PM,521,9:00 AM,409,12:00 PM,331,,,,,,,,,"(47.678544, -122.128132)"
WLSP-LEAW-S,West Lake Sammamish Pkwy south of Leary Way,08/26/1997,3,16609,,,,,,,,,8:00 AM,504,4:00 PM,485,7:00 AM,922,3:00 PM,796,"(47.668958, -122.128649)"
040S-BRR-S,Bel-Red Rd south of NE 40th St,10/18/2018,3,11604,,,,,,,,,9:00 AM,461,4:00 PM,550,8:00 AM,646,5:00 PM,483,"(47.64369, -122.115981)"
051S-148A-E,NE 51st St east of 148th Ave NE,11/08/2018,3,16094,10:00 AM,915,4:00 PM,503,10:00 AM,658,6:00 PM,820,,,,,,,,,"(47.654916, -122.142089)"
080S-166A-E,NE 80th St east of 166th Ave NE,11/08/2018,3,3762,9:00 AM,134,6:00 PM,217,9:00 AM,161,5:00 PM,183,,,,,,,,,"(47.674866, -122.118313)"
REDW-188A-N,188th Ave NE north of Redmond Way,11/08/2018,3,7199,,,,,,,,,8:00 AM,337,4:00 PM,253,9:00 AM,190,5:00 PM,453,"(47.657864, -122.087983)"
040S-156A-S,156th Ave NE south of NE 40th St,10/18/2018,3,18980,,,,,,,,,11:00 AM,480,5:00 PM,1225,9:00 AM,1035,5:00 PM,643,"(47.645428, -122.132299)"
104S-166A-W,NE 104th St west of 166th Ave NE,09/27/2018,3,4177,7:00 AM,231,5:00 PM,245,7:00 AM,155,5:00 PM,258,,,,,,,,,"(47.69292, -122.119748)"
024S-WLSP-N,West Lake Sammamish Pkwy north of NE 24th St,10/18/2018,3,7364,,,,,,,,,8:00 AM,536,3:00 PM,217,8:00 AM,179,4:00 PM,592,"(47.632158, -122.089235)"
024S-172A-E,NE 24th St east of 172nd Ave NE,10/18/2018,3,7089,11:00 AM,169,5:00 PM,411,7:00 AM,433,5:00 PM,217,,,,,,,,,"(47.631244, -122.110407)"
116S-AVR-S,Avondale Road south of NE 116th St,09/27/2018,3,29655,,,,,,,,,11:00 AM,727,5:00 PM,1657,7:00 AM,1436,4:00 PM,922,"(47.701729, -122.092788)"
ELSP-187A-W,East Lake Sammamish Pkwy west of 187th Ave NE,11/08/2018,3,17601,8:00 AM,1125,5:00 PM,471,11:00 AM,343,5:00 PM,1223,,,,,,,,,"(47.660511, -122.096229)"
REDW-076S-W,Redmond Way west of NE 76th St,11/09/2010,3,28877,11:00 AM,947,1:00 PM,1138,7:00 AM,971,1:00 PM,926,,,,,,,,,"(47.670244, -122.109003)"
REDW-ELSP-S,East Lake Sammamish Pkwy south of Redmond Way,11/08/2018,3,18660,,,,,,,,,7:00 AM,776,5:00 PM,642,9:00 AM,506,5:00 PM,1095,"(47.66516, -122.09992)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,10/21/2014,3,13645,11:00 AM,380,4:00 PM,724,8:00 AM,954,12:00 PM,396,,,,,,,,,"(47.682383, -122.124596)"
024S-148A-N,148th Ave NE north of NE 24th St,10/11/2018,3,51165,,,,,,,,,8:00 AM,1667,5:00 PM,1951,8:00 AM,1789,3:00 PM,1552,"(47.632241, -122.143042)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,10/16/2012,3,19475,8:00 AM,921,5:00 PM,805,8:00 AM,637,5:00 PM,952,,,,,,,,,"(47.682383, -122.124596)"
085S-164A-N,164th Ave NE north of NE 85th St,11/15/2018,3,14785,,,,,,,,,11:00 AM,418,4:00 PM,594,9:00 AM,645,4:00 PM,563,"(47.679053, -122.121598)"
085S-160A-E,NE 85th St east of 160th Ave NE,11/29/2018,3,9748,11:00 AM,306,5:00 PM,687,8:00 AM,530,4:00 PM,350,,,,,,,,,"(47.678531, -122.126825)"
BCP-161A-E,Bear Creek Pkwy east of 161st Ave NE,11/08/2018,3,10594,11:00 AM,293,6:00 PM,497,9:00 AM,444,5:00 PM,519,,,,,,,,,"(47.673064, -122.125872)"
109S-RWR-E,NE 109th St east of Red-Wood Rd,09/27/2018,3,5145,7:00 AM,134,6:00 PM,253,8:00 AM,309,5:00 PM,292,,,,,,,,,"(47.697935, -122.131794)"
090S-154A-E,NE 90th St east of 154th Ave NE,11/15/2018,3,15597,11:00 AM,485,5:00 PM,903,8:00 AM,935,12:00 PM,537,,,,,,,,,"(47.682202, -122.133569)"
AVW-AVR-W,Avondale Way west of Avondale Rd,11/15/2018,3,10770,11:00 AM,292,5:00 PM,656,9:00 AM,388,12:00 PM,366,,,,,,,,,"(47.676535, -122.107026)"
122S-172A-S,172nd Ave NE south of NE 122nd St,09/27/2018,3,1849,,,,,,,,,7:00 AM,100,5:00 PM,92,7:00 AM,144,4:00 PM,77,"(47.708734, -122.110695)"
ORR-144A-S,144th Ave NE south of Old Redmond Rd,12/13/2018,3,443,,,,,,,,,7:00 AM,34,5:00 PM,41,11:00 AM,10,3:00 PM,17,"(47.665921, -122.147396)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,10/13/2009,3,12397,11:00 AM,319,5:00 PM,857,8:00 AM,858,5:00 PM,321,,,,,,,,,"(47.682383, -122.124596)"
040S-150A-E,NE 40th St east of 150th Ave NE,10/18/2018,3,15097,9:00 AM,501,5:00 PM,750,9:00 AM,657,5:00 PM,690,,,,,,,,,"(47.645974, -122.13906)"
095S-WILR-E,NE 95th St east of Willows Rd,09/27/2018,3,4440,6:00 AM,201,12:00 PM,142,11:00 AM,155,3:00 PM,283,,,,,,,,,"(47.685905, -122.142579)"
095S-WILR-N,Willows Rd north of NE 95th St,09/27/2018,3,24553,,,,,,,,,8:00 AM,997,3:00 PM,1120,7:00 AM,1004,5:00 PM,973,"(47.693976, -122.151332)"
WLSP-LEAW-N,West Lake Sammamish Pkwy north of Leary Way,12/04/2007,3,32883,,,,,,,,,8:00 AM,1472,5:00 PM,1254,9:00 AM,1377,6:00 PM,1228,"(47.669665, -122.130197)"
REDW-187A-S,187th Ave NE south of Redmond Way,12/07/2007,3,1320,,,,,,,,,9:00 AM,64,6:00 PM,64,10:00 AM,44,4:00 PM,58,"(47.656825, -122.08911)"
116S-WILR-E,NE 116th St east of Willows Rd,09/27/2018,3,2458,11:00 AM,40,5:00 PM,331,8:00 AM,162,7:00 PM,205,,,,,,,,,"(47.704188, -122.148161)"
REDW-070A-S,Redmond Way southeast of NE 70th St,08/30/2018,3,48432,,,,,,,,,8:00 AM,2325,3:00 PM,1480,11:00 AM,1323,4:00 PM,1961,"(47.666741, -122.100873)"
REDW-076S-W,Redmond Way west of NE 76th St,12/06/2018,3,34250,11:00 AM,1046,4:00 PM,1580,11:00 AM,1153,12:00 PM,1207,,,,,,,,,"(47.670244, -122.109003)"
ORR-WLSP-N,West Lake Sammamish Pkwy north of Old Redmond Rd,11/08/2018,3,16095,,,,,,,,,8:00 AM,462,5:00 PM,608,8:00 AM,825,3:00 PM,682,"(47.672629, -122.133731)"
090S-160A-N,160th Ave NE north of NE 90th St,11/15/2018,3,3569,,,,,,,,,11:00 AM,86,5:00 PM,204,8:00 AM,230,3:00 PM,105,"(47.685232, -122.125883)"
085S-160A-N,160th Ave NE north of NE 85th St,11/15/2018,3,6693,,,,,,,,,11:00 AM,231,12:00 PM,263,11:00 AM,230,5:00 PM,329,"(47.678975, -122.127506)"
REDW-ELSP-E,Redmond Way east of East Lake Sammamish Pkwy,11/08/2018,3,36267,8:00 AM,775,5:00 PM,1605,8:00 AM,1831,4:00 PM,1298,,,,,,,,,"(47.665236, -122.099258)"
WLSP-LEAW-S,West Lake Sammamish Pkwy south of Leary Way,12/04/2007,3,35682,,,,,,,,,8:00 AM,1462,5:00 PM,2151,8:00 AM,983,5:00 PM,1086,"(47.668958, -122.128649)"
090S-WILR-E,NE 90th St east of Willows Rd,11/15/2018,3,14295,11:00 AM,447,5:00 PM,677,8:00 AM,627,3:00 PM,606,,,,,,,,,"(47.682267, -122.140808)"
WLSP-LEAW-S,West Lake Sammamish Pkwy south of Leary Way,11/08/2018,3,34310,,,,,,,,,9:00 AM,1300,4:00 PM,1784,8:00 AM,1360,3:00 PM,1041,"(47.668958, -122.128649)"
116S-172A-S,172nd Ave NE south of NE 116th St,09/27/2018,3,4119,,,,,,,,,7:00 AM,137,5:00 PM,323,7:00 AM,351,4:00 PM,114,"(47.703554, -122.110879)"
040S-WLSP-N,West Lake Sammamish Pkwy north of NE 40th St,10/18/2018,3,8192,,,,,,,,,8:00 AM,432,3:00 PM,310,8:00 AM,215,4:00 PM,472,"(47.64651, -122.107972)"
WLSP-LEAW-S,West Lake Sammamish Pkwy south of Leary Way,11/15/2005,3,34341,,,,,,,,,8:00 AM,1315,6:00 PM,2379,9:00 AM,973,6:00 PM,1042,"(47.668958, -122.128649)"
083S-164A-W,NE 83rd St west of 164th Ave NE,11/08/2018,3,4673,11:00 AM,114,5:00 PM,375,7:00 AM,228,5:00 PM,176,,,,,,,,,"(47.676673, -122.12227)"
051S-EBR-E,NE 51st St east of eastbound SR 520 ramps,10/25/2018,3,16069,9:00 AM,1496,5:00 PM,686,9:00 AM,478,5:00 PM,824,,,,,,,,,"(47.654146, -122.135637)"
REDW-160A-W,Redmond Way west of 160th Ave NE,11/15/2018,3,24782,11:00 AM,737,5:00 PM,1199,9:00 AM,1000,4:00 PM,966,,,,,,,,,"(47.674732, -122.128197)"
048S-165P-E,NE 48th St east of 165th Pl,12/06/2018,3,483,8:00 AM,22,5:00 PM,79,8:00 AM,35,3:00 PM,19,,,,,,,,,"(47.652434, -122.120235)"
040S-WLSP-S,West Lake Sammamish Pkwy south of NE 40th St,10/18/2018,3,10283,,,,,,,,,8:00 AM,692,3:00 PM,338,8:00 AM,230,5:00 PM,723,"(47.64572, -122.107811)"
065S-146A-S,146th Ave NE south of NE 65th St,12/06/2018,3,497,,,,,,,,,7:00 AM,23,5:00 PM,50,9:00 AM,19,5:00 PM,25,"(47.664349, -122.146354)"
ORR-WLSP-W,Old Redmond Rd west of West Lake Sammamish Pkwy,10/25/2018,3,7212,8:00 AM,296,5:00 PM,529,9:00 AM,274,5:00 PM,269,,,,,,,,,"(47.671605, -122.133453)"
ORR-140A-S,140th Ave NE south of Old Redmond Rd,11/15/2018,3,10433,,,,,,,,,8:00 AM,262,5:00 PM,746,8:00 AM,616,5:00 PM,343,"(47.664772, -122.153361)"
REDW-170A-W,Redmond Way west of 170th Ave NE,11/08/2018,3,21573,11:00 AM,633,4:00 PM,859,11:00 AM,734,3:00 PM,753,,,,,,,,,"(47.671609, -122.113663)"
REDW-LEAW-E,Redmond Way east of Leary Way,11/08/2018,3,15103,11:00 AM,355,4:00 PM,549,8:00 AM,632,12:00 PM,611,,,,,,,,,"(47.674103, -122.122354)"
REDW-076S-W,Redmond Way west of NE 76th St,10/21/2008,3,40159,11:00 AM,1171,5:00 PM,1815,9:00 AM,1417,12:00 PM,1532,,,,,,,,,"(47.670244, -122.109003)"
024S-152A-E,NE 24th St east of 152nd Ave NE,10/25/2018,3,20484,9:00 AM,651,5:00 PM,908,8:00 AM,689,3:00 PM,738,,,,,,,,,"(47.631559, -122.136647)"
080S-164A-N,164th Ave NE north of NE 80th St,11/08/2018,3,12113,,,,,,,,,11:00 AM,345,3:00 PM,437,9:00 AM,562,4:00 PM,469,"(47.675964, -122.121619)"
116S-RWR-N,Red-Wood Rd north of NE 116th St,09/27/2018,3,19180,,,,,,,,,8:00 AM,576,4:00 PM,946,7:00 AM,777,5:00 PM,793,"(47.705275, -122.131892)"
REDW-161A-N,161st Ave NE north of Redmond Way,11/15/2018,3,6730,,,,,,,,,11:00 AM,223,5:00 PM,386,9:00 AM,232,4:00 PM,238,"(47.675427, -122.125559)"
REDW-180A-N,180th Ave NE north of Redmond Way,11/08/2018,3,11356,,,,,,,,,11:00 AM,314,6:00 PM,412,10:00 AM,405,5:00 PM,549,"(47.666659, -122.100157)"
109S-RWR-S,Red-Wood Rd south of NE 109th St,09/27/2018,3,19929,,,,,,,,,8:00 AM,456,3:00 PM,971,8:00 AM,1222,4:00 PM,594,"(47.696774, -122.1322)"
051S-156A-N,156th Ave NE north of NE 51st St,10/18/2018,3,4063,,,,,,,,,8:00 AM,89,5:00 PM,593,9:00 AM,312,5:00 PM,89,"(47.65504, -122.132495)"
REDW-170A-N,170th Ave NE north of Redmond Way,11/08/2018,3,8627,,,,,,,,,11:00 AM,278,5:00 PM,496,9:00 AM,352,4:00 PM,285,"(47.671868, -122.112833)"
085S-166A-S,166th Ave NE south of NE 85th St,11/15/2018,3,14267,,,,,,,,,11:00 AM,332,5:00 PM,804,8:00 AM,919,3:00 PM,584,"(47.678173, -122.119163)"
024S-180A-N,180th Ave NE north of NE 24th St,10/18/2018,3,2125,,,,,,,,,8:00 AM,93,5:00 PM,98,8:00 AM,170,5:00 PM,83,"(47.63186, -122.100346)"
BCP-LEAW-N,Leary Way north of Bear Creek Pkwy,11/15/2018,3,11485,,,,,,,,,11:00 AM,325,5:00 PM,665,8:00 AM,559,1:00 PM,335,"(47.672232, -122.124086)"
104S-166A-N,166th Ave NE north of NE 104th St,09/27/2018,3,6618,,,,,,,,,7:00 AM,172,5:00 PM,594,8:00 AM,498,3:00 PM,180,"(47.693421, -122.1185)"
080S-140A-W,NE 80th St west of 140th Ave NE,11/08/2018,3,2807,9:00 AM,205,3:00 PM,126,7:00 AM,87,5:00 PM,257,,,,,,,,,"(47.675324, -122.154641)"
104S-166A-S,166th Ave NE south of NE 104th St,11/11/2018,7,11412,,,,,,,,,8:00 AM,353,6:00 PM,906,9:00 AM,1004,3:00 PM,335,"(47.692107, -122.118314)"
REDW-076S-W,Redmond Way west of NE 76th St,04/02/2007,3,35677,11:00 AM,1329,4:00 PM,1498,11:00 AM,1270,3:00 PM,1323,,,,,,,,,"(47.670244, -122.109003)"
080S-166A-N,166th Ave NE north of NE 80th St,11/29/2018,3,16112,,,,,,,,,11:00 AM,412,4:00 PM,776,8:00 AM,912,3:00 PM,669,"(47.675454, -122.119186)"
085S-161A-S,161st Ave NE south of NE 85th St,11/15/2018,3,6167,,,,,,,,,11:00 AM,207,5:00 PM,329,9:00 AM,232,12:00 PM,213,"(47.677995, -122.125547)"
ORR-148A-W,Old Redmond Rd west of 148th Ave NE,11/08/2018,3,10527,,,,,,,,,9:00 AM,556,4:00 PM,402,7:00 AM,399,4:00 PM,619,"(47.666078, -122.135154)"
024S-BRR-N,Bel-Red Rd north of NE 24th St,10/18/2018,3,13491,,,,,,,,,9:00 AM,676,5:00 PM,522,8:00 AM,461,4:00 PM,632,"(47.630951, -122.134406)"
WLSP-LEAW-S,West Lake Sammamish Pkwy south of Leary Way,11/11/2014,3,32257,,,,,,,,,9:00 AM,1264,4:00 PM,1753,9:00 AM,1161,5:00 PM,1118,"(47.668958, -122.128649)"
REDW-148A-E,Redmond Way east of 148th Ave NE,11/15/2018,3,26057,9:00 AM,870,5:00 PM,1269,9:00 AM,817,4:00 PM,990,,,,,,,,,"(47.675144, -122.141922)"
CLES-LEAW-W,Cleveland St west of Leary Way,11/08/2018,3,5511,11:00 AM,271,5:00 PM,351,11:00 AM,133,5:00 PM,163,,,,,,,,,"(47.67358, -122.123769)"
REDW-187A-S,187th Ave NE south of Redmond Way,11/08/2018,3,2704,,,,,,,,,8:00 AM,142,5:00 PM,184,9:00 AM,105,3:00 PM,129,"(47.656825, -122.08911)"
WLSP-180A-S,180th Ave NE south of West Lake Sammamish Pkwy,12/06/2018,3,2261,,,,,,,,,8:00 AM,117,3:00 PM,106,8:00 AM,141,5:00 PM,115,"(47.639503, -122.100288)"
REDW-WILR-N,Willows Rd north of Redmond Way,11/15/2018,3,10426,,,,,,,,,8:00 AM,346,6:00 PM,302,11:00 AM,392,4:00 PM,526,"(47.675284, -122.136661)"
024S-182A-W,NE 24th St west of 182nd Ave NE,12/06/2018,3,3065,8:00 AM,88,3:00 PM,177,7:00 AM,183,4:00 PM,96,,,,,,,,,"(47.631173, -122.098878)"
040S-148A-E,NE 40th St east of 148th Ave NE,10/25/2018,3,10575,9:00 AM,607,5:00 PM,304,11:00 AM,283,5:00 PM,826,,,,,,,,,"(47.64594, -122.142037)"
076S-180A-E,NE 76th St east of 178th Pl NE and 180th Ave NE,11/08/2018,3,11826,11:00 AM,337,5:00 PM,508,8:00 AM,927,3:00 PM,471,,,,,,,,,"(47.672116, -122.096965)"
REDW-185A-N,185th Ave NE north of Redmond Way,11/08/2018,3,6027,,,,,,,,,4:00 AM,416,12:00 PM,197,11:00 AM,166,3:00 PM,455,"(47.66153, -122.094328)"
040S-BRR-N,Bel-Red Rd north of NE 40th St,10/18/2018,3,12353,,,,,,,,,8:00 AM,335,4:00 PM,783,9:00 AM,949,3:00 PM,377,"(47.647194, -122.114831)"
CLES-LEAW-S,Leary Way south of Cleveland St,11/08/2018,3,8448,,,,,,,,,11:00 AM,302,4:00 PM,408,8:00 AM,422,12:00 PM,252,"(47.673098, -122.123326)"
024S-186A-S,186th Ave NE south of NE 24th St,12/06/2018,3,890,,,,,,,,,7:00 AM,57,1:00 PM,31,11:00 AM,20,3:00 PM,44,"(47.630026, -122.091693)"
122S-172A-W,NE 122nd St west of 172nd Ave NE,09/27/2018,3,988,8:00 AM,58,3:00 PM,41,9:00 AM,46,4:00 PM,57,,,,,,,,,"(47.709216, -122.112172)"
REDW-132A-E,Redmond Way east of 132nd Ave NE,11/29/2018,3,35641,9:00 AM,1657,5:00 PM,1064,8:00 AM,965,4:00 PM,1929,,,,,,,,,"(47.678435, -122.159375)"
116S-172A-W,NE 116th St west of 172nd Ave NE,09/27/2018,3,6625,8:00 AM,185,5:00 PM,372,7:00 AM,337,5:00 PM,280,,,,,,,,,"(47.703833, -122.112844)"
REDW-076S-W,Redmond Way west of NE 76th St,09/13/2005,3,39592,11:00 AM,1158,6:00 PM,1427,11:00 AM,1645,3:00 PM,1631,,,,,,,,,"(47.670244, -122.109003)"
070S-176A-S,176th Ave NE south of NE 70th St,11/08/2018,3,5350,,,,,,,,,10:00 AM,272,6:00 PM,284,10:00 AM,224,1:00 PM,185,"(47.666398, -122.105848)"
070S-ORR-S,Old Redmond Rd south of NE 70th St,12/06/2018,3,6734,,,,,,,,,8:00 AM,243,5:00 PM,629,8:00 AM,261,5:00 PM,226,"(47.666724, -122.133966)"
REDW-076S-W,Redmond Way west of NE 76th St,10/30/2007,3,36959,11:00 AM,1114,5:00 PM,1571,11:00 AM,1357,4:00 PM,1454,,,,,,,,,"(47.670244, -122.109003)"
REDW-076S-W,Redmond Way west of NE 76th St,09/08/1997,7,28668,11:00 AM,1007,12:00 PM,1287,11:00 AM,1033,4:00 PM,1082,,,,,,,,,"(47.670244, -122.109003)"
REDW-076S-W,Redmond Way west of NE 76th St,11/08/2011,3,29859,11:00 AM,1138,5:00 PM,1179,7:00 AM,1001,2:00 PM,1083,,,,,,,,,"(47.670244, -122.109003)"
WLSP-LEAW-N,West Lake Sammamish Pkwy north of Leary Way,05/20/2003,3,29036,,,,,,,,,8:00 AM,824,6:00 PM,1317,8:00 AM,642,5:00 PM,689,"(47.669665, -122.130197)"
WLSP-LEAW-N,West Lake Sammamish Pkwy north of Leary Way,11/06/2012,3,27899,,,,,,,,,8:00 AM,869,5:00 PM,1199,8:00 AM,1443,4:00 PM,1160,"(47.669665, -122.130197)"
124S-162P-S,162nd Pl NE south of NE 124th St,09/27/2018,3,1654,,,,,,,,,9:00 AM,57,4:00 PM,74,8:00 AM,101,6:00 PM,95,"(47.710866, -122.12264)"
090S-RWR-W,NE 90th St west of Red-Wood Rd,11/04/1997,3,8244,8:00 AM,499,6:00 PM,621,9:00 AM,256,2:00 PM,167,,,,,,,,,"(47.682383, -122.124596)"
040S-148A-N,148th Ave NE north of NE 40th St,11/11/2018,7,21182,,,,,,,,,9:00 AM,626,5:00 PM,1267,10:00 AM,1191,6:00 PM,666,"(47.646758, -122.142991)"
116S-WILR-N,Willows Rd north of NE 116th St,11/11/2018,7,23027,,,,,,,,,11:00 AM,378,5:00 PM,1425,8:00 AM,1362,1:00 PM,620,"(47.707813, -122.153989)"
085S-154A-S,154th Ave NE south of NE 85th St,11/15/2018,3,11006,,,,,,,,,9:00 AM,237,4:00 PM,238,8:00 AM,879,3:00 PM,557,"(47.677883, -122.134658)"
REDW-170A-E,Redmond Way east of 170th Ave NE,11/11/2018,7,31553,10:00 AM,919,5:00 PM,1482,10:00 AM,979,1:00 PM,1083,,,,,,,,,"(47.671194, -122.112246)"
116S-AVR-W,NE 116th St west of Avondale Rd,09/27/2018,3,8942,9:00 AM,294,4:00 PM,541,7:00 AM,391,6:00 PM,360,,,,,,,,,"(47.703172, -122.094026)"
