Intersection-Leg,Description,Start Date,Days,AWDT,EB Peak AM Hour,EB Peak AM Volume,EB Peak PM Hour,EB Peak PM Volume,WB Peak AM Hour,WB Peak AM Volume,WB Peak PM Hour,WB Peak PM Volume,NB Peak AM Hour,NB Peak AM Volume,NB Peak PM Hour,NB Peak PM Volume,SB Peak AM Hour,SB Peak AM Volume,SB Peak PM Hour,SB Peak PM Volume,Location
REDW-148A-E,Redmond Way east of 148th Ave NE,09/20/1999,3,29133,8:00 AM,941,5:00 PM,1293,7:00 AM,977,5:00 PM,1018,,,,,,,,,"(47.675144, -122.141922)"
ORR-148A-S,148th Ave NE south of Old Redmond Rd,11/11/2014,3,24410,,,,,,,,,11:00 AM,511,4:00 PM,1541,8:00 AM,1706,5:00 PM,669,"(47.667181, -122.143111)"
WLSP-BRR-N,West Lake Sammamish Pkwy north of Bel-Red Rd,10/18/2008,7,19883,,,,,,,,,8:00 AM,818,5:00 PM,1204,9:00 AM,1002,4:00 PM,859,"(47.652459, -122.117008)"
080S-164A-E,NE 80th St east of 164th Ave NE,10/13/2009,3,5183,11:00 AM,639,5:00 PM,851,8:00 AM,694,12:00 PM,763,,,,,,,,,"(47.674863, -122.120934)"
040S-150A-S,150th Ave NE south of NE 40th St,09/18/2007,3,4722,,,,,,,,,9:00 AM,150,5:00 PM,359,10:00 AM,259,1:00 PM,176,"(47.645349, -122.140265)"
085S-164A-W,NE 85th St west of 164th Ave NE,10/20/2009,3,10900,11:00 AM,453,5:00 PM,791,8:00 AM,423,12:00 PM,351,,,,,,,,,"(47.678485, -122.122287)"
159P-LEAW-W,159th Pl NE west of Leary Way,07/09/1996,3,5293,11:00 AM,170,5:00 PM,247,11:00 AM,181,12:00 PM,222,,,,,,,,,"(47.672034, -122.127827)"
116S-172A-W,NE 116th St west of 172nd Ave NE,10/09/2012,3,6821,7:00 AM,192,5:00 PM,353,8:00 AM,361,3:00 PM,246,,,,,,,,,"(47.703833, -122.112844)"
083S-164A-W,NE 83rd St west of 164th Ave NE,07/15/1997,3,5037,11:00 AM,194,5:00 PM,392,7:00 AM,178,12:00 PM,147,,,,,,,,,"(47.676673, -122.12227)"
085S-154A-N,154th Ave NE north of NE 85th St,10/13/2009,3,12441,,,,,,,,,7:00 AM,409,5:00 PM,612,8:00 AM,699,4:00 PM,392,"(47.679413, -122.134687)"
085S-164A-E,NE 85th St east of 164th Ave NE,08/19/1996,3,8316,11:00 AM,331,5:00 PM,602,7:00 AM,476,1:00 PM,341,,,,,,,,,"(47.678478, -122.120933)"
REDW-AVW-N,Avondale Way north of Redmond Way,08/19/1997,3,10743,,,,,,,,,11:00 AM,243,5:00 PM,525,7:00 AM,472,12:00 PM,467,"(47.672334, -122.114722)"
040S-156A-E,NE 40th St east of 156th Ave NE,10/07/2014,3,18954,9:00 AM,1320,5:00 PM,671,8:00 AM,602,5:00 PM,995,,,,,,,,,"(47.646049, -122.13144)"
