_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
48,47,529,Michael Power-St Joseph,105 Eringate Dr,Etobicoke,M9C 3Z7,S,Open,"{u'type': u'Point', u'coordinates': (-79.5819840831, 43.6592899897)}"
49,48,340,Mother Cabrini,720 Renforth Dr,Etobicoke,M9C 2N9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5863080877, 43.663778108)}"
50,49,343,MSGR Fraser College - Annex Campus,700 Markham St,former Toronto,M6G 2M3,AL,Open,"{u'type': u'Point', u'coordinates': (-79.4137512495, 43.6672550542)}"
51,50,533,MSGR Fraser College - Isabella Campus,146 Isabella St,former Toronto,M4Y 1P6,AL,Open,"{u'type': u'Point', u'coordinates': (-79.3771533743, 43.6697994649)}"
52,51,533,MSGR Fraser College - Isabella North,25 Linden St,former Toronto,M4Y 1V5,AL,Open,"{u'type': u'Point', u'coordinates': (-79.3771446424, 43.6702989123)}"
53,52,565,MSGR Fraser College - Midtown Campus,36 Eglinton Ave W,former Toronto,M4R 1A1,AL,Open,"{u'type': u'Point', u'coordinates': (-79.399960754, 43.7065950023)}"
54,53,567,MSGR Fraser College - Southwest,319 Ossington Ave,former Toronto,M6J 3A6,AL,Open,"{u'type': u'Point', u'coordinates': (-79.421016185, 43.6516313657)}"
55,54,364,MSGR Fraser College - Scarborough Campus,2900 Midland Ave,Scarborough,M1S 3K8,AL,Open,"{u'type': u'Point', u'coordinates': (-79.285717492, 43.8010691647)}"
56,55,526,MSGR Fraser College - Norfinch Campus,45 Norfinch Dr,North York,M3N 1W8,AL,Open,"{u'type': u'Point', u'coordinates': (-79.5270429515, 43.7578095275)}"
57,56,399,MSGR John Corrigan,100 Royalcrest Rd,Etobicoke,M9V 5B4,E,Open,"{u'type': u'Point', u'coordinates': (-79.6050136937, 43.7515700508)}"
58,57,288,Nativity of Our Lord,35 Saffron Cres,Etobicoke,M9C 3T8,E,Open,"{u'type': u'Point', u'coordinates': (-79.5753701768, 43.653123242)}"
59,58,502,Neil McNeil,127 Victoria Park Ave,Scarborough,M4E 3S2,S,Open,"{u'type': u'Point', u'coordinates': (-79.2830971458, 43.6792348546)}"
60,59,501,Notre Dame,12 Malvern Ave,former Toronto,M4E 3E1,S,Open,"{u'type': u'Point', u'coordinates': (-79.2931313771, 43.6806857788)}"
61,60,252,Our Lady of Fatima,3176 St Clair Ave E,Scarborough,M1L 1V6,E,Open,"{u'type': u'Point', u'coordinates': (-79.2936158401, 43.7101599387)}"
62,61,372,Our Lady of Grace,121 Brimwood Blvd,Scarborough,M1V 1E5,E,Open,"{u'type': u'Point', u'coordinates': (-79.2750940199, 43.8121193098)}"
63,62,342,Our Lady of Guadalupe,3105 Don Mills Rd,North York,M2J 3C2,E,Open,"{u'type': u'Point', u'coordinates': (-79.3533482303, 43.7898742437)}"
64,63,221,Our Lady of Lourdes,444 Sherbourne St,former Toronto,M4X 1K2,E,Open,"{u'type': u'Point', u'coordinates': (-79.3746955628, 43.6660434935)}"
65,64,253,Our Lady of Peace,70 Mattice Ave,Etobicoke,M9B 1T6,E,Open,"{u'type': u'Point', u'coordinates': (-79.5410781547, 43.646512249)}"
66,65,360,Administrative Building,270 Cherokee Blvd,North York,M2H 3B9,ADM,Open,"{u'type': u'Point', u'coordinates': (-79.3368020983, 43.796613926)}"
67,66,246,Our Lady of Sorrows,32 Montgomery Rd,Etobicoke,M8X 1Z4,E,Open,"{u'type': u'Point', u'coordinates': (-79.5183250387, 43.6480145208)}"
68,67,265,Our Lady of the Assumption,125 Glenmount Ave,North York,M6B 3C2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4312829967, 43.7161894023)}"
69,68,347,Pope Francis,319 Ossington Ave,former Toronto,M6J 3A6,E,Open,"{u'type': u'Point', u'coordinates': (-79.421016185, 43.6516313657)}"
70,69,273,Our Lady of Wisdom,10 Japonica Rd,Scarborough,M1R 4R7,E,Open,"{u'type': u'Point', u'coordinates': (-79.3081887283, 43.7621087801)}"
71,70,416,Prince of Peace,255 Alton Towers Crcl,Scarborough,M1V 4E7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2789443072, 43.8253890671)}"
72,71,258,Precious Blood,1035 Pharmacy Ave,Scarborough,M1R 2G8,E,Open,"{u'type': u'Point', u'coordinates': (-79.3022374245, 43.7393564303)}"
73,72,362,Regina Mundi,70 Playfair Ave,North York,M6B 2P9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4595864347, 43.7098151048)}"
74,73,415,Sacred Heart,75 Hupfield Trl,Scarborough,M1B 4S3,E,Open,"{u'type': u'Point', u'coordinates': (-79.2201440044, 43.8121839994)}"
75,74,368,Santa Maria,25 Avon Ave,York,M6N 4X8,E,Open,"{u'type': u'Point', u'coordinates': (-79.4776808903, 43.6809732936)}"
76,75,505,Senator O'Connor College,60 Rowena Dr,North York,M3A 3R2,S,Open,"{u'type': u'Point', u'coordinates': (-79.3173685459, 43.7508272676)}"
77,76,302,St Agatha,49 Cathedral Bluffs Dr,Scarborough,M1M 2T6,E,Open,"{u'type': u'Point', u'coordinates': (-79.229820871, 43.7236402003)}"
78,77,345,St Agnes,280 Otonabee Ave,North York,M2M 2T2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4026042497, 43.7985754806)}"
79,78,350,St Aidan,3521 Finch Ave E,Scarborough,M1W 2S2,E,Open,"{u'type': u'Point', u'coordinates': (-79.3093665219, 43.7973794885)}"
80,79,335,St Albert,1125 Midland Ave,Scarborough,M1K 4H2,E,Open,"{u'type': u'Point', u'coordinates': (-79.2613663531, 43.7436088555)}"
81,80,326,St Alphonsus,60 Atlas Ave,York,M6C 3N9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4322064448, 43.6829136857)}"
82,81,259,St Ambrose,20 Coules Crt,Etobicoke,M8W 2N9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5501228703, 43.6083700983)}"
83,82,410,St Andre,36 Yvonne Ave,North York,M3L 1C9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5176329079, 43.7239945099)}"
84,83,295,St Andrew,2533 Kipling Ave,Etobicoke,M9V 3A8,E,Open,"{u'type': u'Point', u'coordinates': (-79.5823817818, 43.7449311405)}"
85,84,243,St Anselm,182 Bessborough Dr,East York,M4G 4H5,E,Open,"{u'type': u'Point', u'coordinates': (-79.3715951605, 43.7053943858)}"
86,85,361,St Angela,220 Mount Olive Dr,Etobicoke,M9V 3Z5,E,Open,"{u'type': u'Point', u'coordinates': (-79.5968670685, 43.7544228302)}"
87,86,210,St Anthony,130 Shanly St,former Toronto,M6H 1L9,E,Open,"{u'type': u'Point', u'coordinates': (-79.4349688425, 43.6637035201)}"
88,87,339,St Antoine Daniel,160 Finch Ave W,North York,M2N 2J2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4298447653, 43.7770108313)}"
89,88,274,St Barbara,25 Janray Dr,Scarborough,M1G 1Y2,E,Open,"{u'type': u'Point', u'coordinates': (-79.218758433, 43.7623121845)}"
90,89,328,St Augustine of Canterbury,98 Shoreham Dr,North York,M3N 1S9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5250642852, 43.7682365171)}"
