_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
130,129,208,St Helen,1196 College St,former Toronto,M6H 1B8,E,Open,"{u'type': u'Point', u'coordinates': (-79.4361563219, 43.6520845728)}"
131,130,365,St Ignatius of Loyola,2350 McCowan Rd,Scarborough,M1S 4B4,E,Open,"{u'type': u'Point', u'coordinates': (-79.2654132925, 43.8035784903)}"
132,131,315,St Isaac Jogues,1330 York Mills Rd,North York,M3A 1Z8,E,Open,"{u'type': u'Point', u'coordinates': (-79.3219601731, 43.7623253431)}"
133,132,275,St James,230 Humbercrest Blvd,York,M6S 4L3,E,Open,"{u'type': u'Point', u'coordinates': (-79.4953978793, 43.6646736907)}"
134,133,296,St Jane Frances,2745 Jane St,North York,M3L 2E8,E,Open,"{u'type': u'Point', u'coordinates': (-79.5131656491, 43.7421481635)}"
135,134,294,St Jerome,111 Sharpecroft Blvd,North York,M3J 1P5,E,Open,"{u'type': u'Point', u'coordinates': (-79.4885418787, 43.7488344019)}"
136,135,394,St Jean De Brebeuf,101 Dean Park Rd,Scarborough,M1B 2X2,E,Open,"{u'type': u'Point', u'coordinates': (-79.1740409798, 43.8025138393)}"
137,136,220,St John,780 Kingston Rd,former Toronto,M4E 1R7,E,Open,"{u'type': u'Point', u'coordinates': (-79.2945686729, 43.6802243803)}"
138,137,292,St Joachim,3395 St Clair Ave E,Scarborough,M1L 1W3,E,Open,"{u'type': u'Point', u'coordinates': (-79.2751440726, 43.7128252837)}"
139,138,305,St John Bosco,75 Holmesdale Rd,York,M6E 1Y2,E,Open,"{u'type': u'Point', u'coordinates': (-79.4505577406, 43.6887157871)}"
140,139,531,St John Paul II,685 Military Trl,Scarborough,M1E 4P6,S,Open,"{u'type': u'Point', u'coordinates': (-79.1995514139, 43.7897226172)}"
141,140,392,St John Vianney,105 Thistle Down Blvd,Etobicoke,M9V 1J5,E,Open,"{u'type': u'Point', u'coordinates': (-79.5538462104, 43.7379759108)}"
142,141,348,St John XXIII,175 Grenoble Dr,North York,M3C 3E7,E,Open,"{u'type': u'Point', u'coordinates': (-79.3298478904, 43.712453972)}"
143,142,209,St Joseph,176 Leslie St,former Toronto,M4M 3C7,E,Open,"{u'type': u'Point', u'coordinates': (-79.3318905489, 43.6658080725)}"
144,143,516,St Josephs Morrow Park,3379 Bayview Ave,North York,M2M 3S4,S,Open,"{u'type': u'Point', u'coordinates': (-79.3948121631, 43.7988403548)}"
145,144,514,St Josephs College,74 Wellesley St W,former Toronto,M5S 1C4,S,Open,"{u'type': u'Point', u'coordinates': (-79.3888646583, 43.6644368621)}"
146,145,393,St Kateri,70 Margaret Ave,North York,M2J 4C5,E,Open,"{u'type': u'Point', u'coordinates': (-79.3380515909, 43.7858197125)}"
147,146,279,St Jude,3251 Weston Rd,North York,M9M 2T9,E,Open,"{u'type': u'Point', u'coordinates': (-79.5392565397, 43.7404844802)}"
148,147,264,St Lawrence,2216 Lawrence Ave E,Scarborough,M1P 2P9,E,Open,"{u'type': u'Point', u'coordinates': (-79.2799208447, 43.7493063882)}"
149,148,300,St Kevin,15 Murray Glen Dr,Scarborough,M1R 3J6,E,Open,"{u'type': u'Point', u'coordinates': (-79.305857266, 43.7507067701)}"
150,149,333,St Leo,165 Stanley Ave,Etobicoke,M8V 1P1,E,Open,"{u'type': u'Point', u'coordinates': (-79.4962884514, 43.6142799914)}"
