Row ID,Station Number,Station Description,Latitude,Longitude,Station Location,Date and Time,Water Level (m),Water Flow (cu meter per sec)
05DE010-20171128212000,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 09:20:00 PM,87.6554,-1.0000
TAU-001-20171128210000,TAU-001,Bighorn Reservoir - Tau,,,"(52.3, -116.316667)",11/28/2017 09:00:00 PM,1312.7470,83.0360
05DB002-20171128214000,05DB002,Prairie Creek near Rocky Mountain House,,,"(52.27284, -114.930807)",11/28/2017 09:40:00 PM,0.5030,-1.0000
05DA009-20171128212500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 09:25:00 PM,0.4470,-1.0000
05DA009-20171128184500,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 06:45:00 PM,0.4450,-1.0000
05DB006-20171128180500,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 06:05:00 PM,0.6850,-1.0000
05DB006-20171128211000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 09:10:00 PM,0.6830,-1.0000
05DA009-20171128231000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 11:10:00 PM,0.4420,-1.0000
05DA009-20171128224000,05DA009,North Saskatchewan River at Whirlpool Point,,,"(52.00119, -116.47093)",11/28/2017 10:40:00 PM,0.4440,-1.0000
05DB006-20171128192000,05DB006,Clearwater River near Dovercourt,,,"(52.253394, -114.856976)",11/28/2017 07:20:00 PM,0.6840,-1.0000
05DC012-20171128201500,05DC012,Baptiste River near the Mouth,,,"(52.664301, -115.076774)",11/28/2017 08:15:00 PM,1.0457,-1.0000
05DE010-20171128223500,05DE010,North Saskatchewan River at Hwy 759,,,"(53.314731, -114.757812)",11/28/2017 10:35:00 PM,87.6524,-1.0000
