SUMD ID,SUMD Type,SUMD Group,GPS Latitude,GPS Longitude,Availability Start Date,Availability Start Time,Availability Duration,Real Time Fare,Company Website,Company Phone
StandardNW5HJFO4R32LY,Standard,bicycle,36.150966,-86.852773,2018-12-22,06:02:51,2880.00,0.05,https://www.li.me/help,1 (888)-LIME-345
PoweredJ6OI7QJIK4NO2,Powered,scooter,36.150618,-86.811081,2019-10-21,00:21:51,1027.36,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredB3UHX7HW3FTQQ,Powered,scooter,36.144774,-86.808135,2019-10-21,12:38:03,291.16,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredRQYVIHUGHTCOO,Powered,scooter,36.151562,-86.796021,2019-10-21,11:56:29,332.73,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredL4CIFAJA2N5O3,Powered,scooter,36.12146,-86.775506,2019-10-21,12:33:17,295.93,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredHEA25WJ5ITOC6,Powered,scooter,36.167171,-86.766189,2019-10-20,19:16:51,1332.36,0.15,https://www.li.me/help,1 (888)-LIME-345
Powered2JWH35WQBAVBU,Powered,scooter,36.167932,-86.774329,2019-10-20,22:51:15,1117.96,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredJREQVMOESVGFU,Powered,scooter,36.135641,-86.802883,2019-10-20,22:50:04,1119.15,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredDEHOHPKR3APCB,Powered,scooter,36.162621,-86.776609,2019-10-21,15:32:08,117.08,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredPAFBAM3PGBZP4,Powered,scooter,36.156588,-86.786882,2019-10-21,00:35:16,1013.95,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredORGPO4F3OOFFN,Powered,scooter,36.170363,-86.790609,2019-10-20,22:56:47,1112.43,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredBWUEHAVVGNTBD,Powered,scooter,36.157841,-86.779004,2019-10-21,14:02:03,207.16,0.15,https://www.li.me/help,1 (888)-LIME-345
Powered4KKVYP6CD7DBM,Powered,scooter,36.144387,-86.809873,2019-10-21,12:36:57,292.26,0.15,https://www.li.me/help,1 (888)-LIME-345
Powered5N5J5BJDODHYX,Powered,scooter,36.157862,-86.778772,2019-10-21,14:23:32,185.68,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredZQ4KGI4Z5TN75,Powered,scooter,36.156709,-86.781026,2019-10-21,15:45:05,104.13,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredBSQQ7KXPNDM7E,Powered,scooter,36.164859,-86.779522,2019-10-21,15:39:49,109.40,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredGQJFAKWMO3V66,Powered,scooter,36.153183,-86.791427,2019-10-21,00:18:59,1030.23,0.15,https://www.li.me/help,1 (888)-LIME-345
PoweredNF4UHMVMUJMV4,Powered,scooter,36.148702,-86.79775,2019-10-21,13:45:51,223.36,0.15,https://www.li.me/help,1 (888)-LIME-345
