DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191512298,06/10/2019,06/10/2019,1250,15,N Hollywood,1549,997,TRAFFIC COLLISION,3004 3036 3026 3101 3401 3701 4026,18,M,H,101,STREET,BURBANK                      BL,FULCHER                      AV,"(34.1722, -118.373)"
190711720,06/06/2019,06/05/2019,1515,07,Wilshire,0782,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4027,37,M,H,101,STREET,FAIRFAX,VENICE,"(34.04, -118.3697)"
191911585,06/06/2019,06/06/2019,1640,19,Mission,1987,997,TRAFFIC COLLISION,3036 3004 3025 3101 3401 3701 4019,37,M,H,101,STREET,WAKEFIELD                    AV,ROSCOE                       BL,"(34.2216, -118.4434)"
191711444,06/14/2019,06/14/2019,2352,17,Devonshire,1738,997,TRAFFIC COLLISION,3006 3037 3028 3039 3101 3401 3701 4017,,X,X,101,STREET,SAN FERNANDO MISSION         BL,GAYNOR                       AV,"(34.2719, -118.4803)"
190124554,10/07/2019,10/07/2019,1330,01,Central,0111,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030 3034 3036,32,M,W,101,STREET,CESAR E CHAVEZ               AV,ALAMEDA                      ST,"(34.0581, -118.2371)"
191215458,06/06/2019,06/06/2019,0730,12,77th Street,1258,997,TRAFFIC COLLISION,4025 3036 3026 3602,29,F,H,101,STREET,MAIN                         ST,79TH                         ST,"(33.9679, -118.2739)"
190124555,10/07/2019,10/07/2019,1620,01,Central,0151,997,TRAFFIC COLLISION,0605 3102 3401 3701 3004,27,F,A,102,SIDEWALK,7TH                          ST,FRANCISCO                    ST,"(34.0499, -118.2614)"
190115710,06/11/2019,06/11/2019,1305,01,Central,0185,997,TRAFFIC COLLISION,,53,M,H,101,STREET,PICO                         BL,LOS ANGELES,"(34.0354, -118.2588)"
190115612,06/10/2019,06/10/2019,0645,01,Central,0153,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3030 3004 3036,75,M,A,101,STREET,7TH                          ST,HILL                         ST,"(34.0459, -118.2545)"
191312933,06/10/2019,06/08/2019,1930,13,Newton,1309,997,TRAFFIC COLLISION,1300 0605 3101 3401 3701 4013 3004 3034 3025,29,M,H,101,STREET,OLYMPIC                      BL,SANTA FE                     AV,"(34.0256, -118.2299)"
