StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:38:00 AM,3045822,45.70,45.70
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:39:00 AM,3045823,45.69,45.69
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 02:40:00 AM,3045824,45.69,45.69
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:26:00 AM,4197215,40.66,43.64
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:27:00 AM,4197216,40.66,43.62
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:26:00 AM,4127800,42.11,41.87
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:28:00 AM,4197217,40.66,43.59
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:27:00 AM,4127801,42.11,41.80
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:29:00 AM,4197218,40.65,43.57
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 02:28:00 AM,4127802,42.11,41.72
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:30:00 AM,4197219,40.65,43.54
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 02:31:00 AM,4197220,40.64,43.50
