StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 06:17:00 AM,3046041,45.56,45.56
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 06:18:00 AM,3046042,45.56,45.56
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 06:19:00 AM,3046043,45.56,45.56
35thAveSW_SWMyrtleSt,POINT (-122.37658 47.53918),11/10/2020 06:20:00 AM,3046044,45.56,45.56
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:06:00 AM,4197435,38.97,42.89
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:07:00 AM,4197436,38.99,42.99
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:08:00 AM,4197437,39.00,43.09
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:09:00 AM,4197438,39.01,43.17
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:10:00 AM,4197439,39.02,43.20
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:11:00 AM,4197440,39.03,43.30
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:12:00 AM,4197441,39.05,43.36
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:13:00 AM,4197442,39.06,43.49
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:14:00 AM,4197443,39.07,43.57
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:15:00 AM,4197444,39.08,43.62
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:16:00 AM,4197445,39.09,43.65
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:17:00 AM,4197446,39.11,43.65
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:18:00 AM,4197447,39.12,43.67
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:19:00 AM,4197448,39.13,43.65
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 06:20:00 AM,4197449,39.14,43.62
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:16:00 AM,4191452,40.29,40.29
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:17:00 AM,4191453,40.30,40.30
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:18:00 AM,4191454,40.30,40.30
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:19:00 AM,4191455,40.30,40.30
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:20:00 AM,4191456,40.31,40.31
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:21:00 AM,4191457,40.31,40.31
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:22:00 AM,4191458,40.32,40.32
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:23:00 AM,4191459,40.31,40.31
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:24:00 AM,4191460,40.33,40.33
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:25:00 AM,4191461,40.33,40.33
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:26:00 AM,4191462,40.35,40.35
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:27:00 AM,4191463,40.35,40.35
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:28:00 AM,4191464,40.37,40.37
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:29:00 AM,4191465,40.38,40.38
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 06:30:00 AM,4191466,40.40,40.40
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:16:00 AM,4128030,41.21,42.37
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:17:00 AM,4128031,41.21,42.32
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:18:00 AM,4128032,41.21,42.32
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:19:00 AM,4128033,41.21,42.30
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:20:00 AM,4128034,41.22,42.28
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:21:00 AM,4128035,41.22,42.29
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:22:00 AM,4128036,41.22,42.36
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:23:00 AM,4128037,41.22,42.40
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:24:00 AM,4128038,41.22,42.38
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:25:00 AM,4128039,41.22,42.38
MagnoliaBridge,POINT (-122.387341 47.633454),11/10/2020 06:16:00 AM,4157530,39.89,43.95
AlbroPlaceAirportWay,POINT (-122.314114 47.547426),11/10/2020 06:16:00 AM,1056009,42.77,40.92
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 06:26:00 AM,4128040,41.22,42.34
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 07:55:00 AM,4191551,41.25,41.25
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 07:56:00 AM,4191552,41.26,41.26
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:46:00 AM,4128120,41.33,42.82
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 07:57:00 AM,4191553,41.26,41.26
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:47:00 AM,4128121,41.35,42.83
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 07:58:00 AM,4191554,41.26,41.26
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:48:00 AM,4128122,41.36,42.87
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 07:59:00 AM,4191555,41.27,41.27
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:49:00 AM,4128123,41.36,42.88
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),11/10/2020 08:00:00 AM,4191556,41.27,41.27
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:50:00 AM,4128124,41.36,42.86
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:48:00 AM,4197537,39.95,43.76
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:51:00 AM,4128125,41.36,42.81
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:49:00 AM,4197538,39.96,43.77
AuroraBridge,POINT (-122.347278 47.643174),11/10/2020 07:52:00 AM,4128126,41.36,42.79
NE45StViaduct,POINT (-122.301929 47.66127),11/10/2020 07:50:00 AM,4197539,39.98,43.77
